a,b,rho,P
,,4.96E+07,2.22E+25
,,5.48E+07,2.31E+25
,,6.06E+07,2.42E+25
,,6.69E+07,2.58E+25
,,7.40E+07,2.78E+25
,,8.18E+07,3.00E+25
,,9.04E+07,3.25E+25
,,9.99E+07,3.54E+25
,,1.10E+08,3.86E+25
,,1.22E+08,4.23E+25
,,1.35E+08,4.65E+25
,,1.49E+08,5.12E+25
,,1.65E+08,5.65E+25
,,1.82E+08,6.25E+25
,,2.01E+08,6.92E+25
,,2.22E+08,7.69E+25
,,2.46E+08,8.56E+25
,,2.72E+08,9.54E+25
,,3.00E+08,1.06E+26
,,3.32E+08,1.19E+26
,,3.67E+08,1.33E+26
,,4.05E+08,1.49E+26
,,4.48E+08,1.68E+26
,,4.95E+08,1.88E+26
,,5.47E+08,2.11E+26
,,6.05E+08,2.38E+26
,,6.69E+08,2.68E+26
,,7.39E+08,3.02E+26
,,8.17E+08,3.40E+26
,,9.03E+08,3.84E+26
,,9.98E+08,4.34E+26
,,1.10E+09,4.90E+26
,,1.22E+09,5.53E+26
,,1.35E+09,6.26E+26
,,1.49E+09,7.08E+26
,,1.65E+09,8.01E+26
,,1.82E+09,9.06E+26
,,2.01E+09,1.03E+27
,,2.22E+09,1.16E+27
,,2.46E+09,1.32E+27
,,2.71E+09,1.49E+27
,,3.00E+09,1.69E+27
,,3.32E+09,1.92E+27
,,3.67E+09,2.17E+27
,,4.05E+09,2.46E+27
,,4.48E+09,2.79E+27
,,4.95E+09,3.16E+27
,,5.47E+09,3.59E+27
,,6.05E+09,4.07E+27
,,6.68E+09,4.61E+27
,,7.39E+09,5.23E+27
,,8.17E+09,5.93E+27
,,9.03E+09,6.73E+27
,,9.98E+09,7.63E+27
,,1.10E+10,8.65E+27
,,1.22E+10,9.81E+27
,,1.35E+10,1.11E+28
,,1.49E+10,1.26E+28
,,1.65E+10,1.43E+28
,,1.82E+10,1.62E+28
,,2.01E+10,1.84E+28
,,2.22E+10,2.08E+28
,,2.46E+10,2.36E+28
,,2.72E+10,2.67E+28
,,3.00E+10,3.02E+28
,,3.32E+10,3.42E+28
,,3.67E+10,3.88E+28
,,4.05E+10,4.39E+28
,,4.48E+10,4.97E+28
,,4.95E+10,5.62E+28
,,5.48E+10,6.36E+28
,,6.05E+10,7.19E+28
,,6.69E+10,8.13E+28
,,7.39E+10,9.19E+28
,,8.17E+10,1.04E+29
,,9.04E+10,1.17E+29
,,9.99E+10,1.32E+29
,,1.10E+11,1.49E+29
,,1.22E+11,1.69E+29
,,1.35E+11,1.90E+29
,,1.49E+11,2.14E+29
,,1.65E+11,2.41E+29
,,1.82E+11,2.72E+29
,,2.01E+11,3.06E+29
,,2.23E+11,3.44E+29
,,2.46E+11,3.86E+29
,,2.72E+11,4.34E+29
,,3.01E+11,4.86E+29
,,3.32E+11,5.45E+29
,,3.67E+11,6.09E+29
,,4.06E+11,6.81E+29
,,4.49E+11,7.58E+29
,,4.96E+11,8.44E+29
,,5.49E+11,9.36E+29
,,6.07E+11,1.04E+30
,,6.71E+11,1.14E+30
,,7.41E+11,1.25E+30
,,8.19E+11,1.36E+30
,,9.06E+11,1.48E+30
,,1.00E+12,1.59E+30
,,1.11E+12,1.71E+30
,,1.22E+12,1.83E+30
,,1.35E+12,1.96E+30
,,1.49E+12,2.10E+30
,,1.65E+12,2.26E+30
,,1.83E+12,2.43E+30
,,2.02E+12,2.62E+30
,,2.23E+12,2.83E+30
,,2.47E+12,3.07E+30
,,2.73E+12,3.35E+30
,,3.01E+12,3.66E+30
,,3.33E+12,4.00E+30
,,3.68E+12,4.38E+30
,,4.07E+12,4.79E+30
,,4.50E+12,5.24E+30
,,4.97E+12,5.73E+30
,,5.50E+12,6.28E+30
,,6.08E+12,6.79E+30
,,6.72E+12,7.39E+30
,,7.42E+12,8.08E+30
,,8.21E+12,8.92E+30
,,9.07E+12,9.98E+30
,,1.00E+13,1.12E+31
,,1.11E+13,1.26E+31
,,1.23E+13,1.42E+31
,,1.35E+13,1.59E+31
,,1.50E+13,1.78E+31
,,1.65E+13,2.00E+31
,,1.83E+13,2.23E+31
,,2.02E+13,2.48E+31
,,2.23E+13,2.76E+31
,,2.47E+13,3.07E+31
,,2.73E+13,3.40E+31
,,3.02E+13,3.76E+31
,,3.34E+13,4.16E+31
,,3.69E+13,4.60E+31
,,4.08E+13,5.08E+31
,,4.51E+13,5.62E+31
,,4.98E+13,6.24E+31
,,5.51E+13,6.96E+31
,,6.09E+13,7.85E+31
,,6.73E+13,8.96E+31
,,7.44E+13,1.04E+32
,,8.22E+13,1.24E+32
,,9.09E+13,1.51E+32
,,1.00E+14,1.89E+32
,,1.11E+14,2.46E+32
,,1.23E+14,3.30E+32
,,1.36E+14,4.58E+32
,,1.50E+14,6.52E+32
,,1.66E+14,9.47E+32
,,1.84E+14,1.39E+33
,,2.03E+14,2.06E+33
,,2.25E+14,3.04E+33
,,2.49E+14,4.46E+33
,,2.76E+14,6.48E+33
,,3.06E+14,9.36E+33
,,3.40E+14,1.34E+34
,,3.77E+14,1.91E+34
,,4.20E+14,2.69E+34
,,4.68E+14,3.76E+34
,,5.22E+14,5.23E+34
,,5.84E+14,7.29E+34
,,6.56E+14,1.01E+35
,,7.39E+14,1.41E+35
,,8.36E+14,1.96E+35
,,9.51E+14,2.71E+35
,,1.09E+15,3.74E+35
,,1.25E+15,5.16E+35
,,1.46E+15,6.98E+35
,,1.71E+15,9.24E+35
,,2.02E+15,1.21E+36
,,2.42E+15,1.56E+36
,,2.92E+15,2.02E+36
,,3.56E+15,2.59E+36
,,4.36E+15,3.31E+36
,,5.33E+15,4.18E+36
,,6.37E+15,5.12E+36
,,7.44E+15,6.07E+36
,,8.44E+15,6.97E+36
,,1.04E+16,8.76E+36
,,1.29E+16,1.10E+37
,,1.59E+16,1.37E+37
,,1.96E+16,1.70E+37
,,2.43E+16,2.12E+37
,,3.00E+16,2.63E+37
,,3.70E+16,3.27E+37
,,4.58E+16,4.05E+37
,,5.65E+16,5.02E+37
,,6.98E+16,6.21E+37
,,8.63E+16,7.69E+37
