a,b,rho,P
2,2,1.26E+06,2.82E+22
3,3,1.58E+06,4.06E+22
4,4,2.00E+06,5.85E+22
5,5,2.51E+06,8.42E+22
6,6,3.16E+06,1.21E+23
7,7,3.98E+06,1.75E+23
8,8,5.01E+06,2.52E+23
9,9,6.31E+06,3.62E+23
10,10,7.94E+06,5.22E+23
11,11,1.00E+07,7.52E+23
12,12,1.26E+07,1.08E+24
13,13,1.59E+07,1.56E+24
14,14,2.00E+07,2.25E+24
15,15,2.51E+07,3.21E+24
16,16,3.16E+07,4.31E+24
17,17,3.98E+07,5.80E+24
18,18,5.01E+07,7.80E+24
19,19,6.31E+07,1.05E+25
20,20,7.95E+07,1.41E+25
21,21,1.00E+08,1.90E+25
22,22,1.26E+08,2.55E+25
23,23,1.59E+08,3.43E+25
24,24,2.00E+08,4.62E+25
25,25,2.51E+08,6.21E+25
26,26,3.16E+08,8.36E+25
27,27,3.98E+08,1.12E+26
28,28,5.02E+08,1.51E+26
29,29,6.32E+08,2.03E+26
30,30,7.95E+08,2.73E+26
31,31,1.00E+09,3.68E+26
32,32,1.26E+09,4.95E+26
33,33,1.59E+09,6.65E+26
34,34,2.00E+09,8.95E+26
35,35,2.52E+09,1.20E+27
36,36,3.17E+09,1.62E+27
37,37,3.99E+09,2.18E+27
38,38,5.02E+09,2.93E+27
39,39,6.32E+09,3.94E+27
40,40,7.96E+09,5.30E+27
41,41,1.00E+10,7.13E+27
42,42,1.26E+10,9.59E+27
43,43,1.59E+10,1.29E+28
44,44,2.00E+10,1.73E+28
45,45,2.52E+10,2.33E+28
46,46,3.17E+10,3.14E+28
47,47,4.00E+10,4.22E+28
48,48,5.03E+10,5.68E+28
49,49,6.34E+10,7.64E+28
50,50,7.98E+10,1.03E+29
51,51,1.01E+11,1.38E+29
52,52,1.27E+11,1.86E+29
53,53,1.59E+11,2.50E+29
54,54,2.01E+11,3.36E+29
55,55,2.53E+11,4.52E+29
56,56,3.19E+11,6.08E+29
57,57,4.01E+11,7.91E+29
58,58,5.05E+11,9.12E+29
59,59,6.36E+11,1.05E+30
60,60,8.02E+11,1.22E+30
61,61,1.01E+12,1.40E+30
62,62,1.27E+12,1.62E+30
63,63,1.60E+12,1.87E+30
64,64,2.02E+12,2.16E+30
65,65,2.54E+12,2.49E+30
66,66,3.20E+12,3.29E+30
67,67,4.03E+12,4.50E+30
68,68,5.07E+12,6.14E+30
69,69,6.38E+12,8.40E+30
70,70,8.04E+12,1.15E+31
71,71,1.01E+13,1.57E+31
72,72,1.28E+13,2.14E+31
73,73,1.61E+13,2.93E+31
74,74,2.02E+13,4.00E+31
75,75,2.55E+13,5.47E+31
76,76,3.21E+13,7.48E+31
77,77,4.04E+13,1.02E+32
78,78,5.09E+13,1.40E+32
79,79,6.42E+13,1.91E+32
80,80,8.09E+13,2.61E+32
81,81,1.02E+14,3.57E+32
82,82,1.28E+14,4.88E+32
83,83,1.62E+14,6.67E+32
84,84,2.04E+14,9.73E+32
85,85,2.57E+14,2.48E+33
86,86,3.25E+14,6.34E+33
87,87,4.12E+14,1.62E+34
88,88,5.26E+14,4.13E+34
89,89,6.78E+14,7.20E+34
90,90,8.81E+14,1.25E+35
91,91,1.16E+15,2.18E+35
92,92,1.54E+15,3.38E+35
93,93,2.05E+15,5.22E+35
94,94,2.77E+15,8.06E+35
95,95,3.78E+15,1.25E+36
96,96,5.20E+15,1.92E+36
97,97,7.24E+15,2.97E+36
98,98,1.02E+16,4.60E+36
99,99,1.45E+16,7.10E+36
100,100,2.07E+16,1.10E+37
101,101,3.00E+16,1.70E+37
102,102,4.21E+16,2.56E+37
103,103,5.90E+16,3.83E+37
104,104,8.26E+16,5.72E+37
105,105,1.16E+17,8.57E+37
106,106,1.62E+17,1.28E+38
107,107,2.27E+17,1.87E+38
108,108,3.89E+17,3.32E+38
109,109,6.66E+17,5.81E+38
110,110,1.14E+18,1.01E+39
111,111,1.95E+18,1.74E+39
112,112,3.34E+18,2.98E+39
