a,b,rho,P
1,1,1.06E+06,2.14E+22
2,2,1.12E+06,2.35E+22
3,3,1.19E+06,2.57E+22
4,4,1.26E+06,2.82E+22
5,5,1.33E+06,3.09E+22
6,6,1.41E+06,3.38E+22
7,7,1.50E+06,3.71E+22
8,8,1.58E+06,4.06E+22
9,9,1.68E+06,4.45E+22
10,10,1.78E+06,4.87E+22
11,11,1.88E+06,5.34E+22
12,12,2.00E+06,5.85E+22
13,13,2.11E+06,6.41E+22
14,14,2.24E+06,7.02E+22
15,15,2.37E+06,7.69E+22
16,16,2.51E+06,8.42E+22
17,17,2.66E+06,9.23E+22
18,18,2.82E+06,1.01E+23
19,19,2.99E+06,1.11E+23
20,20,3.16E+06,1.21E+23
21,21,3.35E+06,1.33E+23
22,22,3.55E+06,1.46E+23
23,23,3.76E+06,1.59E+23
24,24,3.98E+06,1.75E+23
25,25,4.22E+06,1.91E+23
26,26,4.47E+06,2.10E+23
27,27,4.73E+06,2.30E+23
28,28,5.01E+06,2.52E+23
29,29,5.31E+06,2.76E+23
30,30,5.62E+06,3.02E+23
31,31,5.96E+06,3.31E+23
32,32,6.31E+06,3.62E+23
33,33,6.68E+06,3.97E+23
34,34,7.08E+06,4.35E+23
35,35,7.50E+06,4.76E+23
36,36,7.94E+06,5.22E+23
37,37,8.41E+06,5.72E+23
38,38,8.91E+06,6.26E+23
39,39,9.44E+06,6.86E+23
40,40,1.00E+07,7.52E+23
41,41,1.06E+07,8.23E+23
42,42,1.12E+07,9.02E+23
43,43,1.19E+07,9.88E+23
44,44,1.26E+07,1.08E+24
45,45,1.33E+07,1.19E+24
46,46,1.41E+07,1.30E+24
47,47,1.50E+07,1.42E+24
48,48,1.59E+07,1.56E+24
49,49,1.68E+07,1.71E+24
50,50,1.78E+07,1.87E+24
51,51,1.88E+07,2.05E+24
52,52,2.00E+07,2.25E+24
53,53,2.11E+07,2.46E+24
54,54,2.24E+07,2.69E+24
55,55,2.37E+07,2.95E+24
56,56,2.51E+07,3.21E+24
57,57,2.66E+07,3.45E+24
58,58,2.82E+07,3.72E+24
59,59,2.99E+07,4.00E+24
60,60,3.16E+07,4.31E+24
61,61,3.35E+07,4.64E+24
62,62,3.55E+07,5.00E+24
63,63,3.76E+07,5.39E+24
64,64,3.98E+07,5.80E+24
65,65,4.22E+07,6.25E+24
66,66,4.47E+07,6.73E+24
67,67,4.73E+07,7.24E+24
68,68,5.01E+07,7.80E+24
69,69,5.31E+07,8.40E+24
70,70,5.63E+07,9.05E+24
71,71,5.96E+07,9.74E+24
72,72,6.31E+07,1.05E+25
73,73,6.69E+07,1.13E+25
74,74,7.08E+07,1.22E+25
75,75,7.50E+07,1.31E+25
76,76,7.95E+07,1.41E+25
77,77,8.42E+07,1.52E+25
78,78,8.92E+07,1.64E+25
79,79,9.44E+07,1.76E+25
80,80,1.00E+08,1.90E+25
81,81,1.06E+08,2.04E+25
82,82,1.12E+08,2.20E+25
83,83,1.19E+08,2.37E+25
84,84,1.26E+08,2.55E+25
85,85,1.33E+08,2.75E+25
86,86,1.41E+08,2.96E+25
87,87,1.50E+08,3.19E+25
88,88,1.59E+08,3.43E+25
89,89,1.68E+08,3.70E+25
90,90,1.78E+08,3.98E+25
91,91,1.88E+08,4.29E+25
92,92,2.00E+08,4.62E+25
93,93,2.11E+08,4.97E+25
94,94,2.24E+08,5.36E+25
95,95,2.37E+08,5.77E+25
96,96,2.51E+08,6.21E+25
97,97,2.66E+08,6.69E+25
98,98,2.82E+08,7.21E+25
99,99,2.99E+08,7.76E+25
100,100,3.16E+08,8.36E+25
101,101,3.35E+08,9.00E+25
102,102,3.55E+08,9.69E+25
103,103,3.76E+08,1.04E+26
104,104,3.98E+08,1.12E+26
105,105,4.22E+08,1.21E+26
106,106,4.47E+08,1.30E+26
107,107,4.74E+08,1.40E+26
108,108,5.02E+08,1.51E+26
109,109,5.31E+08,1.63E+26
110,110,5.63E+08,1.75E+26
111,111,5.96E+08,1.89E+26
112,112,6.32E+08,2.03E+26
113,113,6.69E+08,2.19E+26
114,114,7.09E+08,2.36E+26
115,115,7.51E+08,2.54E+26
116,116,7.95E+08,2.73E+26
117,117,8.42E+08,2.95E+26
118,118,8.92E+08,3.17E+26
119,119,9.45E+08,3.42E+26
120,120,1.00E+09,3.68E+26
121,121,1.06E+09,3.96E+26
122,122,1.12E+09,4.27E+26
123,123,1.19E+09,4.59E+26
124,124,1.26E+09,4.95E+26
125,125,1.34E+09,5.33E+26
126,126,1.41E+09,5.74E+26
127,127,1.50E+09,6.18E+26
128,128,1.59E+09,6.65E+26
129,129,1.68E+09,7.17E+26
130,130,1.78E+09,7.72E+26
131,131,1.89E+09,8.31E+26
132,132,2.00E+09,8.95E+26
133,133,2.12E+09,9.64E+26
134,134,2.24E+09,1.04E+27
135,135,2.38E+09,1.12E+27
136,136,2.52E+09,1.20E+27
137,137,2.67E+09,1.30E+27
138,138,2.82E+09,1.40E+27
139,139,2.99E+09,1.50E+27
140,140,3.17E+09,1.62E+27
141,141,3.36E+09,1.74E+27
142,142,3.55E+09,1.88E+27
143,143,3.77E+09,2.02E+27
144,144,3.99E+09,2.18E+27
145,145,4.23E+09,2.35E+27
146,146,4.48E+09,2.53E+27
147,147,4.74E+09,2.72E+27
148,148,5.02E+09,2.93E+27
149,149,5.32E+09,3.15E+27
150,150,5.64E+09,3.40E+27
151,151,5.97E+09,3.66E+27
152,152,6.32E+09,3.94E+27
153,153,6.70E+09,4.24E+27
154,154,7.10E+09,4.57E+27
155,155,7.52E+09,4.92E+27
156,156,7.96E+09,5.30E+27
157,157,8.43E+09,5.71E+27
158,158,8.93E+09,6.15E+27
159,159,9.46E+09,6.62E+27
160,160,1.00E+10,7.13E+27
161,161,1.06E+10,7.68E+27
162,162,1.12E+10,8.27E+27
163,163,1.19E+10,8.90E+27
164,164,1.26E+10,9.59E+27
165,165,1.34E+10,1.03E+28
166,166,1.42E+10,1.11E+28
167,167,1.50E+10,1.20E+28
168,168,1.59E+10,1.29E+28
169,169,1.68E+10,1.39E+28
170,170,1.78E+10,1.50E+28
171,171,1.89E+10,1.61E+28
172,172,2.00E+10,1.73E+28
173,173,2.12E+10,1.87E+28
174,174,2.25E+10,2.01E+28
175,175,2.38E+10,2.17E+28
176,176,2.52E+10,2.33E+28
177,177,2.67E+10,2.51E+28
178,178,2.83E+10,2.71E+28
179,179,3.00E+10,2.91E+28
180,180,3.17E+10,3.14E+28
181,181,3.36E+10,3.38E+28
182,182,3.56E+10,3.64E+28
183,183,3.77E+10,3.92E+28
184,184,4.00E+10,4.22E+28
185,185,4.23E+10,4.55E+28
186,186,4.48E+10,4.90E+28
187,187,4.75E+10,5.27E+28
188,188,5.03E+10,5.68E+28
189,189,5.33E+10,6.11E+28
190,190,5.65E+10,6.58E+28
191,191,5.98E+10,7.09E+28
192,192,6.34E+10,7.64E+28
193,193,6.71E+10,8.22E+28
194,194,7.11E+10,8.86E+28
195,195,7.53E+10,9.54E+28
196,196,7.98E+10,1.03E+29
197,197,8.45E+10,1.11E+29
198,198,8.96E+10,1.19E+29
199,199,9.49E+10,1.28E+29
200,200,1.01E+11,1.38E+29
201,201,1.06E+11,1.49E+29
202,202,1.13E+11,1.60E+29
203,203,1.19E+11,1.73E+29
204,204,1.27E+11,1.86E+29
205,205,1.34E+11,2.00E+29
206,206,1.42E+11,2.15E+29
207,207,1.50E+11,2.32E+29
208,208,1.59E+11,2.50E+29
209,209,1.69E+11,2.69E+29
210,210,1.79E+11,2.90E+29
211,211,1.90E+11,3.12E+29
212,212,2.01E+11,3.36E+29
213,213,2.13E+11,3.62E+29
214,214,2.25E+11,3.90E+29
215,215,2.39E+11,4.20E+29
216,216,2.53E+11,4.52E+29
217,217,2.68E+11,4.87E+29
218,218,2.84E+11,5.24E+29
219,219,3.01E+11,5.65E+29
220,220,3.19E+11,6.08E+29
221,221,3.37E+11,6.55E+29
222,222,3.57E+11,7.05E+29
223,223,3.79E+11,7.60E+29
224,224,4.01E+11,7.91E+29
225,225,4.25E+11,8.19E+29
226,226,4.50E+11,8.49E+29
227,227,4.77E+11,8.80E+29
228,228,5.05E+11,9.12E+29
229,229,5.35E+11,9.46E+29
230,230,5.67E+11,9.80E+29
231,231,6.01E+11,1.02E+30
232,232,6.36E+11,1.05E+30
233,233,6.74E+11,1.09E+30
234,234,7.14E+11,1.13E+30
235,235,7.57E+11,1.17E+30
236,236,8.02E+11,1.22E+30
237,237,8.49E+11,1.26E+30
238,238,8.99E+11,1.31E+30
239,239,9.53E+11,1.35E+30
240,240,1.01E+12,1.40E+30
241,241,1.07E+12,1.45E+30
242,242,1.13E+12,1.51E+30
243,243,1.20E+12,1.56E+30
244,244,1.27E+12,1.62E+30
245,245,1.35E+12,1.68E+30
246,246,1.43E+12,1.74E+30
247,247,1.51E+12,1.80E+30
248,248,1.60E+12,1.87E+30
249,249,1.70E+12,1.94E+30
250,250,1.80E+12,2.01E+30
251,251,1.90E+12,2.08E+30
252,252,2.02E+12,2.16E+30
253,253,2.14E+12,2.23E+30
254,254,2.26E+12,2.32E+30
255,255,2.40E+12,2.40E+30
256,256,2.54E+12,2.49E+30
257,257,2.69E+12,2.60E+30
258,258,2.85E+12,2.81E+30
259,259,3.02E+12,3.04E+30
260,260,3.20E+12,3.29E+30
261,261,3.39E+12,3.56E+30
262,262,3.59E+12,3.85E+30
263,263,3.80E+12,4.16E+30
264,264,4.03E+12,4.50E+30
265,265,4.26E+12,4.86E+30
266,266,4.52E+12,5.26E+30
267,267,4.79E+12,5.68E+30
268,268,5.07E+12,6.14E+30
269,269,5.37E+12,6.64E+30
270,270,5.69E+12,7.18E+30
271,271,6.03E+12,7.77E+30
272,272,6.38E+12,8.40E+30
273,273,6.76E+12,9.08E+30
274,274,7.16E+12,9.82E+30
275,275,7.59E+12,1.06E+31
276,276,8.04E+12,1.15E+31
277,277,8.52E+12,1.24E+31
278,278,9.02E+12,1.34E+31
279,279,9.56E+12,1.45E+31
280,280,1.01E+13,1.57E+31
281,281,1.07E+13,1.70E+31
282,282,1.14E+13,1.83E+31
283,283,1.20E+13,1.98E+31
284,284,1.28E+13,2.14E+31
285,285,1.35E+13,2.32E+31
286,286,1.43E+13,2.51E+31
287,287,1.52E+13,2.71E+31
288,288,1.61E+13,2.93E+31
289,289,1.70E+13,3.17E+31
290,290,1.80E+13,3.43E+31
291,291,1.91E+13,3.70E+31
292,292,2.02E+13,4.00E+31
293,293,2.14E+13,4.33E+31
294,294,2.27E+13,4.68E+31
295,295,2.41E+13,5.06E+31
296,296,2.55E+13,5.47E+31
297,297,2.70E+13,5.92E+31
298,298,2.86E+13,6.40E+31
299,299,3.03E+13,6.92E+31
300,300,3.21E+13,7.48E+31
301,301,3.40E+13,8.09E+31
302,302,3.60E+13,8.75E+31
303,303,3.82E+13,9.46E+31
304,304,4.04E+13,1.02E+32
305,305,4.28E+13,1.11E+32
306,306,4.54E+13,1.20E+32
307,307,4.81E+13,1.29E+32
308,308,5.09E+13,1.40E+32
309,309,5.40E+13,1.51E+32
310,310,5.72E+13,1.63E+32
311,311,6.06E+13,1.77E+32
312,312,6.42E+13,1.91E+32
313,313,6.80E+13,2.07E+32
314,314,7.20E+13,2.23E+32
315,315,7.63E+13,2.41E+32
316,316,8.09E+13,2.61E+32
317,317,8.57E+13,2.82E+32
318,318,9.08E+13,3.05E+32
319,319,9.62E+13,3.30E+32
320,320,1.02E+14,3.57E+32
321,321,1.08E+14,3.86E+32
322,322,1.14E+14,4.17E+32
323,323,1.21E+14,4.51E+32
324,324,1.28E+14,4.88E+32
325,325,1.36E+14,5.27E+32
326,326,1.44E+14,5.70E+32
327,327,1.53E+14,6.16E+32
328,328,1.62E+14,6.67E+32
329,329,1.71E+14,7.73E+32
330,330,1.82E+14,9.27E+32
331,331,1.92E+14,1.11E+33
332,332,2.04E+14,1.34E+33
333,333,2.16E+14,1.60E+33
334,334,2.29E+14,1.92E+33
335,335,2.43E+14,2.31E+33
336,336,2.57E+14,2.77E+33
337,337,2.73E+14,3.32E+33
338,338,2.89E+14,3.99E+33
339,339,3.07E+14,4.78E+33
340,340,3.25E+14,5.74E+33
341,341,3.45E+14,6.89E+33
342,342,3.66E+14,8.26E+33
343,343,3.88E+14,9.91E+33
344,344,4.12E+14,1.19E+34
345,345,4.37E+14,1.43E+34
346,346,4.64E+14,1.71E+34
347,347,4.93E+14,2.06E+34
348,348,5.23E+14,2.47E+34
349,349,5.56E+14,3.03E+34
350,350,5.91E+14,3.72E+34
351,351,6.29E+14,4.57E+34
352,352,6.70E+14,5.61E+34
353,353,7.13E+14,6.90E+34
354,354,7.61E+14,8.47E+34
355,355,8.12E+14,1.04E+35
356,356,8.68E+14,1.28E+35
357,357,9.28E+14,1.57E+35
358,358,9.95E+14,1.93E+35
359,359,1.07E+15,2.37E+35
360,360,1.15E+15,2.91E+35
361,361,1.24E+15,3.51E+35
362,362,1.34E+15,4.25E+35
363,363,1.45E+15,5.13E+35
364,364,1.57E+15,6.19E+35
365,365,1.71E+15,7.43E+35
366,366,1.86E+15,8.83E+35
367,367,2.04E+15,1.04E+36
368,368,2.24E+15,1.22E+36
369,369,2.47E+15,1.43E+36
370,370,2.73E+15,1.66E+36
371,371,3.03E+15,1.93E+36
372,372,3.38E+15,2.24E+36
373,373,3.78E+15,2.61E+36
374,374,4.25E+15,3.03E+36
375,375,4.80E+15,3.52E+36
376,376,5.44E+15,4.10E+36
377,377,6.20E+15,4.78E+36
378,378,7.09E+15,5.58E+36
379,379,8.14E+15,6.53E+36
380,380,9.39E+15,7.64E+36
381,381,1.09E+16,8.97E+36
382,382,1.26E+16,1.06E+37
383,383,1.47E+16,1.24E+37
