a,b,rho,P
1,1,7.86E+00,2.51E+09
2,2,7.87E+00,6.31E+09
3,3,7.89E+00,1.59E+10
4,4,8.12E+00,3.98E+10
5,5,8.48E+00,1.00E+11
6,6,9.10E+00,2.51E+11
7,7,1.02E+01,6.31E+11
8,8,1.18E+01,1.59E+12
9,9,1.42E+01,3.98E+12
10,10,1.78E+01,1.00E+13
11,11,2.35E+01,2.51E+13
12,12,3.20E+01,6.31E+13
13,13,4.49E+01,1.59E+14
14,14,6.45E+01,3.98E+14
15,15,9.49E+01,1.00E+15
16,16,1.43E+02,2.51E+15
17,17,2.18E+02,6.31E+15
18,18,3.39E+02,1.59E+16
19,19,5.34E+02,3.98E+16
20,20,8.53E+02,1.00E+17
21,21,1.38E+03,2.51E+17
22,22,2.30E+03,6.31E+17
23,23,3.79E+03,1.59E+18
24,24,6.28E+03,3.98E+18
25,25,1.05E+04,1.00E+19
26,26,1.76E+04,2.51E+19
27,27,2.97E+04,6.31E+19
28,28,5.04E+04,1.59E+20
29,29,8.60E+04,3.98E+20
30,30,1.47E+05,1.00E+21
31,31,2.52E+05,2.51E+21
32,32,4.33E+05,6.31E+21
33,33,7.75E+05,1.44E+22
34,34,7.90E+05,1.49E+22
35,35,8.05E+05,1.53E+22
36,36,8.20E+05,1.58E+22
37,37,8.35E+05,1.63E+22
38,38,8.51E+05,1.67E+22
39,39,8.67E+05,1.73E+22
40,40,8.84E+05,1.78E+22
41,41,9.01E+05,1.83E+22
42,42,9.18E+05,1.89E+22
43,43,9.35E+05,1.95E+22
44,44,9.53E+05,2.00E+22
45,45,9.71E+05,2.07E+22
46,46,9.90E+05,2.13E+22
47,47,1.01E+06,2.19E+22
48,48,1.03E+06,2.26E+22
49,49,1.05E+06,2.33E+22
50,50,1.07E+06,2.40E+22
51,51,1.09E+06,2.47E+22
52,52,1.11E+06,2.55E+22
53,53,1.13E+06,2.63E+22
54,54,1.15E+06,2.70E+22
55,55,1.17E+06,2.79E+22
56,56,1.20E+06,2.87E+22
57,57,1.22E+06,2.96E+22
58,58,1.24E+06,3.05E+22
59,59,1.27E+06,3.14E+22
60,60,1.29E+06,3.24E+22
61,61,1.31E+06,3.34E+22
62,62,1.34E+06,3.44E+22
63,63,1.37E+06,3.54E+22
64,64,1.39E+06,3.65E+22
65,65,1.42E+06,3.76E+22
66,66,1.45E+06,3.87E+22
67,67,1.47E+06,3.99E+22
68,68,1.50E+06,4.11E+22
69,69,1.53E+06,4.24E+22
70,70,1.56E+06,4.37E+22
71,71,1.59E+06,4.50E+22
72,72,1.62E+06,4.64E+22
73,73,1.65E+06,4.78E+22
74,74,1.69E+06,4.92E+22
75,75,1.72E+06,5.07E+22
76,76,1.75E+06,5.23E+22
77,77,1.79E+06,5.39E+22
78,78,1.82E+06,5.55E+22
79,79,1.86E+06,5.72E+22
80,80,1.89E+06,5.89E+22
81,81,1.93E+06,6.07E+22
82,82,1.97E+06,6.26E+22
83,83,2.01E+06,6.45E+22
84,84,2.04E+06,6.64E+22
85,85,2.08E+06,6.85E+22
86,86,2.13E+06,7.05E+22
87,87,2.17E+06,7.27E+22
88,88,2.21E+06,7.49E+22
89,89,2.25E+06,7.72E+22
90,90,2.30E+06,7.95E+22
91,91,2.34E+06,8.19E+22
92,92,2.39E+06,8.44E+22
93,93,2.43E+06,8.70E+22
94,94,2.48E+06,8.96E+22
95,95,2.53E+06,9.24E+22
96,96,2.58E+06,9.52E+22
97,97,2.63E+06,9.81E+22
98,98,2.68E+06,1.01E+23
99,99,2.74E+06,1.04E+23
100,100,2.79E+06,1.07E+23
101,101,2.85E+06,1.11E+23
102,102,2.90E+06,1.14E+23
103,103,2.96E+06,1.17E+23
104,104,3.02E+06,1.21E+23
105,105,3.08E+06,1.25E+23
106,106,3.14E+06,1.28E+23
107,107,3.20E+06,1.32E+23
108,108,3.27E+06,1.36E+23
109,109,3.33E+06,1.40E+23
110,110,3.40E+06,1.45E+23
111,111,3.46E+06,1.49E+23
112,112,3.53E+06,1.54E+23
113,113,3.60E+06,1.58E+23
114,114,3.68E+06,1.63E+23
115,115,3.75E+06,1.68E+23
116,116,3.82E+06,1.73E+23
117,117,3.90E+06,1.79E+23
118,118,3.98E+06,1.84E+23
119,119,4.06E+06,1.90E+23
120,120,4.14E+06,1.95E+23
121,121,4.22E+06,2.01E+23
122,122,4.31E+06,2.07E+23
123,123,4.40E+06,2.14E+23
124,124,4.48E+06,2.20E+23
125,125,4.57E+06,2.27E+23
126,126,4.67E+06,2.34E+23
127,127,4.76E+06,2.41E+23
128,128,4.86E+06,2.48E+23
129,129,4.95E+06,2.56E+23
130,130,5.05E+06,2.64E+23
131,131,5.16E+06,2.72E+23
132,132,5.26E+06,2.80E+23
133,133,5.37E+06,2.88E+23
134,134,5.48E+06,2.97E+23
135,135,5.59E+06,3.06E+23
136,136,5.70E+06,3.15E+23
137,137,5.82E+06,3.25E+23
138,138,5.94E+06,3.35E+23
139,139,6.06E+06,3.45E+23
140,140,6.18E+06,3.56E+23
141,141,6.31E+06,3.66E+23
142,142,6.43E+06,3.78E+23
143,143,6.57E+06,3.89E+23
144,144,6.70E+06,4.01E+23
145,145,6.84E+06,4.13E+23
146,146,6.98E+06,4.26E+23
147,147,7.12E+06,4.39E+23
148,148,7.27E+06,4.52E+23
149,149,7.41E+06,4.66E+23
150,150,7.57E+06,4.80E+23
151,151,7.72E+06,4.94E+23
152,152,7.88E+06,5.09E+23
153,153,8.04E+06,5.25E+23
154,154,8.46E+06,5.41E+23
155,155,8.63E+06,5.57E+23
156,156,8.81E+06,5.74E+23
157,157,8.99E+06,5.92E+23
158,158,9.18E+06,6.10E+23
159,159,9.36E+06,6.28E+23
