a,b,rho,P
1,1,1.68E+03,5.10E+21
2,2,1.84E+03,5.10E+21
3,3,2.01E+03,5.10E+21
4,4,2.21E+03,5.10E+21
5,5,2.42E+03,5.10E+21
6,6,2.65E+03,5.11E+21
7,7,2.90E+03,5.11E+21
8,8,3.18E+03,5.11E+21
9,9,3.48E+03,5.12E+21
10,10,3.82E+03,5.12E+21
11,11,4.19E+03,5.13E+21
12,12,4.59E+03,5.13E+21
13,13,5.03E+03,5.14E+21
14,14,5.51E+03,5.15E+21
15,15,6.04E+03,5.16E+21
16,16,6.62E+03,5.18E+21
17,17,7.26E+03,5.19E+21
18,18,7.96E+03,5.21E+21
19,19,8.72E+03,5.23E+21
20,20,9.56E+03,5.25E+21
21,21,1.05E+04,5.28E+21
22,22,1.15E+04,5.31E+21
23,23,1.26E+04,5.35E+21
24,24,1.38E+04,5.39E+21
25,25,1.51E+04,5.44E+21
26,26,1.66E+04,5.49E+21
27,27,1.82E+04,5.55E+21
28,28,2.00E+04,5.62E+21
29,29,2.19E+04,5.70E+21
30,30,2.40E+04,5.78E+21
31,31,2.63E+04,5.88E+21
32,32,2.88E+04,5.99E+21
33,33,3.16E+04,6.11E+21
34,34,3.47E+04,6.24E+21
35,35,3.80E+04,6.38E+21
36,36,4.17E+04,6.54E+21
37,37,4.57E+04,6.72E+21
38,38,5.01E+04,6.92E+21
39,39,5.50E+04,7.13E+21
40,40,6.03E+04,7.37E+21
41,41,6.61E+04,7.63E+21
42,42,7.24E+04,7.92E+21
43,43,7.94E+04,8.24E+21
44,44,8.71E+04,8.58E+21
45,45,9.55E+04,8.97E+21
46,46,1.05E+05,9.39E+21
47,47,1.15E+05,9.85E+21
48,48,1.26E+05,1.04E+22
49,49,1.38E+05,1.09E+22
50,50,1.51E+05,1.15E+22
51,51,1.66E+05,1.22E+22
52,52,1.82E+05,1.30E+22
53,53,1.99E+05,1.38E+22
54,54,2.19E+05,1.47E+22
55,55,2.40E+05,1.57E+22
56,56,2.63E+05,1.68E+22
57,57,2.88E+05,1.80E+22
58,58,3.16E+05,1.94E+22
59,59,3.47E+05,2.08E+22
60,60,3.80E+05,2.25E+22
61,61,4.17E+05,2.43E+22
62,62,4.57E+05,2.63E+22
63,63,5.01E+05,2.85E+22
64,64,5.49E+05,3.09E+22
65,65,6.02E+05,3.37E+22
66,66,6.61E+05,3.67E+22
67,67,7.24E+05,4.00E+22
68,68,7.94E+05,4.37E+22
69,69,8.71E+05,4.79E+22
70,70,9.55E+05,5.25E+22
71,71,1.05E+06,5.76E+22
72,72,1.15E+06,6.33E+22
73,73,1.26E+06,6.97E+22
74,74,1.38E+06,7.68E+22
75,75,1.51E+06,8.48E+22
76,76,1.66E+06,9.38E+22
77,77,1.82E+06,1.04E+23
78,78,1.99E+06,1.15E+23
79,79,2.19E+06,1.28E+23
80,80,2.40E+06,1.42E+23
81,81,2.63E+06,1.58E+23
82,82,2.88E+06,1.76E+23
83,83,3.16E+06,1.96E+23
84,84,3.47E+06,2.19E+23
85,85,3.80E+06,2.45E+23
86,86,4.17E+06,2.75E+23
87,87,4.57E+06,3.08E+23
88,88,5.01E+06,3.45E+23
89,89,5.49E+06,3.87E+23
90,90,6.02E+06,4.35E+23
91,91,6.61E+06,4.90E+23
92,92,7.24E+06,5.51E+23
93,93,7.94E+06,6.21E+23
94,94,8.71E+06,7.00E+23
95,95,9.55E+06,7.89E+23
96,96,1.05E+07,8.91E+23
97,97,1.15E+07,1.01E+24
98,98,1.26E+07,1.14E+24
99,99,1.38E+07,1.28E+24
100,100,1.51E+07,1.45E+24
101,101,1.66E+07,1.64E+24
102,102,1.82E+07,1.86E+24
103,103,2.00E+07,2.10E+24
104,104,2.19E+07,2.38E+24
105,105,2.40E+07,2.69E+24
106,106,2.63E+07,3.05E+24
107,107,2.88E+07,3.45E+24
108,108,3.16E+07,3.90E+24
109,109,3.47E+07,4.42E+24
110,110,3.80E+07,5.00E+24
111,111,4.17E+07,5.66E+24
112,112,4.57E+07,6.41E+24
113,113,5.01E+07,7.26E+24
114,114,5.50E+07,8.22E+24
115,115,6.03E+07,9.31E+24
116,116,6.61E+07,1.05E+25
117,117,7.25E+07,1.19E+25
118,118,7.94E+07,1.35E+25
119,119,8.71E+07,1.53E+25
120,120,9.55E+07,1.73E+25
121,121,1.05E+08,1.96E+25
122,122,1.15E+08,2.21E+25
123,123,1.26E+08,2.50E+25
124,124,1.38E+08,2.83E+25
125,125,1.51E+08,3.20E+25
126,126,1.66E+08,3.62E+25
127,127,1.82E+08,4.10E+25
128,128,2.00E+08,4.63E+25
129,129,2.19E+08,5.24E+25
130,130,2.40E+08,5.92E+25
131,131,2.63E+08,6.69E+25
132,132,2.89E+08,7.56E+25
133,133,3.16E+08,8.54E+25
134,134,3.47E+08,9.65E+25
135,135,3.80E+08,1.09E+26
136,136,4.17E+08,1.23E+26
137,137,4.57E+08,1.39E+26
138,138,5.01E+08,1.57E+26
139,139,5.50E+08,1.77E+26
140,140,6.03E+08,2.00E+26
141,141,6.61E+08,2.26E+26
142,142,7.25E+08,2.55E+26
143,143,7.95E+08,2.88E+26
144,144,8.72E+08,3.25E+26
145,145,9.56E+08,3.66E+26
146,146,1.05E+09,4.13E+26
147,147,1.15E+09,4.64E+26
148,148,1.26E+09,5.21E+26
149,149,1.38E+09,5.85E+26
150,150,1.52E+09,6.55E+26
151,151,1.66E+09,7.36E+26
152,152,1.82E+09,8.27E+26
153,153,2.00E+09,9.31E+26
154,154,2.19E+09,1.05E+27
155,155,2.40E+09,1.18E+27
156,156,2.63E+09,1.33E+27
157,157,2.89E+09,1.50E+27
