a,b,rho,P
1,1,1.66E+03,5.23E+20
2,2,2.00E+03,5.26E+20
3,3,2.40E+03,5.30E+20
4,4,2.89E+03,5.35E+20
5,5,3.47E+03,5.43E+20
6,6,4.17E+03,5.53E+20
7,7,5.01E+03,5.68E+20
8,8,6.03E+03,5.89E+20
9,9,7.24E+03,6.17E+20
10,10,8.71E+03,6.56E+20
11,11,1.05E+04,7.08E+20
12,12,1.26E+04,7.77E+20
13,13,1.51E+04,8.67E+20
14,14,1.82E+04,9.83E+20
15,15,2.19E+04,1.13E+21
16,16,2.63E+04,1.31E+21
17,17,3.16E+04,1.54E+21
18,18,3.80E+04,1.82E+21
19,19,4.57E+04,2.16E+21
20,20,5.49E+04,2.57E+21
21,21,6.60E+04,3.07E+21
22,22,7.94E+04,3.68E+21
23,23,9.55E+04,4.42E+21
24,24,1.15E+05,5.31E+21
25,25,1.38E+05,6.39E+21
26,26,1.66E+05,7.69E+21
27,27,1.99E+05,9.28E+21
28,28,2.40E+05,1.12E+22
29,29,2.88E+05,1.35E+22
30,30,3.47E+05,1.64E+22
31,31,4.17E+05,1.98E+22
32,32,5.01E+05,2.41E+22
33,33,6.02E+05,2.93E+22
34,34,7.24E+05,3.57E+22
35,35,8.71E+05,4.36E+22
36,36,1.05E+06,5.34E+22
37,37,1.26E+06,6.56E+22
38,38,1.51E+06,8.09E+22
39,39,1.82E+06,1.00E+23
40,40,2.19E+06,1.24E+23
41,41,2.63E+06,1.55E+23
42,42,3.16E+06,1.94E+23
43,43,3.80E+06,2.43E+23
44,44,4.57E+06,3.06E+23
45,45,5.49E+06,3.87E+23
46,46,6.61E+06,4.91E+23
47,47,7.94E+06,6.24E+23
48,48,9.55E+06,7.95E+23
49,49,1.15E+07,1.02E+24
50,50,1.38E+07,1.30E+24
51,51,1.66E+07,1.61E+24
52,52,1.99E+07,2.07E+24
53,53,2.40E+07,2.65E+24
54,54,2.88E+07,3.41E+24
55,55,3.47E+07,4.37E+24
56,56,4.17E+07,5.62E+24
57,57,5.01E+07,7.21E+24
58,58,6.03E+07,9.26E+24
59,59,7.24E+07,1.19E+25
60,60,8.71E+07,1.53E+25
61,61,1.05E+08,1.96E+25
62,62,1.26E+08,2.51E+25
63,63,1.51E+08,3.22E+25
64,64,1.82E+08,4.13E+25
65,65,2.19E+08,5.30E+25
66,66,2.63E+08,6.79E+25
67,67,3.16E+08,8.44E+25
68,68,3.80E+08,1.08E+26
69,69,4.57E+08,1.38E+26
70,70,5.50E+08,1.77E+26
71,71,6.61E+08,2.27E+26
72,72,7.95E+08,2.91E+26
73,73,9.56E+08,3.61E+26
74,74,1.15E+09,4.62E+26
75,75,1.38E+09,5.91E+26
76,76,1.66E+09,7.28E+26
77,77,2.00E+09,9.31E+26
78,78,2.40E+09,1.19E+27
79,79,2.89E+09,1.47E+27
80,80,3.47E+09,1.89E+27
81,81,4.17E+09,2.41E+27
82,82,5.02E+09,3.08E+27
83,83,6.04E+09,3.82E+27
84,84,7.26E+09,4.89E+27
85,85,8.73E+09,6.25E+27
86,86,1.05E+10,7.99E+27
87,87,1.26E+10,9.90E+27
88,88,1.52E+10,1.27E+28
89,89,1.82E+10,1.62E+28
90,90,2.19E+10,2.07E+28
91,91,2.64E+10,2.65E+28
92,92,3.17E+10,3.27E+28
93,93,3.82E+10,4.04E+28
94,94,4.59E+10,4.99E+28
95,95,5.52E+10,6.38E+28
96,96,6.63E+10,8.16E+28
97,97,7.98E+10,1.04E+29
98,98,9.60E+10,1.33E+29
99,99,1.15E+11,1.70E+29
100,100,1.39E+11,1.99E+29
101,101,1.67E+11,2.55E+29
102,102,2.01E+11,3.13E+29
103,103,2.41E+11,4.01E+29
104,104,2.90E+11,4.92E+29
105,105,3.49E+11,6.29E+29
106,106,4.20E+11,7.41E+29
107,107,5.05E+11,8.68E+29
108,108,6.07E+11,9.65E+29
109,109,7.30E+11,1.06E+30
110,110,8.78E+11,1.15E+30
111,111,1.06E+12,1.23E+30
112,112,1.27E+12,1.38E+30
113,113,1.53E+12,1.66E+30
114,114,1.84E+12,1.87E+30
115,115,2.21E+12,2.25E+30
116,116,2.66E+12,2.70E+30
117,117,3.19E+12,3.25E+30
118,118,3.84E+12,3.92E+30
119,119,4.62E+12,4.74E+30
120,120,5.55E+12,6.12E+30
121,121,6.68E+12,7.41E+30
122,122,8.03E+12,8.99E+30
123,123,9.66E+12,1.16E+31
124,124,1.16E+13,1.48E+31
125,125,1.40E+13,1.80E+31
126,126,1.68E+13,2.30E+31
127,127,2.02E+13,2.95E+31
128,128,2.43E+13,3.63E+31
129,129,2.92E+13,4.73E+31
130,130,3.51E+13,6.24E+31
131,131,4.23E+13,8.41E+31
132,132,5.08E+13,1.16E+32
133,133,6.12E+13,1.56E+32
134,134,7.36E+13,2.05E+32
135,135,8.85E+13,3.13E+32
136,136,1.06E+14,4.55E+32
137,137,1.28E+14,7.14E+32
138,138,1.54E+14,1.08E+33
139,139,1.86E+14,1.73E+33
140,140,2.24E+14,2.79E+33
141,141,2.55E+14,4.09E+33
142,142,2.73E+14,4.90E+33
143,143,2.90E+14,5.71E+33
144,144,3.07E+14,6.71E+33
145,145,3.25E+14,7.84E+33
146,146,3.43E+14,9.09E+33
147,147,3.60E+14,1.05E+34
148,148,3.78E+14,1.20E+34
149,149,3.96E+14,1.36E+34
150,150,4.14E+14,1.54E+34
151,151,4.32E+14,1.74E+34
152,152,4.50E+14,1.95E+34
153,153,4.68E+14,2.19E+34
154,154,4.86E+14,2.44E+34
155,155,5.05E+14,2.71E+34
156,156,5.23E+14,2.99E+34
157,157,5.42E+14,3.28E+34
158,158,5.60E+14,3.60E+34
159,159,5.79E+14,3.94E+34
160,160,5.98E+14,4.30E+34
161,161,6.17E+14,4.67E+34
162,162,6.36E+14,5.07E+34
163,163,6.56E+14,5.49E+34
164,164,6.75E+14,5.92E+34
165,165,6.95E+14,6.38E+34
166,166,7.14E+14,6.85E+34
167,167,7.34E+14,7.31E+34
168,168,7.54E+14,7.83E+34
169,169,7.74E+14,8.36E+34
170,170,7.95E+14,8.92E+34
171,171,8.15E+14,9.50E+34
172,172,8.36E+14,1.01E+35
173,173,8.56E+14,1.07E+35
174,174,8.77E+14,1.14E+35
175,175,8.98E+14,1.20E+35
176,176,9.19E+14,1.27E+35
177,177,9.40E+14,1.34E+35
178,178,9.62E+14,1.42E+35
179,179,9.84E+14,1.50E+35
180,180,1.01E+15,1.58E+35
181,181,1.07E+15,1.83E+35
182,182,1.09E+15,1.92E+35
183,183,1.12E+15,2.01E+35
184,184,1.14E+15,2.10E+35
185,185,1.16E+15,2.20E+35
186,186,1.19E+15,2.30E+35
187,187,1.21E+15,2.41E+35
188,188,1.23E+15,2.52E+35
189,189,1.26E+15,2.63E+35
190,190,1.28E+15,2.74E+35
191,191,1.30E+15,2.85E+35
192,192,1.33E+15,2.97E+35
193,193,1.35E+15,3.09E+35
194,194,1.38E+15,3.22E+35
195,195,1.40E+15,3.35E+35
196,196,1.43E+15,3.48E+35
197,197,1.50E+15,3.89E+35
198,198,1.58E+15,4.32E+35
199,199,1.66E+15,4.78E+35
200,200,1.75E+15,5.26E+35
201,201,1.83E+15,5.77E+35
202,202,1.92E+15,6.31E+35
203,203,2.06E+15,7.24E+35
204,204,2.22E+15,8.25E+35
205,205,2.54E+15,1.04E+36
206,206,2.89E+15,1.29E+36
207,207,3.26E+15,1.55E+36
208,208,3.66E+15,1.83E+36
209,209,4.08E+15,2.14E+36
210,210,4.52E+15,2.46E+36
211,211,4.99E+15,2.81E+36
212,212,5.47E+15,3.17E+36
213,213,5.99E+15,3.56E+36
214,214,6.52E+15,3.96E+36
215,215,7.66E+15,4.83E+36
216,216,8.89E+15,5.77E+36
217,217,1.02E+16,6.79E+36
218,218,1.16E+16,7.89E+36
219,219,1.31E+16,9.07E+36
220,220,1.55E+16,1.10E+37
221,221,1.82E+16,1.30E+37
222,222,2.10E+16,1.53E+37
223,223,2.40E+16,1.77E+37
224,224,2.72E+16,2.03E+37
225,225,4.35E+16,3.35E+37
226,226,4.78E+16,3.70E+37
227,227,5.23E+16,4.07E+37
228,228,5.69E+16,4.45E+37
229,229,6.18E+16,4.86E+37
230,230,7.03E+16,5.56E+37
231,231,7.94E+16,6.32E+37
232,232,8.90E+16,7.12E+37
233,233,9.92E+16,7.97E+37
234,234,1.10E+17,8.87E+37
235,235,1.21E+17,9.81E+37
236,236,1.95E+17,1.61E+38
237,237,3.14E+17,2.64E+38
238,238,5.04E+17,4.32E+38
239,239,8.11E+17,7.08E+38
240,240,1.31E+18,1.15E+39
241,241,2.66E+18,2.37E+39
242,242,5.41E+18,4.84E+39
243,243,1.10E+19,9.88E+39
244,244,2.24E+19,2.01E+40
