a,b,rho,P
1,1,7.80E+00,1.01E+08
2,2,7.86E+00,1.01E+09
3,3,7.90E+00,1.01E+10
4,4,8.15E+00,1.01E+11
5,5,1.16E+01,1.21E+12
6,6,1.64E+01,1.40E+13
7,7,4.51E+01,1.70E+14
8,8,2.12E+02,5.82E+15
9,9,1.15E+03,1.90E+17
10,10,1.04E+04,9.74E+18
11,11,2.62E+04,4.97E+19
12,12,6.59E+04,2.43E+20
13,13,1.65E+05,1.15E+21
14,14,4.16E+05,5.27E+21
15,15,1.04E+06,2.32E+22
16,16,2.62E+06,9.76E+22
17,17,6.59E+06,3.91E+23
18,18,8.29E+06,5.26E+23
19,19,1.65E+07,1.44E+24
20,20,3.30E+07,3.83E+24
21,21,6.59E+07,1.01E+25
22,22,1.31E+08,2.60E+25
23,23,2.62E+08,6.68E+25
24,24,3.30E+08,8.74E+25
25,25,5.24E+08,1.63E+26
26,26,8.30E+08,3.03E+26
27,27,1.04E+09,4.13E+26
28,28,1.32E+09,5.04E+26
29,29,1.66E+09,6.86E+26
30,30,2.63E+09,1.27E+27
31,31,4.16E+09,2.36E+27
32,32,6.60E+09,4.36E+27
33,33,8.31E+09,5.66E+27
34,34,1.05E+10,7.70E+27
35,35,1.32E+10,1.05E+28
36,36,1.66E+10,1.43E+28
37,37,2.09E+10,1.94E+28
38,38,2.63E+10,2.50E+28
39,39,3.31E+10,3.40E+28
40,40,4.17E+10,4.63E+28
41,41,5.25E+10,5.95E+28
42,42,6.62E+10,8.09E+28
43,43,8.33E+10,1.10E+29
44,44,1.00E+11,1.40E+29
45,45,2.00E+11,3.13E+29
46,46,4.00E+11,7.16E+29
47,47,8.00E+11,1.04E+30
48,48,1.00E+12,1.26E+30
49,49,2.00E+12,2.12E+30
50,50,4.00E+12,3.78E+30
51,51,8.00E+12,8.53E+30
52,52,1.00E+13,1.16E+31
53,53,2.00E+13,3.26E+31
54,54,4.00E+13,9.41E+31
55,55,8.00E+13,2.75E+32
56,56,1.00E+14,3.93E+32
57,57,1.18E+14,4.77E+32
58,58,1.35E+14,5.76E+32
59,59,1.69E+14,8.06E+32
60,60,2.12E+14,1.24E+33
61,61,2.54E+14,1.85E+33
62,62,2.97E+14,2.63E+33
63,63,3.40E+14,3.56E+33
64,64,4.26E+14,6.37E+33
65,65,5.13E+14,1.16E+34
66,66,6.02E+14,1.95E+34
67,67,6.91E+14,3.12E+34
68,68,8.77E+14,7.21E+34
69,69,1.08E+15,1.40E+35
70,70,1.29E+15,2.58E+35
71,71,1.53E+15,4.35E+35
72,72,2.09E+15,9.52E+35
73,73,3.01E+15,1.78E+36
74,74,4.21E+15,2.86E+36
75,75,4.85E+15,3.44E+36
76,76,5.60E+15,4.11E+36
77,77,6.45E+15,4.88E+36
78,78,7.44E+15,5.76E+36
79,79,8.58E+15,6.79E+36
80,80,9.90E+15,7.97E+36
81,81,1.14E+16,9.33E+36
82,82,1.32E+16,1.09E+37
83,83,1.52E+16,1.27E+37
84,84,1.75E+16,1.48E+37
85,85,2.02E+16,1.72E+37
86,86,2.33E+16,2.00E+37
87,87,2.68E+16,2.32E+37
88,88,3.09E+16,2.69E+37
89,89,3.57E+16,3.11E+37
