a,b,rho,P
1,1,7.80E+00,1.01E+08
2,2,7.86E+00,1.01E+09
3,3,7.90E+00,1.01E+10
4,4,8.15E+00,1.01E+11
5,5,1.16E+01,1.21E+12
6,6,1.64E+01,1.40E+13
7,7,4.51E+01,1.70E+14
8,8,2.12E+02,5.82E+15
9,9,1.15E+03,1.90E+17
10,10,1.04E+04,9.74E+18
11,11,2.62E+04,4.97E+19
12,12,6.59E+04,2.43E+20
13,13,1.65E+05,1.15E+21
14,14,4.16E+05,5.27E+21
15,15,1.04E+06,2.32E+22
16,16,2.62E+06,9.76E+22
17,17,6.59E+06,3.91E+23
18,18,8.29E+06,5.26E+23
19,19,1.65E+07,1.44E+24
20,20,3.30E+07,3.83E+24
21,21,6.59E+07,1.01E+25
22,22,1.31E+08,2.60E+25
23,23,2.62E+08,6.68E+25
24,24,3.30E+08,8.74E+25
25,25,5.24E+08,1.63E+26
26,26,8.30E+08,3.03E+26
27,27,1.04E+09,4.13E+26
28,28,1.32E+09,5.04E+26
29,29,1.66E+09,6.86E+26
30,30,2.63E+09,1.27E+27
31,31,4.16E+09,2.36E+27
32,32,6.60E+09,4.36E+27
33,33,8.31E+09,5.66E+27
34,34,1.05E+10,7.70E+27
35,35,1.32E+10,1.05E+28
36,36,1.66E+10,1.43E+28
37,37,2.09E+10,1.94E+28
38,38,2.63E+10,2.50E+28
39,39,3.31E+10,3.40E+28
40,40,4.17E+10,4.63E+28
41,41,5.25E+10,5.95E+28
42,42,6.62E+10,8.09E+28
43,43,8.33E+10,1.10E+29
44,44,1.00E+11,1.40E+29
45,45,2.00E+11,3.13E+29
46,46,4.00E+11,7.16E+29
47,47,8.00E+11,1.04E+30
48,48,1.00E+12,1.26E+30
49,49,2.00E+12,2.12E+30
50,50,4.00E+12,3.78E+30
51,51,8.00E+12,8.53E+30
52,52,1.00E+13,1.16E+31
53,53,2.00E+13,3.26E+31
54,54,4.00E+13,9.41E+31
55,55,8.00E+13,2.75E+32
56,56,1.00E+14,3.93E+32
57,57,1.18E+14,4.20E+32
58,58,1.35E+14,5.41E+32
59,59,1.69E+14,8.51E+32
60,60,2.12E+14,1.45E+33
61,61,2.54E+14,2.25E+33
62,62,2.97E+14,3.27E+33
63,63,3.40E+14,4.82E+33
64,64,4.28E+14,9.87E+33
65,65,5.16E+14,1.78E+34
66,66,6.06E+14,2.93E+34
67,67,6.99E+14,4.59E+34
68,68,8.92E+14,9.92E+34
69,69,1.10E+15,1.85E+35
70,70,1.33E+15,3.15E+35
71,71,1.58E+15,5.09E+35
72,72,2.19E+15,1.06E+36
73,73,3.21E+15,1.97E+36
74,74,4.52E+15,3.15E+36
75,75,5.25E+15,3.81E+36
76,76,6.10E+15,4.57E+36
77,77,7.09E+15,5.46E+36
78,78,8.23E+15,6.48E+36
79,79,9.56E+15,7.68E+36
80,80,1.11E+16,9.06E+36
81,81,1.29E+16,1.07E+37
82,82,1.50E+16,1.25E+37
83,83,1.74E+16,1.47E+37
84,84,2.02E+16,1.72E+37
85,85,2.34E+16,2.02E+37
86,86,2.72E+16,2.36E+37
87,87,3.16E+16,2.75E+37
88,88,3.67E+16,3.21E+37
