a,b,rho,P
1,1.00E+00,4.52E+01,1.70E+14
2,2.00E+00,2.12E+02,5.82E+15
3,3.00E+00,1.15E+03,1.90E+17
4,4.00E+00,1.04E+04,9.74E+18
5,5.00E+00,2.62E+04,4.97E+19
6,6.00E+00,6.59E+04,2.43E+20
7,7.00E+00,1.66E+05,1.15E+21
8,8.00E+00,4.16E+05,5.27E+21
9,9.00E+00,1.05E+06,2.32E+22
10,1.00E+01,2.63E+06,9.77E+22
11,1.10E+01,6.60E+06,3.91E+23
12,1.20E+01,8.31E+06,5.26E+23
13,1.30E+01,1.66E+07,1.44E+24
14,1.40E+01,3.31E+07,3.83E+24
15,1.50E+01,6.60E+07,1.01E+25
16,1.60E+01,1.32E+08,2.60E+25
17,1.70E+01,2.63E+08,6.68E+25
18,1.80E+01,3.31E+08,8.74E+25
19,1.90E+01,5.24E+08,1.63E+26
20,2.00E+01,8.31E+08,3.03E+26
21,2.10E+01,1.05E+09,4.13E+26
22,2.20E+01,1.32E+09,5.04E+26
23,2.30E+01,1.66E+09,7.55E+26
24,2.40E+01,2.16E+09,1.06E+27
25,2.50E+01,2.66E+09,1.39E+27
26,2.60E+01,3.32E+09,1.86E+27
27,2.70E+01,4.16E+09,2.48E+27
28,2.80E+01,4.99E+09,3.15E+27
29,2.90E+01,6.65E+09,4.56E+27
30,3.00E+01,8.31E+09,6.09E+27
31,3.10E+01,9.98E+09,7.69E+27
32,3.20E+01,1.16E+10,9.38E+27
33,3.30E+01,1.33E+10,1.11E+28
34,3.40E+01,1.40E+10,1.18E+28
35,3.50E+01,1.66E+10,1.48E+28
36,3.60E+01,2.00E+10,1.87E+28
37,3.70E+01,2.50E+10,2.48E+28
38,3.80E+01,3.33E+10,3.57E+28
39,3.90E+01,4.16E+10,4.73E+28
40,4.00E+01,5.00E+10,5.95E+28
41,4.10E+01,6.67E+10,8.53E+28
42,4.20E+01,8.34E+10,1.13E+29
43,4.30E+01,1.00E+11,1.41E+29
44,4.40E+01,1.33E+11,2.01E+29
45,4.50E+01,1.67E+11,2.64E+29
46,4.60E+01,2.51E+11,4.30E+29
47,4.70E+01,3.34E+11,6.06E+29
48,4.80E+01,3.74E+11,6.93E+29
49,4.90E+01,4.18E+11,7.89E+29
50,5.00E+01,4.68E+11,9.01E+29
51,5.10E+01,5.02E+11,9.76E+29
52,5.20E+01,5.85E+11,1.17E+30
53,5.30E+01,6.69E+11,1.35E+30
54,5.40E+01,7.53E+11,1.50E+30
55,5.50E+01,8.37E+11,1.61E+30
56,5.60E+01,9.21E+11,1.70E+30
57,5.70E+01,1.00E+12,1.79E+30
58,5.80E+01,1.17E+12,1.95E+30
59,5.90E+01,1.34E+12,2.11E+30
60,6.00E+01,1.51E+12,2.27E+30
61,6.10E+01,1.68E+12,2.44E+30
62,6.20E+01,2.52E+12,3.35E+30
63,6.30E+01,3.36E+12,4.37E+30
64,6.40E+01,5.04E+12,6.68E+30
65,6.50E+01,8.40E+12,1.21E+31
66,6.60E+01,1.35E+13,2.17E+31
67,6.70E+01,1.68E+13,2.87E+31
68,6.80E+01,2.53E+13,4.75E+31
69,6.90E+01,3.37E+13,6.75E+31
70,7.00E+01,5.06E+13,1.10E+32
71,7.10E+01,6.75E+13,1.57E+32
72,7.20E+01,8.44E+13,2.10E+32
73,7.30E+01,1.01E+14,2.71E+32
74,7.40E+01,1.27E+14,3.88E+32
75,7.50E+01,1.35E+14,4.36E+32
76,7.60E+01,1.44E+14,4.89E+32
77,7.70E+01,1.49E+14,5.24E+32
78,7.80E+01,1.52E+14,5.48E+32
79,7.90E+01,1.56E+14,5.74E+32
80,8.00E+01,1.59E+14,6.01E+32
81,8.10E+01,1.61E+14,6.15E+32
82,8.20E+01,1.62E+14,6.28E+32
83,8.30E+01,1.63E+14,6.35E+32
84,8.40E+01,1.66E+14,6.40E+32
85,8.50E+01,1.68E+14,6.59E+32
86,8.60E+01,1.69E+14,6.78E+32
87,8.70E+01,1.90E+14,9.55E+32
88,8.80E+01,2.03E+14,1.18E+33
89,8.90E+01,2.13E+14,1.37E+33
90,9.00E+01,2.40E+14,1.97E+33
91,9.10E+01,2.55E+14,2.38E+33
92,9.20E+01,2.69E+14,2.82E+33
93,9.30E+01,3.02E+14,4.03E+33
94,9.40E+01,3.40E+14,5.69E+33
95,9.50E+01,3.82E+14,7.97E+33
96,9.60E+01,4.30E+14,1.11E+34
97,9.70E+01,4.85E+14,1.54E+34
98,9.80E+01,5.17E+14,1.85E+34
99,9.90E+01,5.46E+14,2.15E+34
100,1.00E+02,6.97E+14,4.23E+34
101,1.01E+02,7.88E+14,5.91E+34
102,1.02E+02,8.94E+14,8.22E+34
103,1.03E+02,1.02E+15,1.13E+35
104,1.04E+02,1.09E+15,1.36E+35
105,1.05E+02,1.16E+15,1.55E+35
106,1.06E+02,1.32E+15,2.11E+35
107,1.07E+02,1.52E+15,2.85E+35
108,1.08E+02,1.75E+15,3.85E+35
109,1.09E+02,2.02E+15,5.20E+35
110,1.10E+02,2.35E+15,7.01E+35
111,1.11E+02,2.75E+15,9.41E+35
112,1.12E+02,3.23E+15,1.26E+36
113,1.13E+02,3.83E+15,1.67E+36
114,1.14E+02,4.55E+15,2.21E+36
115,1.15E+02,5.45E+15,2.91E+36
116,1.16E+02,6.57E+15,3.81E+36
117,1.17E+02,7.96E+15,4.97E+36
118,1.18E+02,9.71E+15,6.46E+36
119,1.19E+02,1.19E+16,8.34E+36
120,1.20E+02,1.46E+16,1.07E+37
121,1.21E+02,1.81E+16,1.38E+37
122,1.22E+02,2.24E+16,1.76E+37
123,1.23E+02,2.78E+16,2.25E+37
124,1.24E+02,3.46E+16,2.85E+37
125,1.25E+02,4.32E+16,3.61E+37
126,1.26E+02,5.40E+16,4.56E+37
127,1.27E+02,6.76E+16,5.74E+37
128,1.28E+02,8.45E+16,7.19E+37
129,1.29E+02,1.06E+17,8.97E+37
