a,b,rho,P
,,1.06E+06,2.14E+22
,,1.12E+06,2.35E+22
,,1.19E+06,2.57E+22
,,1.26E+06,2.82E+22
,,1.33E+06,3.09E+22
,,1.41E+06,3.38E+22
,,1.50E+06,3.71E+22
,,1.58E+06,4.06E+22
,,1.68E+06,4.45E+22
,,1.78E+06,4.87E+22
,,1.88E+06,5.34E+22
,,2.00E+06,5.85E+22
,,2.11E+06,6.41E+22
,,2.24E+06,7.02E+22
,,2.37E+06,7.69E+22
,,2.51E+06,8.42E+22
,,2.66E+06,9.23E+22
,,2.82E+06,1.01E+23
,,2.99E+06,1.11E+23
,,3.16E+06,1.21E+23
,,3.35E+06,1.33E+23
,,3.55E+06,1.46E+23
,,3.76E+06,1.59E+23
,,3.98E+06,1.75E+23
,,4.22E+06,1.91E+23
,,4.47E+06,2.10E+23
,,4.73E+06,2.30E+23
,,5.01E+06,2.52E+23
,,5.31E+06,2.76E+23
,,5.62E+06,3.02E+23
,,5.96E+06,3.31E+23
,,6.31E+06,3.62E+23
,,6.68E+06,3.97E+23
,,7.08E+06,4.35E+23
,,7.50E+06,4.76E+23
,,7.94E+06,5.22E+23
,,8.41E+06,5.72E+23
,,8.91E+06,6.26E+23
,,9.44E+06,6.86E+23
,,1.00E+07,7.52E+23
,,1.06E+07,8.23E+23
,,1.12E+07,9.02E+23
,,1.19E+07,9.88E+23
,,1.26E+07,1.08E+24
,,1.33E+07,1.19E+24
,,1.41E+07,1.30E+24
,,1.50E+07,1.42E+24
,,1.59E+07,1.56E+24
,,1.68E+07,1.71E+24
,,1.78E+07,1.87E+24
,,1.88E+07,2.05E+24
,,2.00E+07,2.25E+24
,,2.11E+07,2.46E+24
,,2.24E+07,2.69E+24
,,2.37E+07,2.95E+24
,,2.51E+07,3.21E+24
,,2.66E+07,3.45E+24
,,2.82E+07,3.72E+24
,,2.99E+07,4.00E+24
,,3.16E+07,4.31E+24
,,3.35E+07,4.64E+24
,,3.55E+07,5.00E+24
,,3.76E+07,5.39E+24
,,3.98E+07,5.80E+24
,,4.22E+07,6.25E+24
,,4.47E+07,6.73E+24
,,4.73E+07,7.24E+24
,,5.01E+07,7.80E+24
,,5.31E+07,8.40E+24
,,5.63E+07,9.05E+24
,,5.96E+07,9.74E+24
,,6.31E+07,1.05E+25
,,6.69E+07,1.13E+25
,,7.08E+07,1.22E+25
,,7.50E+07,1.31E+25
,,7.95E+07,1.41E+25
,,8.42E+07,1.52E+25
,,8.92E+07,1.64E+25
,,9.44E+07,1.76E+25
,,1.00E+08,1.90E+25
,,1.06E+08,2.04E+25
,,1.12E+08,2.20E+25
,,1.19E+08,2.37E+25
,,1.26E+08,2.55E+25
,,1.33E+08,2.75E+25
,,1.41E+08,2.96E+25
,,1.50E+08,3.19E+25
,,1.59E+08,3.43E+25
,,1.68E+08,3.70E+25
,,1.78E+08,3.98E+25
,,1.88E+08,4.29E+25
,,2.00E+08,4.62E+25
,,2.11E+08,4.97E+25
,,2.24E+08,5.36E+25
,,2.37E+08,5.77E+25
,,2.51E+08,6.21E+25
,,2.66E+08,6.69E+25
,,2.82E+08,7.21E+25
,,2.99E+08,7.76E+25
,,3.16E+08,8.36E+25
,,3.35E+08,9.00E+25
,,3.55E+08,9.69E+25
,,3.76E+08,1.04E+26
,,3.98E+08,1.12E+26
,,4.22E+08,1.21E+26
,,4.47E+08,1.30E+26
,,4.74E+08,1.40E+26
,,5.02E+08,1.51E+26
,,5.31E+08,1.63E+26
,,5.63E+08,1.75E+26
,,5.96E+08,1.89E+26
,,6.32E+08,2.03E+26
,,6.69E+08,2.19E+26
,,7.09E+08,2.36E+26
,,7.51E+08,2.54E+26
,,7.95E+08,2.73E+26
,,8.42E+08,2.95E+26
,,8.92E+08,3.17E+26
,,9.45E+08,3.42E+26
,,1.00E+09,3.68E+26
,,1.06E+09,3.96E+26
,,1.12E+09,4.27E+26
,,1.19E+09,4.59E+26
,,1.26E+09,4.95E+26
,,1.34E+09,5.33E+26
,,1.41E+09,5.74E+26
,,1.50E+09,6.18E+26
,,1.59E+09,6.65E+26
,,1.68E+09,7.17E+26
,,1.78E+09,7.72E+26
,,1.89E+09,8.31E+26
,,2.00E+09,8.95E+26
,,2.12E+09,9.64E+26
,,2.24E+09,1.04E+27
,,2.38E+09,1.12E+27
,,2.52E+09,1.20E+27
,,2.67E+09,1.30E+27
,,2.82E+09,1.40E+27
,,2.99E+09,1.50E+27
,,3.17E+09,1.62E+27
,,3.36E+09,1.74E+27
,,3.55E+09,1.88E+27
,,3.77E+09,2.02E+27
,,3.99E+09,2.18E+27
,,4.23E+09,2.35E+27
,,4.48E+09,2.53E+27
,,4.74E+09,2.72E+27
,,5.02E+09,2.93E+27
,,5.32E+09,3.15E+27
,,5.64E+09,3.40E+27
,,5.97E+09,3.66E+27
,,6.32E+09,3.94E+27
,,6.70E+09,4.24E+27
,,7.10E+09,4.57E+27
,,7.52E+09,4.92E+27
,,7.96E+09,5.30E+27
,,8.43E+09,5.71E+27
,,8.93E+09,6.15E+27
,,9.46E+09,6.62E+27
,,1.00E+10,7.13E+27
,,1.06E+10,7.68E+27
,,1.12E+10,8.27E+27
,,1.19E+10,8.90E+27
,,1.26E+10,9.59E+27
,,1.34E+10,1.03E+28
,,1.42E+10,1.11E+28
,,1.50E+10,1.20E+28
,,1.59E+10,1.29E+28
,,1.68E+10,1.39E+28
