a,b,rho,P
,,1.68E+03,5.10E+21
,,1.84E+03,5.10E+21
,,2.01E+03,5.10E+21
,,2.21E+03,5.10E+21
,,2.42E+03,5.10E+21
,,2.65E+03,5.11E+21
,,2.90E+03,5.11E+21
,,3.18E+03,5.11E+21
,,3.48E+03,5.12E+21
,,3.82E+03,5.12E+21
,,4.19E+03,5.13E+21
,,4.59E+03,5.13E+21
,,5.03E+03,5.14E+21
,,5.51E+03,5.15E+21
,,6.04E+03,5.16E+21
,,6.62E+03,5.18E+21
,,7.26E+03,5.19E+21
,,7.96E+03,5.21E+21
,,8.72E+03,5.23E+21
,,9.56E+03,5.25E+21
,,1.05E+04,5.28E+21
,,1.15E+04,5.31E+21
,,1.26E+04,5.35E+21
,,1.38E+04,5.39E+21
,,1.51E+04,5.44E+21
,,1.66E+04,5.49E+21
,,1.82E+04,5.55E+21
,,2.00E+04,5.62E+21
,,2.19E+04,5.70E+21
,,2.40E+04,5.78E+21
,,2.63E+04,5.88E+21
,,2.88E+04,5.99E+21
,,3.16E+04,6.11E+21
,,3.47E+04,6.24E+21
,,3.80E+04,6.38E+21
,,4.17E+04,6.54E+21
,,4.57E+04,6.72E+21
,,5.01E+04,6.92E+21
,,5.50E+04,7.13E+21
,,6.03E+04,7.37E+21
,,6.61E+04,7.63E+21
,,7.24E+04,7.92E+21
,,7.94E+04,8.24E+21
,,8.71E+04,8.58E+21
,,9.55E+04,8.97E+21
,,1.05E+05,9.39E+21
,,1.15E+05,9.85E+21
,,1.26E+05,1.04E+22
,,1.38E+05,1.09E+22
,,1.51E+05,1.15E+22
,,1.66E+05,1.22E+22
,,1.82E+05,1.30E+22
,,1.99E+05,1.38E+22
,,2.19E+05,1.47E+22
,,2.40E+05,1.57E+22
,,2.63E+05,1.68E+22
,,2.88E+05,1.80E+22
,,3.16E+05,1.94E+22
,,3.47E+05,2.08E+22
,,3.80E+05,2.25E+22
,,4.17E+05,2.43E+22
,,4.57E+05,2.63E+22
,,5.01E+05,2.85E+22
,,5.49E+05,3.09E+22
,,6.02E+05,3.37E+22
,,6.61E+05,3.67E+22
,,7.24E+05,4.00E+22
,,7.94E+05,4.37E+22
,,8.71E+05,4.79E+22
,,9.55E+05,5.25E+22
,,1.05E+06,5.76E+22
,,1.15E+06,6.33E+22
,,1.26E+06,6.97E+22
,,1.38E+06,7.68E+22
,,1.51E+06,8.48E+22
,,1.66E+06,9.38E+22
,,1.82E+06,1.04E+23
,,1.99E+06,1.15E+23
,,2.19E+06,1.28E+23
,,2.40E+06,1.42E+23
,,2.63E+06,1.58E+23
,,2.88E+06,1.76E+23
,,3.16E+06,1.96E+23
,,3.47E+06,2.19E+23
,,3.80E+06,2.45E+23
,,4.17E+06,2.75E+23
,,4.57E+06,3.08E+23
,,5.01E+06,3.45E+23
,,5.49E+06,3.87E+23
,,6.02E+06,4.35E+23
,,6.61E+06,4.90E+23
,,7.24E+06,5.51E+23
,,7.94E+06,6.21E+23
,,8.71E+06,7.00E+23
,,9.55E+06,7.89E+23
,,1.05E+07,8.91E+23
,,1.15E+07,1.01E+24
,,1.26E+07,1.14E+24
,,1.38E+07,1.28E+24
,,1.51E+07,1.45E+24
,,1.66E+07,1.64E+24
,,1.82E+07,1.86E+24
,,2.00E+07,2.10E+24
,,2.19E+07,2.38E+24
,,2.40E+07,2.69E+24
,,2.63E+07,3.05E+24
,,2.88E+07,3.45E+24
,,3.16E+07,3.90E+24
,,3.47E+07,4.42E+24
,,3.80E+07,5.00E+24
,,4.17E+07,5.66E+24
,,4.57E+07,6.41E+24
,,5.01E+07,7.26E+24
,,5.50E+07,8.22E+24
,,6.03E+07,9.31E+24
,,6.61E+07,1.05E+25
,,7.25E+07,1.19E+25
,,7.94E+07,1.35E+25
,,8.71E+07,1.53E+25
,,9.55E+07,1.73E+25
,,1.05E+08,1.96E+25
,,1.15E+08,2.21E+25
,,1.26E+08,2.50E+25
,,1.38E+08,2.83E+25
,,1.51E+08,3.20E+25
,,1.66E+08,3.62E+25
,,1.82E+08,4.10E+25
,,2.00E+08,4.63E+25
,,2.19E+08,5.24E+25
,,2.40E+08,5.92E+25
,,2.63E+08,6.69E+25
,,2.89E+08,7.56E+25
,,3.16E+08,8.54E+25
,,3.47E+08,9.65E+25
,,3.80E+08,1.09E+26
,,4.17E+08,1.23E+26
,,4.57E+08,1.39E+26
