a,b,rho,P
,,1.26E+06,2.82E+22
,,1.58E+06,4.06E+22
,,2.00E+06,5.85E+22
,,2.51E+06,8.42E+22
,,3.16E+06,1.21E+23
,,3.98E+06,1.75E+23
,,5.01E+06,2.52E+23
,,6.31E+06,3.62E+23
,,7.94E+06,5.22E+23
,,1.00E+07,7.52E+23
,,1.26E+07,1.08E+24
,,1.59E+07,1.56E+24
,,2.00E+07,2.25E+24
,,2.51E+07,3.21E+24
,,3.16E+07,4.31E+24
,,3.98E+07,5.80E+24
,,5.01E+07,7.80E+24
,,6.31E+07,1.05E+25
,,7.95E+07,1.41E+25
,,1.00E+08,1.90E+25
,,1.26E+08,2.55E+25
,,1.59E+08,3.43E+25
,,2.00E+08,4.62E+25
,,2.51E+08,6.21E+25
,,3.16E+08,8.36E+25
,,3.98E+08,1.12E+26
,,5.02E+08,1.51E+26
,,6.32E+08,2.03E+26
,,7.95E+08,2.73E+26
,,1.00E+09,3.68E+26
,,1.26E+09,4.95E+26
,,1.59E+09,6.65E+26
,,2.00E+09,8.95E+26
,,2.52E+09,1.20E+27
,,3.17E+09,1.62E+27
,,3.99E+09,2.18E+27
,,5.02E+09,2.93E+27
,,6.32E+09,3.94E+27
,,7.96E+09,5.30E+27
,,1.00E+10,7.13E+27
,,1.26E+10,9.59E+27
,,1.59E+10,1.29E+28
,,2.00E+10,1.73E+28
,,2.52E+10,2.33E+28
,,3.17E+10,3.14E+28
,,4.00E+10,4.22E+28
,,5.03E+10,5.68E+28
,,6.34E+10,7.64E+28
,,7.98E+10,1.03E+29
,,1.01E+11,1.38E+29
,,1.27E+11,1.86E+29
,,1.59E+11,2.50E+29
,,2.01E+11,3.36E+29
,,2.53E+11,4.52E+29
,,3.19E+11,6.08E+29
,,4.01E+11,7.91E+29
,,5.05E+11,9.12E+29
,,6.36E+11,1.05E+30
,,8.02E+11,1.22E+30
,,1.01E+12,1.40E+30
,,1.27E+12,1.62E+30
,,1.60E+12,1.87E+30
,,2.02E+12,2.16E+30
,,2.54E+12,2.49E+30
,,3.20E+12,3.29E+30
,,4.03E+12,4.50E+30
,,5.07E+12,6.14E+30
,,6.38E+12,8.40E+30
,,8.04E+12,1.15E+31
,,1.01E+13,1.57E+31
,,1.28E+13,2.14E+31
,,1.61E+13,2.93E+31
,,2.02E+13,4.00E+31
,,2.55E+13,5.47E+31
,,3.21E+13,7.48E+31
,,4.04E+13,1.02E+32
,,5.09E+13,1.40E+32
,,6.42E+13,1.91E+32
,,8.09E+13,2.61E+32
,,1.02E+14,3.57E+32
,,1.28E+14,4.88E+32
,,1.62E+14,7.61E+32
,,2.04E+14,1.52E+33
,,2.57E+14,3.04E+33
,,3.25E+14,6.07E+33
,,4.12E+14,1.21E+34
,,5.24E+14,2.42E+34
,,6.69E+14,4.82E+34
,,8.62E+14,9.59E+34
,,1.12E+15,1.91E+35
,,1.49E+15,3.68E+35
,,2.03E+15,7.09E+35
,,2.84E+15,1.37E+36
,,4.12E+15,2.52E+36
,,6.25E+15,4.43E+36
,,9.91E+15,7.72E+36
,,1.64E+16,1.36E+37
,,2.83E+16,2.42E+37
,,5.02E+16,4.39E+37
,,9.14E+16,8.10E+37
,,1.43E+17,1.27E+38
,,2.24E+17,2.00E+38
,,3.50E+17,3.13E+38
,,5.48E+17,4.91E+38
,,8.57E+17,7.69E+38
,,1.34E+18,1.20E+39
