a,b,rho,P
,,1.70E+03,7.26E+21
,,1.86E+03,7.26E+21
,,2.03E+03,7.26E+21
,,2.23E+03,7.26E+21
,,2.44E+03,7.27E+21
,,2.67E+03,7.27E+21
,,2.92E+03,7.27E+21
,,3.20E+03,7.28E+21
,,3.51E+03,7.28E+21
,,3.84E+03,7.28E+21
,,4.21E+03,7.29E+21
,,4.61E+03,7.30E+21
,,5.05E+03,7.31E+21
,,5.53E+03,7.32E+21
,,6.06E+03,7.33E+21
,,6.65E+03,7.34E+21
,,7.28E+03,7.36E+21
,,7.98E+03,7.37E+21
,,8.75E+03,7.39E+21
,,9.59E+03,7.42E+21
,,1.05E+04,7.44E+21
,,1.15E+04,7.47E+21
,,1.26E+04,7.51E+21
,,1.38E+04,7.55E+21
,,1.52E+04,7.59E+21
,,1.66E+04,7.65E+21
,,1.82E+04,7.71E+21
,,2.00E+04,7.77E+21
,,2.19E+04,7.85E+21
,,2.40E+04,7.94E+21
,,2.63E+04,8.03E+21
,,2.89E+04,8.14E+21
,,3.17E+04,8.26E+21
,,3.47E+04,8.40E+21
,,3.81E+04,8.55E+21
,,4.17E+04,8.71E+21
,,4.57E+04,8.90E+21
,,5.02E+04,9.10E+21
,,5.50E+04,9.33E+21
,,6.03E+04,9.57E+21
,,6.61E+04,9.85E+21
,,7.25E+04,1.02E+22
,,7.95E+04,1.05E+22
,,8.71E+04,1.09E+22
,,9.55E+04,1.13E+22
,,1.05E+05,1.17E+22
,,1.15E+05,1.22E+22
,,1.26E+05,1.27E+22
,,1.38E+05,1.33E+22
,,1.51E+05,1.40E+22
,,1.66E+05,1.47E+22
,,1.82E+05,1.55E+22
,,2.00E+05,1.64E+22
,,2.19E+05,1.74E+22
,,2.40E+05,1.84E+22
,,2.63E+05,1.96E+22
,,2.88E+05,2.09E+22
,,3.16E+05,2.23E+22
,,3.47E+05,2.39E+22
,,3.80E+05,2.56E+22
,,4.17E+05,2.75E+22
,,4.57E+05,2.96E+22
,,5.01E+05,3.19E+22
,,5.50E+05,3.45E+22
,,6.03E+05,3.74E+22
,,6.61E+05,4.05E+22
,,7.24E+05,4.40E+22
,,7.94E+05,4.79E+22
,,8.71E+05,5.22E+22
,,9.55E+05,5.70E+22
,,1.05E+06,6.23E+22
,,1.15E+06,6.82E+22
,,1.26E+06,7.49E+22
,,1.38E+06,8.22E+22
,,1.51E+06,9.05E+22
,,1.66E+06,9.97E+22
,,1.82E+06,1.10E+23
,,2.00E+06,1.22E+23
,,2.19E+06,1.34E+23
,,2.40E+06,1.49E+23
,,2.63E+06,1.65E+23
,,2.88E+06,1.84E+23
,,3.16E+06,2.04E+23
,,3.47E+06,2.28E+23
,,3.80E+06,2.54E+23
,,4.17E+06,2.83E+23
,,4.57E+06,3.17E+23
,,5.01E+06,3.54E+23
,,5.49E+06,3.97E+23
,,6.03E+06,4.45E+23
,,6.61E+06,4.99E+23
,,7.24E+06,5.61E+23
,,7.94E+06,6.31E+23
,,8.71E+06,7.10E+23
,,9.55E+06,7.99E+23
,,1.05E+07,9.00E+23
,,1.15E+07,1.02E+24
,,1.26E+07,1.15E+24
,,1.38E+07,1.29E+24
,,1.51E+07,1.46E+24
,,1.66E+07,1.65E+24
,,1.82E+07,1.86E+24
,,2.00E+07,2.11E+24
,,2.19E+07,2.38E+24
,,2.40E+07,2.70E+24
,,2.63E+07,3.05E+24
,,2.88E+07,3.45E+24
,,3.16E+07,3.91E+24
,,3.47E+07,4.42E+24
,,3.80E+07,5.01E+24
,,4.17E+07,5.67E+24
,,4.57E+07,6.42E+24
,,5.01E+07,7.27E+24
,,5.50E+07,8.23E+24
,,6.03E+07,9.32E+24
,,6.61E+07,1.06E+25
,,7.25E+07,1.20E+25
,,7.94E+07,1.35E+25
,,8.71E+07,1.53E+25
,,9.55E+07,1.74E+25
,,1.05E+08,1.97E+25
,,1.15E+08,2.23E+25
,,1.26E+08,2.44E+25
,,1.38E+08,2.77E+25
,,1.51E+08,3.13E+25
,,1.66E+08,3.55E+25
,,1.82E+08,4.01E+25
,,2.00E+08,4.54E+25
,,2.19E+08,5.14E+25
,,2.40E+08,5.82E+25
,,2.63E+08,6.59E+25
,,2.89E+08,7.46E+25
,,3.16E+08,8.44E+25
,,3.47E+08,9.55E+25
,,3.80E+08,1.08E+26
,,4.17E+08,1.22E+26
,,4.57E+08,1.38E+26
,,5.01E+08,1.57E+26
,,5.50E+08,1.77E+26
,,6.03E+08,2.01E+26
,,6.61E+08,2.27E+26
,,7.25E+08,2.49E+26
,,7.95E+08,2.81E+26
,,8.72E+08,3.18E+26
,,9.56E+08,3.60E+26
,,1.05E+09,4.07E+26
,,1.15E+09,4.61E+26
,,1.26E+09,5.21E+26
,,1.38E+09,5.89E+26
,,1.52E+09,6.67E+26
,,1.66E+09,7.54E+26
,,1.82E+09,8.53E+26
,,2.00E+09,9.34E+26
,,2.19E+09,1.06E+27
,,2.40E+09,1.19E+27
,,2.63E+09,1.35E+27
,,2.89E+09,1.53E+27
,,3.17E+09,1.73E+27
,,3.47E+09,1.95E+27
,,3.81E+09,2.21E+27
,,4.18E+09,2.50E+27
,,4.58E+09,2.73E+27
,,5.02E+09,3.09E+27
,,5.51E+09,3.50E+27
,,6.04E+09,3.95E+27
,,6.62E+09,4.47E+27
,,7.26E+09,5.05E+27
,,7.96E+09,5.72E+27
,,8.73E+09,6.25E+27
,,9.57E+09,7.07E+27
,,1.05E+10,7.99E+27
,,1.15E+10,9.04E+27
,,1.26E+10,1.02E+28
,,1.38E+10,1.16E+28
,,1.52E+10,1.31E+28
,,1.66E+10,1.43E+28
,,1.82E+10,1.62E+28
,,2.00E+10,1.83E+28
,,2.19E+10,2.07E+28
,,2.41E+10,2.34E+28
,,2.64E+10,2.64E+28
,,2.89E+10,2.89E+28
,,3.17E+10,3.26E+28
,,3.48E+10,3.69E+28
,,3.82E+10,4.17E+28
,,4.18E+10,4.72E+28
,,4.59E+10,5.15E+28
,,5.03E+10,5.82E+28
,,5.52E+10,6.58E+28
,,6.05E+10,7.44E+28
,,6.64E+10,8.10E+28
,,7.28E+10,9.16E+28
,,7.98E+10,1.04E+29
,,8.75E+10,1.17E+29
,,9.60E+10,1.27E+29
,,1.05E+11,1.44E+29
,,1.15E+11,1.63E+29
,,1.27E+11,1.84E+29
,,1.39E+11,2.00E+29
,,1.52E+11,2.26E+29
,,1.67E+11,2.45E+29
,,1.83E+11,2.77E+29
,,2.01E+11,3.14E+29
,,2.20E+11,3.40E+29
,,2.41E+11,3.84E+29
,,2.65E+11,4.17E+29
,,2.90E+11,4.72E+29
,,3.18E+11,5.11E+29
,,3.49E+11,5.78E+29
,,3.83E+11,6.26E+29
,,4.20E+11,7.08E+29
,,4.61E+11,7.65E+29
,,5.05E+11,8.26E+29
,,5.54E+11,8.91E+29
,,6.07E+11,9.59E+29
,,6.66E+11,9.81E+29
,,7.31E+11,1.05E+30
,,8.01E+11,1.07E+30
,,8.79E+11,1.14E+30
,,9.63E+11,1.22E+30
,,1.06E+12,1.29E+30
,,1.16E+12,1.38E+30
,,1.27E+12,1.46E+30
,,1.39E+12,1.55E+30
,,1.53E+12,1.64E+30
,,1.68E+12,1.74E+30
,,1.84E+12,1.84E+30
,,2.01E+12,2.08E+30
,,2.21E+12,2.20E+30
,,2.42E+12,2.32E+30
,,2.66E+12,2.63E+30
,,2.91E+12,2.78E+30
,,3.19E+12,3.15E+30
,,3.50E+12,3.57E+30
,,3.84E+12,3.77E+30
,,4.21E+12,4.27E+30
,,4.62E+12,4.51E+30
,,5.07E+12,5.10E+30
,,5.56E+12,5.37E+30
,,6.09E+12,6.07E+30
,,6.68E+12,6.39E+30
,,7.33E+12,7.19E+30
,,8.03E+12,7.60E+30
,,8.81E+12,8.09E+30
,,9.66E+12,9.03E+30
,,1.06E+13,9.63E+30
,,1.16E+13,1.07E+31
,,1.27E+13,1.18E+31
,,1.40E+13,1.30E+31
,,1.53E+13,1.43E+31
,,1.68E+13,1.56E+31
,,1.84E+13,1.70E+31
,,2.02E+13,1.85E+31
,,2.21E+13,2.00E+31
,,2.43E+13,2.16E+31
,,2.66E+13,2.32E+31
,,2.92E+13,2.49E+31
,,3.20E+13,2.67E+31
,,3.51E+13,2.86E+31
,,3.85E+13,3.09E+31
,,4.22E+13,3.38E+31
,,4.63E+13,3.75E+31
,,5.08E+13,4.18E+31
,,5.57E+13,4.66E+31
,,6.11E+13,5.34E+31
,,6.70E+13,6.33E+31
,,7.34E+13,7.83E+31
,,8.05E+13,1.01E+32
,,8.83E+13,1.34E+32
,,9.69E+13,1.86E+32
,,1.06E+14,2.69E+32
,,1.17E+14,3.95E+32
,,1.28E+14,5.81E+32
,,1.40E+14,8.47E+32
,,1.54E+14,1.22E+33
,,1.69E+14,1.73E+33
,,1.86E+14,2.43E+33
,,2.04E+14,3.30E+33
,,2.24E+14,4.44E+33
,,2.46E+14,5.90E+33
,,2.70E+14,7.77E+33
,,2.98E+14,1.02E+34
,,3.28E+14,1.33E+34
,,3.61E+14,1.72E+34
,,3.98E+14,2.25E+34
,,4.39E+14,2.88E+34
,,4.85E+14,3.66E+34
,,5.36E+14,4.62E+34
,,5.93E+14,5.80E+34
,,6.57E+14,7.23E+34
,,7.29E+14,8.97E+34
,,8.10E+14,1.11E+35
,,9.01E+14,1.36E+35
,,1.00E+15,1.65E+35
,,1.12E+15,2.00E+35
,,1.25E+15,2.41E+35
,,1.40E+15,2.89E+35
,,1.57E+15,3.46E+35
,,1.76E+15,4.11E+35
,,1.98E+15,4.85E+35
,,2.23E+15,5.70E+35
,,2.51E+15,6.67E+35
,,2.83E+15,7.82E+35
,,3.19E+15,9.08E+35
,,3.60E+15,1.05E+36
,,4.07E+15,1.22E+36
,,4.60E+15,1.41E+36
,,5.21E+15,1.62E+36
,,5.90E+15,1.85E+36
,,6.68E+15,2.13E+36
,,7.57E+15,2.43E+36
,,8.58E+15,2.78E+36
,,9.72E+15,3.18E+36
,,1.10E+16,3.62E+36
,,1.25E+16,4.11E+36
,,1.42E+16,4.69E+36
,,1.61E+16,5.32E+36
,,1.83E+16,6.03E+36
,,2.07E+16,6.86E+36
,,2.35E+16,7.76E+36
,,2.66E+16,8.83E+36
,,3.00E+16,9.98E+36
,,3.37E+16,1.13E+37
,,3.73E+16,1.26E+37
,,4.07E+16,1.38E+37
,,4.39E+16,1.48E+37
,,6.38E+16,2.15E+37
,,9.28E+16,3.12E+37
,,1.35E+17,4.53E+37
,,1.96E+17,6.58E+37
,,2.86E+17,9.55E+37
,,4.15E+17,1.39E+38
,,6.04E+17,2.01E+38
