a,b,rho,P
1,1,1.26E+06,2.82E+22
2,2,1.58E+06,4.06E+22
3,3,2.00E+06,5.85E+22
4,4,2.51E+06,8.42E+22
5,5,3.16E+06,1.21E+23
6,6,3.98E+06,1.75E+23
7,7,5.01E+06,2.52E+23
8,8,6.31E+06,3.62E+23
9,9,7.94E+06,5.22E+23
10,10,1.00E+07,7.52E+23
11,11,1.26E+07,1.08E+24
12,12,1.59E+07,1.56E+24
13,13,2.00E+07,2.25E+24
14,14,2.51E+07,3.21E+24
15,15,3.16E+07,4.31E+24
16,16,3.98E+07,5.80E+24
17,17,5.01E+07,7.80E+24
18,18,6.31E+07,1.05E+25
19,19,7.95E+07,1.41E+25
20,20,1.00E+08,1.90E+25
21,21,1.26E+08,2.55E+25
22,22,1.59E+08,3.43E+25
23,23,2.00E+08,4.62E+25
24,24,2.51E+08,6.21E+25
25,25,3.16E+08,8.36E+25
26,26,3.98E+08,1.12E+26
27,27,5.02E+08,1.51E+26
28,28,6.32E+08,2.03E+26
29,29,7.95E+08,2.73E+26
30,30,1.00E+09,3.68E+26
31,31,1.26E+09,4.95E+26
32,32,1.59E+09,6.65E+26
33,33,2.00E+09,8.95E+26
34,34,2.52E+09,1.20E+27
35,35,3.17E+09,1.62E+27
36,36,3.99E+09,2.18E+27
37,37,5.02E+09,2.93E+27
38,38,6.32E+09,3.94E+27
39,39,7.96E+09,5.30E+27
40,40,1.00E+10,7.13E+27
41,41,1.26E+10,9.59E+27
42,42,1.59E+10,1.29E+28
43,43,2.00E+10,1.73E+28
44,44,2.52E+10,2.33E+28
45,45,3.17E+10,3.14E+28
46,46,4.00E+10,4.22E+28
47,47,5.03E+10,5.68E+28
48,48,6.34E+10,7.64E+28
49,49,7.98E+10,1.03E+29
50,50,1.01E+11,1.38E+29
51,51,1.27E+11,1.86E+29
52,52,1.59E+11,2.50E+29
53,53,2.01E+11,3.36E+29
54,54,2.53E+11,4.52E+29
55,55,3.19E+11,6.08E+29
56,56,4.01E+11,7.91E+29
57,57,5.05E+11,9.12E+29
58,58,6.36E+11,1.05E+30
59,59,8.02E+11,1.22E+30
60,60,1.01E+12,1.40E+30
61,61,1.27E+12,1.62E+30
62,62,1.60E+12,1.87E+30
63,63,2.02E+12,2.16E+30
64,64,2.54E+12,2.49E+30
65,65,3.20E+12,3.29E+30
66,66,4.03E+12,4.50E+30
67,67,5.07E+12,6.14E+30
68,68,6.38E+12,8.40E+30
69,69,8.04E+12,1.15E+31
70,70,1.01E+13,1.57E+31
71,71,1.28E+13,2.14E+31
72,72,1.61E+13,2.93E+31
73,73,2.02E+13,4.00E+31
74,74,2.55E+13,5.47E+31
75,75,3.21E+13,7.48E+31
76,76,4.04E+13,1.02E+32
77,77,5.09E+13,1.40E+32
78,78,6.42E+13,1.91E+32
79,79,8.09E+13,2.61E+32
80,80,1.02E+14,3.57E+32
81,81,1.28E+14,4.88E+32
82,82,1.62E+14,6.67E+32
83,83,2.04E+14,1.06E+33
84,84,2.57E+14,1.88E+33
85,85,3.24E+14,3.37E+33
86,86,4.10E+14,6.01E+33
87,87,5.18E+14,1.07E+34
88,88,6.57E+14,2.57E+34
89,89,8.39E+14,6.15E+34
90,90,1.08E+15,1.47E+35
91,91,1.43E+15,3.42E+35
92,92,1.95E+15,7.95E+35
93,93,2.81E+15,1.57E+36
94,94,4.36E+15,2.96E+36
95,95,7.40E+15,5.69E+36
96,96,1.37E+16,1.14E+37
97,97,2.76E+16,2.38E+37
98,98,5.87E+16,5.18E+37
99,99,1.29E+17,1.15E+38
100,100,2.92E+17,2.61E+38
101,101,5.12E+17,4.60E+38
102,102,8.99E+17,8.07E+38
103,103,1.58E+18,1.42E+39
104,104,2.77E+18,2.49E+39
105,105,4.86E+18,4.37E+39
