r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.4597e-01,1.1676e-03,1.4786e-04
3.7500e-03,2.5792e-10,-6.4597e-01,1.1676e-03,1.4786e-04
7.5000e-03,2.0634e-09,-6.4597e-01,1.1676e-03,1.4786e-04
1.1250e-02,6.9638e-09,-6.4597e-01,1.1676e-03,1.4786e-04
1.5000e-02,1.6507e-08,-6.4597e-01,1.1676e-03,1.4786e-04
1.8750e-02,3.2240e-08,-6.4597e-01,1.1676e-03,1.4786e-04
2.2500e-02,5.5710e-08,-6.4597e-01,1.1676e-03,1.4786e-04
2.6250e-02,8.8466e-08,-6.4596e-01,1.1676e-03,1.4786e-04
3.0000e-02,1.3205e-07,-6.4596e-01,1.1676e-03,1.4786e-04
3.3750e-02,1.8802e-07,-6.4596e-01,1.1676e-03,1.4786e-04
3.7500e-02,2.5792e-07,-6.4596e-01,1.1676e-03,1.4785e-04
4.1250e-02,3.4329e-07,-6.4596e-01,1.1676e-03,1.4785e-04
4.5000e-02,4.4568e-07,-6.4596e-01,1.1676e-03,1.4785e-04
4.8750e-02,5.6664e-07,-6.4595e-01,1.1676e-03,1.4785e-04
5.2500e-02,7.0771e-07,-6.4595e-01,1.1676e-03,1.4785e-04
5.6250e-02,8.7046e-07,-6.4595e-01,1.1676e-03,1.4785e-04
6.0000e-02,1.0564e-06,-6.4594e-01,1.1676e-03,1.4784e-04
6.3750e-02,1.2671e-06,-6.4594e-01,1.1676e-03,1.4784e-04
6.7500e-02,1.5041e-06,-6.4594e-01,1.1675e-03,1.4784e-04
7.1250e-02,1.7690e-06,-6.4593e-01,1.1675e-03,1.4784e-04
7.5000e-02,2.0633e-06,-6.4593e-01,1.1675e-03,1.4784e-04
7.8750e-02,2.3885e-06,-6.4593e-01,1.1675e-03,1.4783e-04
8.2500e-02,2.7462e-06,-6.4592e-01,1.1675e-03,1.4783e-04
8.6250e-02,3.1379e-06,-6.4592e-01,1.1675e-03,1.4783e-04
9.0000e-02,3.5652e-06,-6.4591e-01,1.1675e-03,1.4782e-04
9.3750e-02,4.0297e-06,-6.4591e-01,1.1675e-03,1.4782e-04
9.7500e-02,4.5328e-06,-6.4590e-01,1.1675e-03,1.4782e-04
1.0125e-01,5.0762e-06,-6.4590e-01,1.1675e-03,1.4782e-04
1.0500e-01,5.6613e-06,-6.4589e-01,1.1674e-03,1.4781e-04
1.0875e-01,6.2898e-06,-6.4589e-01,1.1674e-03,1.4781e-04
1.1250e-01,6.9631e-06,-6.4588e-01,1.1674e-03,1.4780e-04
1.1625e-01,7.6828e-06,-6.4588e-01,1.1674e-03,1.4780e-04
1.2000e-01,8.4505e-06,-6.4587e-01,1.1674e-03,1.4780e-04
1.2375e-01,9.2677e-06,-6.4587e-01,1.1674e-03,1.4779e-04
1.2750e-01,1.0136e-05,-6.4586e-01,1.1674e-03,1.4779e-04
1.3125e-01,1.1057e-05,-6.4585e-01,1.1673e-03,1.4778e-04
1.3500e-01,1.2032e-05,-6.4585e-01,1.1673e-03,1.4778e-04
1.3875e-01,1.3062e-05,-6.4584e-01,1.1673e-03,1.4778e-04
1.4250e-01,1.4150e-05,-6.4583e-01,1.1673e-03,1.4777e-04
1.4625e-01,1.5297e-05,-6.4582e-01,1.1673e-03,1.4777e-04
1.5000e-01,1.6504e-05,-6.4582e-01,1.1673e-03,1.4776e-04
1.5375e-01,1.7773e-05,-6.4581e-01,1.1672e-03,1.4776e-04
1.5750e-01,1.9105e-05,-6.4580e-01,1.1672e-03,1.4775e-04
1.6125e-01,2.0502e-05,-6.4579e-01,1.1672e-03,1.4775e-04
1.6500e-01,2.1966e-05,-6.4579e-01,1.1672e-03,1.4774e-04
1.6875e-01,2.3497e-05,-6.4578e-01,1.1672e-03,1.4773e-04
1.7250e-01,2.5099e-05,-6.4577e-01,1.1671e-03,1.4773e-04
1.7625e-01,2.6771e-05,-6.4576e-01,1.1671e-03,1.4772e-04
1.8000e-01,2.8516e-05,-6.4575e-01,1.1671e-03,1.4772e-04
1.8375e-01,3.0335e-05,-6.4574e-01,1.1671e-03,1.4771e-04
1.8750e-01,3.2230e-05,-6.4573e-01,1.1670e-03,1.4770e-04
1.9125e-01,3.4203e-05,-6.4572e-01,1.1670e-03,1.4770e-04
1.9500e-01,3.6254e-05,-6.4571e-01,1.1670e-03,1.4769e-04
1.9875e-01,3.8386e-05,-6.4570e-01,1.1670e-03,1.4769e-04
2.0250e-01,4.0599e-05,-6.4569e-01,1.1669e-03,1.4768e-04
2.0625e-01,4.2896e-05,-6.4568e-01,1.1669e-03,1.4767e-04
2.1000e-01,4.5278e-05,-6.4567e-01,1.1669e-03,1.4767e-04
2.1375e-01,4.7747e-05,-6.4566e-01,1.1669e-03,1.4766e-04
2.1750e-01,5.0303e-05,-6.4565e-01,1.1668e-03,1.4765e-04
2.2125e-01,5.2949e-05,-6.4564e-01,1.1668e-03,1.4764e-04
2.2500e-01,5.5687e-05,-6.4563e-01,1.1668e-03,1.4764e-04
2.2875e-01,5.8517e-05,-6.4562e-01,1.1668e-03,1.4763e-04
2.3250e-01,6.1441e-05,-6.4560e-01,1.1667e-03,1.4762e-04
2.3625e-01,6.4462e-05,-6.4559e-01,1.1667e-03,1.4761e-04
2.4000e-01,6.7579e-05,-6.4558e-01,1.1667e-03,1.4761e-04
2.4375e-01,7.0796e-05,-6.4557e-01,1.1666e-03,1.4760e-04
2.4750e-01,7.4113e-05,-6.4556e-01,1.1666e-03,1.4759e-04
2.5125e-01,7.7531e-05,-6.4554e-01,1.1666e-03,1.4758e-04
2.5500e-01,8.1054e-05,-6.4553e-01,1.1666e-03,1.4757e-04
2.5875e-01,8.4681e-05,-6.4552e-01,1.1665e-03,1.4756e-04
2.6250e-01,8.8415e-05,-6.4550e-01,1.1665e-03,1.4756e-04
2.6625e-01,9.2257e-05,-6.4549e-01,1.1665e-03,1.4755e-04
2.7000e-01,9.6209e-05,-6.4548e-01,1.1664e-03,1.4754e-04
2.7375e-01,1.0027e-04,-6.4546e-01,1.1664e-03,1.4753e-04
2.7750e-01,1.0445e-04,-6.4545e-01,1.1664e-03,1.4752e-04
2.8125e-01,1.0874e-04,-6.4544e-01,1.1663e-03,1.4751e-04
2.8500e-01,1.1314e-04,-6.4542e-01,1.1663e-03,1.4750e-04
2.8875e-01,1.1767e-04,-6.4541e-01,1.1663e-03,1.4749e-04
2.9250e-01,1.2231e-04,-6.4539e-01,1.1662e-03,1.4748e-04
2.9625e-01,1.2707e-04,-6.4538e-01,1.1662e-03,1.4747e-04
3.0000e-01,1.3195e-04,-6.4536e-01,1.1661e-03,1.4746e-04
3.0375e-01,1.3696e-04,-6.4535e-01,1.1661e-03,1.4745e-04
3.0750e-01,1.4210e-04,-6.4533e-01,1.1661e-03,1.4744e-04
3.1125e-01,1.4735e-04,-6.4532e-01,1.1660e-03,1.4743e-04
3.1500e-01,1.5274e-04,-6.4530e-01,1.1660e-03,1.4742e-04
3.1875e-01,1.5826e-04,-6.4528e-01,1.1660e-03,1.4741e-04
3.2250e-01,1.6391e-04,-6.4527e-01,1.1659e-03,1.4740e-04
3.2625e-01,1.6969e-04,-6.4525e-01,1.1659e-03,1.4739e-04
3.3000e-01,1.7560e-04,-6.4523e-01,1.1658e-03,1.4738e-04
3.3375e-01,1.8165e-04,-6.4522e-01,1.1658e-03,1.4737e-04
3.3750e-01,1.8784e-04,-6.4520e-01,1.1658e-03,1.4736e-04
3.4125e-01,1.9417e-04,-6.4518e-01,1.1657e-03,1.4734e-04
3.4500e-01,2.0064e-04,-6.4517e-01,1.1657e-03,1.4733e-04
3.4875e-01,2.0725e-04,-6.4515e-01,1.1656e-03,1.4732e-04
3.5250e-01,2.1400e-04,-6.4513e-01,1.1656e-03,1.4731e-04
3.5625e-01,2.2090e-04,-6.4511e-01,1.1655e-03,1.4730e-04
3.6000e-01,2.2794e-04,-6.4509e-01,1.1655e-03,1.4729e-04
3.6375e-01,2.3513e-04,-6.4508e-01,1.1655e-03,1.4727e-04
3.6750e-01,2.4248e-04,-6.4506e-01,1.1654e-03,1.4726e-04
3.7125e-01,2.4997e-04,-6.4504e-01,1.1654e-03,1.4725e-04
3.7500e-01,2.5761e-04,-6.4502e-01,1.1653e-03,1.4724e-04
3.7875e-01,2.6541e-04,-6.4500e-01,1.1653e-03,1.4723e-04
3.8250e-01,2.7337e-04,-6.4498e-01,1.1652e-03,1.4721e-04
3.8625e-01,2.8148e-04,-6.4496e-01,1.1652e-03,1.4720e-04
3.9000e-01,2.8975e-04,-6.4494e-01,1.1651e-03,1.4719e-04
3.9375e-01,2.9818e-04,-6.4492e-01,1.1651e-03,1.4717e-04
3.9750e-01,3.0678e-04,-6.4490e-01,1.1650e-03,1.4716e-04
4.0125e-01,3.1553e-04,-6.4488e-01,1.1650e-03,1.4715e-04
4.0500e-01,3.2446e-04,-6.4486e-01,1.1649e-03,1.4713e-04
4.0875e-01,3.3354e-04,-6.4484e-01,1.1649e-03,1.4712e-04
4.1250e-01,3.4280e-04,-6.4482e-01,1.1648e-03,1.4711e-04
4.1625e-01,3.5222e-04,-6.4480e-01,1.1648e-03,1.4709e-04
4.2000e-01,3.6182e-04,-6.4478e-01,1.1647e-03,1.4708e-04
4.2375e-01,3.7159e-04,-6.4476e-01,1.1647e-03,1.4707e-04
4.2750e-01,3.8153e-04,-6.4474e-01,1.1646e-03,1.4705e-04
4.3125e-01,3.9165e-04,-6.4471e-01,1.1646e-03,1.4704e-04
4.3500e-01,4.0194e-04,-6.4469e-01,1.1645e-03,1.4702e-04
4.3875e-01,4.1242e-04,-6.4467e-01,1.1645e-03,1.4701e-04
4.4250e-01,4.2307e-04,-6.4465e-01,1.1644e-03,1.4699e-04
4.4625e-01,4.3391e-04,-6.4463e-01,1.1644e-03,1.4698e-04
4.5000e-01,4.4493e-04,-6.4460e-01,1.1643e-03,1.4696e-04
4.5375e-01,4.5613e-04,-6.4458e-01,1.1643e-03,1.4695e-04
4.5750e-01,4.6752e-04,-6.4456e-01,1.1642e-03,1.4693e-04
4.6125e-01,4.7910e-04,-6.4453e-01,1.1641e-03,1.4692e-04
