r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.1147e-01,1.3474e-03,2.0236e-04
3.7500e-03,2.9763e-10,-7.1147e-01,1.3474e-03,2.0236e-04
7.5000e-03,2.3810e-09,-7.1147e-01,1.3474e-03,2.0236e-04
1.1250e-02,8.0360e-09,-7.1147e-01,1.3474e-03,2.0236e-04
1.5000e-02,1.9048e-08,-7.1147e-01,1.3474e-03,2.0236e-04
1.8750e-02,3.7204e-08,-7.1147e-01,1.3474e-03,2.0236e-04
2.2500e-02,6.4288e-08,-7.1146e-01,1.3474e-03,2.0235e-04
2.6250e-02,1.0209e-07,-7.1146e-01,1.3474e-03,2.0235e-04
3.0000e-02,1.5239e-07,-7.1146e-01,1.3474e-03,2.0235e-04
3.3750e-02,2.1697e-07,-7.1146e-01,1.3474e-03,2.0235e-04
3.7500e-02,2.9763e-07,-7.1146e-01,1.3474e-03,2.0235e-04
4.1250e-02,3.9614e-07,-7.1145e-01,1.3474e-03,2.0235e-04
4.5000e-02,5.1430e-07,-7.1145e-01,1.3474e-03,2.0235e-04
4.8750e-02,6.5388e-07,-7.1145e-01,1.3474e-03,2.0234e-04
5.2500e-02,8.1668e-07,-7.1145e-01,1.3473e-03,2.0234e-04
5.6250e-02,1.0045e-06,-7.1144e-01,1.3473e-03,2.0234e-04
6.0000e-02,1.2191e-06,-7.1144e-01,1.3473e-03,2.0234e-04
6.3750e-02,1.4622e-06,-7.1143e-01,1.3473e-03,2.0233e-04
6.7500e-02,1.7357e-06,-7.1143e-01,1.3473e-03,2.0233e-04
7.1250e-02,2.0414e-06,-7.1143e-01,1.3473e-03,2.0233e-04
7.5000e-02,2.3809e-06,-7.1142e-01,1.3473e-03,2.0232e-04
7.8750e-02,2.7562e-06,-7.1142e-01,1.3473e-03,2.0232e-04
8.2500e-02,3.1690e-06,-7.1141e-01,1.3473e-03,2.0231e-04
8.6250e-02,3.6211e-06,-7.1141e-01,1.3473e-03,2.0231e-04
9.0000e-02,4.1142e-06,-7.1140e-01,1.3473e-03,2.0231e-04
9.3750e-02,4.6502e-06,-7.1140e-01,1.3473e-03,2.0230e-04
9.7500e-02,5.2308e-06,-7.1139e-01,1.3473e-03,2.0230e-04
1.0125e-01,5.8579e-06,-7.1138e-01,1.3472e-03,2.0229e-04
1.0500e-01,6.5331e-06,-7.1138e-01,1.3472e-03,2.0229e-04
1.0875e-01,7.2583e-06,-7.1137e-01,1.3472e-03,2.0228e-04
1.1250e-01,8.0354e-06,-7.1136e-01,1.3472e-03,2.0228e-04
1.1625e-01,8.8659e-06,-7.1136e-01,1.3472e-03,2.0227e-04
1.2000e-01,9.7518e-06,-7.1135e-01,1.3472e-03,2.0227e-04
1.2375e-01,1.0695e-05,-7.1134e-01,1.3472e-03,2.0226e-04
1.2750e-01,1.1697e-05,-7.1134e-01,1.3472e-03,2.0225e-04
1.3125e-01,1.2759e-05,-7.1133e-01,1.3472e-03,2.0225e-04
1.3500e-01,1.3885e-05,-7.1132e-01,1.3471e-03,2.0224e-04
1.3875e-01,1.5074e-05,-7.1131e-01,1.3471e-03,2.0224e-04
1.4250e-01,1.6329e-05,-7.1130e-01,1.3471e-03,2.0223e-04
1.4625e-01,1.7653e-05,-7.1129e-01,1.3471e-03,2.0222e-04
1.5000e-01,1.9046e-05,-7.1128e-01,1.3471e-03,2.0222e-04
1.5375e-01,2.0510e-05,-7.1127e-01,1.3471e-03,2.0221e-04
1.5750e-01,2.2047e-05,-7.1127e-01,1.3470e-03,2.0220e-04
1.6125e-01,2.3660e-05,-7.1126e-01,1.3470e-03,2.0219e-04
1.6500e-01,2.5349e-05,-7.1125e-01,1.3470e-03,2.0219e-04
1.6875e-01,2.7117e-05,-7.1124e-01,1.3470e-03,2.0218e-04
1.7250e-01,2.8965e-05,-7.1122e-01,1.3470e-03,2.0217e-04
1.7625e-01,3.0895e-05,-7.1121e-01,1.3470e-03,2.0216e-04
1.8000e-01,3.2909e-05,-7.1120e-01,1.3469e-03,2.0215e-04
1.8375e-01,3.5009e-05,-7.1119e-01,1.3469e-03,2.0214e-04
1.8750e-01,3.7196e-05,-7.1118e-01,1.3469e-03,2.0214e-04
1.9125e-01,3.9472e-05,-7.1117e-01,1.3469e-03,2.0213e-04
1.9500e-01,4.1839e-05,-7.1116e-01,1.3469e-03,2.0212e-04
1.9875e-01,4.4299e-05,-7.1114e-01,1.3468e-03,2.0211e-04
2.0250e-01,4.6854e-05,-7.1113e-01,1.3468e-03,2.0210e-04
2.0625e-01,4.9505e-05,-7.1112e-01,1.3468e-03,2.0209e-04
2.1000e-01,5.2254e-05,-7.1111e-01,1.3468e-03,2.0208e-04
2.1375e-01,5.5103e-05,-7.1109e-01,1.3468e-03,2.0207e-04
2.1750e-01,5.8054e-05,-7.1108e-01,1.3467e-03,2.0206e-04
2.2125e-01,6.1109e-05,-7.1107e-01,1.3467e-03,2.0205e-04
2.2500e-01,6.4268e-05,-7.1105e-01,1.3467e-03,2.0204e-04
2.2875e-01,6.7535e-05,-7.1104e-01,1.3467e-03,2.0203e-04
2.3250e-01,7.0910e-05,-7.1103e-01,1.3467e-03,2.0202e-04
2.3625e-01,7.4396e-05,-7.1101e-01,1.3466e-03,2.0200e-04
2.4000e-01,7.7994e-05,-7.1100e-01,1.3466e-03,2.0199e-04
2.4375e-01,8.1707e-05,-7.1098e-01,1.3466e-03,2.0198e-04
2.4750e-01,8.5535e-05,-7.1097e-01,1.3466e-03,2.0197e-04
2.5125e-01,8.9481e-05,-7.1095e-01,1.3465e-03,2.0196e-04
2.5500e-01,9.3547e-05,-7.1094e-01,1.3465e-03,2.0195e-04
2.5875e-01,9.7734e-05,-7.1092e-01,1.3465e-03,2.0193e-04
2.6250e-01,1.0204e-04,-7.1090e-01,1.3465e-03,2.0192e-04
2.6625e-01,1.0648e-04,-7.1089e-01,1.3464e-03,2.0191e-04
2.7000e-01,1.1104e-04,-7.1087e-01,1.3464e-03,2.0190e-04
2.7375e-01,1.1573e-04,-7.1085e-01,1.3464e-03,2.0188e-04
2.7750e-01,1.2055e-04,-7.1084e-01,1.3463e-03,2.0187e-04
2.8125e-01,1.2550e-04,-7.1082e-01,1.3463e-03,2.0186e-04
2.8500e-01,1.3059e-04,-7.1080e-01,1.3463e-03,2.0184e-04
2.8875e-01,1.3581e-04,-7.1079e-01,1.3463e-03,2.0183e-04
2.9250e-01,1.4117e-04,-7.1077e-01,1.3462e-03,2.0182e-04
2.9625e-01,1.4666e-04,-7.1075e-01,1.3462e-03,2.0180e-04
3.0000e-01,1.5230e-04,-7.1073e-01,1.3462e-03,2.0179e-04
3.0375e-01,1.5808e-04,-7.1071e-01,1.3461e-03,2.0177e-04
3.0750e-01,1.6401e-04,-7.1069e-01,1.3461e-03,2.0176e-04
3.1125e-01,1.7008e-04,-7.1068e-01,1.3461e-03,2.0174e-04
3.1500e-01,1.7630e-04,-7.1066e-01,1.3460e-03,2.0173e-04
3.1875e-01,1.8267e-04,-7.1064e-01,1.3460e-03,2.0171e-04
3.2250e-01,1.8919e-04,-7.1062e-01,1.3460e-03,2.0170e-04
3.2625e-01,1.9586e-04,-7.1060e-01,1.3459e-03,2.0168e-04
3.3000e-01,2.0269e-04,-7.1058e-01,1.3459e-03,2.0167e-04
3.3375e-01,2.0968e-04,-7.1056e-01,1.3459e-03,2.0165e-04
3.3750e-01,2.1682e-04,-7.1054e-01,1.3458e-03,2.0164e-04
3.4125e-01,2.2413e-04,-7.1052e-01,1.3458e-03,2.0162e-04
3.4500e-01,2.3159e-04,-7.1049e-01,1.3458e-03,2.0160e-04
3.4875e-01,2.3922e-04,-7.1047e-01,1.3457e-03,2.0159e-04
3.5250e-01,2.4702e-04,-7.1045e-01,1.3457e-03,2.0157e-04
3.5625e-01,2.5498e-04,-7.1043e-01,1.3457e-03,2.0155e-04
3.6000e-01,2.6312e-04,-7.1041e-01,1.3456e-03,2.0154e-04
3.6375e-01,2.7142e-04,-7.1039e-01,1.3456e-03,2.0152e-04
3.6750e-01,2.7990e-04,-7.1036e-01,1.3456e-03,2.0150e-04
3.7125e-01,2.8855e-04,-7.1034e-01,1.3455e-03,2.0148e-04
3.7500e-01,2.9738e-04,-7.1032e-01,1.3455e-03,2.0147e-04
3.7875e-01,3.0638e-04,-7.1029e-01,1.3454e-03,2.0145e-04
3.8250e-01,3.1557e-04,-7.1027e-01,1.3454e-03,2.0143e-04
3.8625e-01,3.2493e-04,-7.1025e-01,1.3454e-03,2.0141e-04
3.9000e-01,3.3448e-04,-7.1022e-01,1.3453e-03,2.0139e-04
3.9375e-01,3.4422e-04,-7.1020e-01,1.3453e-03,2.0138e-04
3.9750e-01,3.5414e-04,-7.1017e-01,1.3452e-03,2.0136e-04
4.0125e-01,3.6425e-04,-7.1015e-01,1.3452e-03,2.0134e-04
4.0500e-01,3.7455e-04,-7.1013e-01,1.3452e-03,2.0132e-04
4.0875e-01,3.8505e-04,-7.1010e-01,1.3451e-03,2.0130e-04
4.1250e-01,3.9574e-04,-7.1008e-01,1.3451e-03,2.0128e-04
4.1625e-01,4.0662e-04,-7.1005e-01,1.3450e-03,2.0126e-04
4.2000e-01,4.1770e-04,-7.1002e-01,1.3450e-03,2.0124e-04
4.2375e-01,4.2898e-04,-7.1000e-01,1.3449e-03,2.0122e-04
4.2750e-01,4.4046e-04,-7.0997e-01,1.3449e-03,2.0120e-04
4.3125e-01,4.5215e-04,-7.0995e-01,1.3449e-03,2.0118e-04
4.3500e-01,4.6404e-04,-7.0992e-01,1.3448e-03,2.0116e-04
4.3875e-01,4.7613e-04,-7.0989e-01,1.3448e-03,2.0114e-04
4.4250e-01,4.8843e-04,-7.0987e-01,1.3447e-03,2.0112e-04
4.4625e-01,5.0095e-04,-7.0984e-01,1.3447e-03,2.0110e-04
4.5000e-01,5.1367e-04,-7.0981e-01,1.3446e-03,2.0108e-04
4.5375e-01,5.2661e-04,-7.0978e-01,1.3446e-03,2.0105e-04
4.5750e-01,5.3976e-04,-7.0976e-01,1.3445e-03,2.0103e-04
4.6125e-01,5.5313e-04,-7.0973e-01,1.3445e-03,2.0101e-04
4.6500e-01,5.6672e-04,-7.0970e-01,1.3444e-03,2.0099e-04
4.6875e-01,5.8053e-04,-7.0967e-01,1.3444e-03,2.0097e-04
4.7250e-01,5.9456e-04,-7.0964e-01,1.3444e-03,2.0094e-04
4.7625e-01,6.0882e-04,-7.0961e-01,1.3443e-03,2.0092e-04
4.8000e-01,6.2330e-04,-7.0958e-01,1.3443e-03,2.0090e-04
4.8375e-01,6.3801e-04,-7.0955e-01,1.3442e-03,2.0088e-04
4.8750e-01,6.5295e-04,-7.0952e-01,1.3442e-03,2.0085e-04
4.9125e-01,6.6812e-04,-7.0949e-01,1.3441e-03,2.0083e-04
4.9500e-01,6.8352e-04,-7.0946e-01,1.3441e-03,2.0081e-04
4.9875e-01,6.9916e-04,-7.0943e-01,1.3440e-03,2.0078e-04
5.0250e-01,7.1503e-04,-7.0940e-01,1.3440e-03,2.0076e-04
5.0625e-01,7.3114e-04,-7.0937e-01,1.3439e-03,2.0074e-04
5.1000e-01,7.4749e-04,-7.0934e-01,1.3439e-03,2.0071e-04
5.1375e-01,7.6409e-04,-7.0931e-01,1.3438e-03,2.0069e-04
5.1750e-01,7.8092e-04,-7.0928e-01,1.3437e-03,2.0066e-04
5.2125e-01,7.9800e-04,-7.0924e-01,1.3437e-03,2.0064e-04
5.2500e-01,8.1533e-04,-7.0921e-01,1.3436e-03,2.0061e-04
5.2875e-01,8.3291e-04,-7.0918e-01,1.3436e-03,2.0059e-04
5.3250e-01,8.5073e-04,-7.0915e-01,1.3435e-03,2.0056e-04
5.3625e-01,8.6881e-04,-7.0911e-01,1.3435e-03,2.0054e-04
5.4000e-01,8.8715e-04,-7.0908e-01,1.3434e-03,2.0051e-04
5.4375e-01,9.0573e-04,-7.0905e-01,1.3434e-03,2.0049e-04
5.4750e-01,9.2458e-04,-7.0902e-01,1.3433e-03,2.0046e-04
5.5125e-01,9.4368e-04,-7.0898e-01,1.3433e-03,2.0043e-04
5.5500e-01,9.6305e-04,-7.0895e-01,1.3432e-03,2.0041e-04
5.5875e-01,9.8268e-04,-7.0891e-01,1.3431e-03,2.0038e-04
