r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.9114e-01,1.3069e-03,1.8176e-04
3.7500e-03,2.8869e-10,-6.9113e-01,1.3069e-03,1.8176e-04
7.5000e-03,2.3095e-09,-6.9113e-01,1.3069e-03,1.8176e-04
1.1250e-02,7.7945e-09,-6.9113e-01,1.3069e-03,1.8176e-04
1.5000e-02,1.8476e-08,-6.9113e-01,1.3069e-03,1.8176e-04
1.8750e-02,3.6086e-08,-6.9113e-01,1.3069e-03,1.8176e-04
2.2500e-02,6.2356e-08,-6.9113e-01,1.3069e-03,1.8176e-04
2.6250e-02,9.9019e-08,-6.9113e-01,1.3069e-03,1.8176e-04
3.0000e-02,1.4781e-07,-6.9113e-01,1.3069e-03,1.8176e-04
3.3750e-02,2.1045e-07,-6.9113e-01,1.3069e-03,1.8176e-04
3.7500e-02,2.8868e-07,-6.9112e-01,1.3069e-03,1.8175e-04
4.1250e-02,3.8424e-07,-6.9112e-01,1.3069e-03,1.8175e-04
4.5000e-02,4.9884e-07,-6.9112e-01,1.3069e-03,1.8175e-04
4.8750e-02,6.3423e-07,-6.9112e-01,1.3069e-03,1.8175e-04
5.2500e-02,7.9214e-07,-6.9111e-01,1.3069e-03,1.8175e-04
5.6250e-02,9.7429e-07,-6.9111e-01,1.3069e-03,1.8174e-04
6.0000e-02,1.1824e-06,-6.9111e-01,1.3068e-03,1.8174e-04
6.3750e-02,1.4183e-06,-6.9110e-01,1.3068e-03,1.8174e-04
6.7500e-02,1.6836e-06,-6.9110e-01,1.3068e-03,1.8174e-04
7.1250e-02,1.9800e-06,-6.9110e-01,1.3068e-03,1.8173e-04
7.5000e-02,2.3094e-06,-6.9109e-01,1.3068e-03,1.8173e-04
7.8750e-02,2.6734e-06,-6.9109e-01,1.3068e-03,1.8173e-04
8.2500e-02,3.0738e-06,-6.9108e-01,1.3068e-03,1.8172e-04
8.6250e-02,3.5123e-06,-6.9108e-01,1.3068e-03,1.8172e-04
9.0000e-02,3.9906e-06,-6.9107e-01,1.3068e-03,1.8172e-04
9.3750e-02,4.5104e-06,-6.9107e-01,1.3068e-03,1.8171e-04
9.7500e-02,5.0736e-06,-6.9106e-01,1.3068e-03,1.8171e-04
1.0125e-01,5.6818e-06,-6.9106e-01,1.3067e-03,1.8170e-04
1.0500e-01,6.3367e-06,-6.9105e-01,1.3067e-03,1.8170e-04
1.0875e-01,7.0402e-06,-6.9104e-01,1.3067e-03,1.8169e-04
1.1250e-01,7.7938e-06,-6.9104e-01,1.3067e-03,1.8169e-04
1.1625e-01,8.5994e-06,-6.9103e-01,1.3067e-03,1.8168e-04
1.2000e-01,9.4587e-06,-6.9102e-01,1.3067e-03,1.8168e-04
1.2375e-01,1.0373e-05,-6.9102e-01,1.3067e-03,1.8167e-04
1.2750e-01,1.1345e-05,-6.9101e-01,1.3066e-03,1.8167e-04
1.3125e-01,1.2376e-05,-6.9100e-01,1.3066e-03,1.8166e-04
1.3500e-01,1.3467e-05,-6.9099e-01,1.3066e-03,1.8166e-04
1.3875e-01,1.4621e-05,-6.9099e-01,1.3066e-03,1.8165e-04
1.4250e-01,1.5838e-05,-6.9098e-01,1.3066e-03,1.8165e-04
1.4625e-01,1.7122e-05,-6.9097e-01,1.3066e-03,1.8164e-04
1.5000e-01,1.8473e-05,-6.9096e-01,1.3066e-03,1.8163e-04
