r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.2265e-01,1.0349e-03,1.2916e-04
3.7500e-03,2.2859e-10,-6.2265e-01,1.0349e-03,1.2916e-04
7.5000e-03,1.8288e-09,-6.2265e-01,1.0349e-03,1.2916e-04
1.1250e-02,6.1722e-09,-6.2265e-01,1.0349e-03,1.2916e-04
1.5000e-02,1.4630e-08,-6.2265e-01,1.0349e-03,1.2916e-04
1.8750e-02,2.8575e-08,-6.2265e-01,1.0349e-03,1.2916e-04
2.2500e-02,4.9377e-08,-6.2265e-01,1.0349e-03,1.2916e-04
2.6250e-02,7.8409e-08,-6.2264e-01,1.0349e-03,1.2916e-04
3.0000e-02,1.1704e-07,-6.2264e-01,1.0349e-03,1.2916e-04
3.3750e-02,1.6665e-07,-6.2264e-01,1.0349e-03,1.2916e-04
3.7500e-02,2.2860e-07,-6.2264e-01,1.0349e-03,1.2916e-04
4.1250e-02,3.0426e-07,-6.2264e-01,1.0349e-03,1.2916e-04
4.5000e-02,3.9501e-07,-6.2264e-01,1.0349e-03,1.2916e-04
4.8750e-02,5.0222e-07,-6.2263e-01,1.0349e-03,1.2916e-04
5.2500e-02,6.2726e-07,-6.2263e-01,1.0348e-03,1.2915e-04
5.6250e-02,7.7150e-07,-6.2263e-01,1.0348e-03,1.2915e-04
6.0000e-02,9.3632e-07,-6.2263e-01,1.0348e-03,1.2915e-04
6.3750e-02,1.1231e-06,-6.2262e-01,1.0348e-03,1.2915e-04
6.7500e-02,1.3331e-06,-6.2262e-01,1.0348e-03,1.2915e-04
7.1250e-02,1.5679e-06,-6.2262e-01,1.0348e-03,1.2915e-04
7.5000e-02,1.8287e-06,-6.2262e-01,1.0348e-03,1.2914e-04
7.8750e-02,2.1170e-06,-6.2261e-01,1.0348e-03,1.2914e-04
8.2500e-02,2.4340e-06,-6.2261e-01,1.0348e-03,1.2914e-04
8.6250e-02,2.7812e-06,-6.2260e-01,1.0348e-03,1.2914e-04
9.0000e-02,3.1600e-06,-6.2260e-01,1.0348e-03,1.2914e-04
9.3750e-02,3.5716e-06,-6.2260e-01,1.0348e-03,1.2913e-04
9.7500e-02,4.0176e-06,-6.2259e-01,1.0348e-03,1.2913e-04
1.0125e-01,4.4992e-06,-6.2259e-01,1.0348e-03,1.2913e-04
1.0500e-01,5.0178e-06,-6.2258e-01,1.0347e-03,1.2913e-04
1.0875e-01,5.5748e-06,-6.2258e-01,1.0347e-03,1.2912e-04
1.1250e-01,6.1716e-06,-6.2257e-01,1.0347e-03,1.2912e-04
1.1625e-01,6.8095e-06,-6.2257e-01,1.0347e-03,1.2912e-04
1.2000e-01,7.4899e-06,-6.2256e-01,1.0347e-03,1.2911e-04
1.2375e-01,8.2142e-06,-6.2256e-01,1.0347e-03,1.2911e-04
1.2750e-01,8.9838e-06,-6.2255e-01,1.0347e-03,1.2911e-04
1.3125e-01,9.7999e-06,-6.2255e-01,1.0347e-03,1.2910e-04
1.3500e-01,1.0664e-05,-6.2254e-01,1.0346e-03,1.2910e-04
1.3875e-01,1.1578e-05,-6.2253e-01,1.0346e-03,1.2910e-04
1.4250e-01,1.2542e-05,-6.2253e-01,1.0346e-03,1.2909e-04
1.4625e-01,1.3558e-05,-6.2252e-01,1.0346e-03,1.2909e-04
1.5000e-01,1.4628e-05,-6.2251e-01,1.0346e-03,1.2909e-04
1.5375e-01,1.5752e-05,-6.2251e-01,1.0346e-03,1.2908e-04
1.5750e-01,1.6933e-05,-6.2250e-01,1.0346e-03,1.2908e-04
1.6125e-01,1.8172e-05,-6.2249e-01,1.0345e-03,1.2907e-04
1.6500e-01,1.9469e-05,-6.2249e-01,1.0345e-03,1.2907e-04
