r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.3733e-01,1.4964e-03,2.2804e-04
3.7500e-03,3.3054e-10,-7.3733e-01,1.4964e-03,2.2804e-04
7.5000e-03,2.6443e-09,-7.3733e-01,1.4964e-03,2.2804e-04
1.1250e-02,8.9246e-09,-7.3733e-01,1.4964e-03,2.2804e-04
1.5000e-02,2.1154e-08,-7.3733e-01,1.4964e-03,2.2804e-04
1.8750e-02,4.1317e-08,-7.3733e-01,1.4964e-03,2.2804e-04
2.2500e-02,7.1396e-08,-7.3733e-01,1.4964e-03,2.2804e-04
2.6250e-02,1.1337e-07,-7.3732e-01,1.4964e-03,2.2804e-04
3.0000e-02,1.6924e-07,-7.3732e-01,1.4964e-03,2.2803e-04
3.3750e-02,2.4096e-07,-7.3732e-01,1.4964e-03,2.2803e-04
3.7500e-02,3.3054e-07,-7.3732e-01,1.4964e-03,2.2803e-04
4.1250e-02,4.3994e-07,-7.3731e-01,1.4963e-03,2.2803e-04
4.5000e-02,5.7116e-07,-7.3731e-01,1.4963e-03,2.2803e-04
4.8750e-02,7.2618e-07,-7.3731e-01,1.4963e-03,2.2802e-04
5.2500e-02,9.0698e-07,-7.3730e-01,1.4963e-03,2.2802e-04
5.6250e-02,1.1155e-06,-7.3730e-01,1.4963e-03,2.2802e-04
6.0000e-02,1.3539e-06,-7.3730e-01,1.4963e-03,2.2801e-04
6.3750e-02,1.6239e-06,-7.3729e-01,1.4963e-03,2.2801e-04
6.7500e-02,1.9276e-06,-7.3729e-01,1.4963e-03,2.2801e-04
7.1250e-02,2.2671e-06,-7.3728e-01,1.4963e-03,2.2800e-04
7.5000e-02,2.6442e-06,-7.3728e-01,1.4963e-03,2.2800e-04
7.8750e-02,3.0610e-06,-7.3727e-01,1.4963e-03,2.2799e-04
8.2500e-02,3.5194e-06,-7.3727e-01,1.4962e-03,2.2799e-04
8.6250e-02,4.0214e-06,-7.3726e-01,1.4962e-03,2.2798e-04
9.0000e-02,4.5691e-06,-7.3726e-01,1.4962e-03,2.2798e-04
9.3750e-02,5.1643e-06,-7.3725e-01,1.4962e-03,2.2797e-04
9.7500e-02,5.8091e-06,-7.3724e-01,1.4962e-03,2.2797e-04
1.0125e-01,6.5055e-06,-7.3724e-01,1.4962e-03,2.2796e-04
1.0500e-01,7.2554e-06,-7.3723e-01,1.4962e-03,2.2795e-04
1.0875e-01,8.0608e-06,-7.3722e-01,1.4962e-03,2.2795e-04
