r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.2288e-01,1.0414e-03,1.2931e-04
3.7500e-03,2.3002e-10,-6.2288e-01,1.0414e-03,1.2931e-04
7.5000e-03,1.8402e-09,-6.2288e-01,1.0414e-03,1.2931e-04
1.1250e-02,6.2108e-09,-6.2288e-01,1.0414e-03,1.2931e-04
1.5000e-02,1.4722e-08,-6.2288e-01,1.0414e-03,1.2931e-04
1.8750e-02,2.8754e-08,-6.2288e-01,1.0414e-03,1.2931e-04
2.2500e-02,4.9686e-08,-6.2288e-01,1.0414e-03,1.2931e-04
2.6250e-02,7.8900e-08,-6.2288e-01,1.0414e-03,1.2931e-04
3.0000e-02,1.1777e-07,-6.2288e-01,1.0413e-03,1.2930e-04
3.3750e-02,1.6769e-07,-6.2288e-01,1.0413e-03,1.2930e-04
3.7500e-02,2.3003e-07,-6.2288e-01,1.0413e-03,1.2930e-04
4.1250e-02,3.0617e-07,-6.2287e-01,1.0413e-03,1.2930e-04
4.5000e-02,3.9748e-07,-6.2287e-01,1.0413e-03,1.2930e-04
4.8750e-02,5.0537e-07,-6.2287e-01,1.0413e-03,1.2930e-04
5.2500e-02,6.3119e-07,-6.2287e-01,1.0413e-03,1.2930e-04
5.6250e-02,7.7633e-07,-6.2287e-01,1.0413e-03,1.2930e-04
6.0000e-02,9.4217e-07,-6.2286e-01,1.0413e-03,1.2930e-04
6.3750e-02,1.1301e-06,-6.2286e-01,1.0413e-03,1.2929e-04
6.7500e-02,1.3415e-06,-6.2286e-01,1.0413e-03,1.2929e-04
7.1250e-02,1.5777e-06,-6.2285e-01,1.0413e-03,1.2929e-04
7.5000e-02,1.8402e-06,-6.2285e-01,1.0413e-03,1.2929e-04
7.8750e-02,2.1302e-06,-6.2285e-01,1.0413e-03,1.2929e-04
8.2500e-02,2.4492e-06,-6.2284e-01,1.0413e-03,1.2928e-04
8.6250e-02,2.7986e-06,-6.2284e-01,1.0413e-03,1.2928e-04
9.0000e-02,3.1797e-06,-6.2284e-01,1.0412e-03,1.2928e-04
9.3750e-02,3.5940e-06,-6.2283e-01,1.0412e-03,1.2928e-04
9.7500e-02,4.0427e-06,-6.2283e-01,1.0412e-03,1.2927e-04
1.0125e-01,4.5273e-06,-6.2282e-01,1.0412e-03,1.2927e-04
1.0500e-01,5.0491e-06,-6.2282e-01,1.0412e-03,1.2927e-04
1.0875e-01,5.6096e-06,-6.2281e-01,1.0412e-03,1.2927e-04
