r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.0407e-01,1.3863e-03,1.9306e-04
3.7500e-03,3.0621e-10,-7.0407e-01,1.3863e-03,1.9306e-04
7.5000e-03,2.4497e-09,-7.0407e-01,1.3863e-03,1.9306e-04
1.1250e-02,8.2678e-09,-7.0407e-01,1.3863e-03,1.9306e-04
1.5000e-02,1.9598e-08,-7.0407e-01,1.3862e-03,1.9306e-04
1.8750e-02,3.8277e-08,-7.0407e-01,1.3862e-03,1.9306e-04
2.2500e-02,6.6142e-08,-7.0407e-01,1.3862e-03,1.9306e-04
2.6250e-02,1.0503e-07,-7.0407e-01,1.3862e-03,1.9306e-04
3.0000e-02,1.5678e-07,-7.0406e-01,1.3862e-03,1.9305e-04
3.3750e-02,2.2323e-07,-7.0406e-01,1.3862e-03,1.9305e-04
3.7500e-02,3.0621e-07,-7.0406e-01,1.3862e-03,1.9305e-04
4.1250e-02,4.0757e-07,-7.0406e-01,1.3862e-03,1.9305e-04
4.5000e-02,5.2913e-07,-7.0406e-01,1.3862e-03,1.9305e-04
4.8750e-02,6.7274e-07,-7.0405e-01,1.3862e-03,1.9305e-04
5.2500e-02,8.4023e-07,-7.0405e-01,1.3862e-03,1.9304e-04
5.6250e-02,1.0334e-06,-7.0405e-01,1.3862e-03,1.9304e-04
6.0000e-02,1.2542e-06,-7.0404e-01,1.3862e-03,1.9304e-04
6.3750e-02,1.5044e-06,-7.0404e-01,1.3862e-03,1.9303e-04
6.7500e-02,1.7858e-06,-7.0403e-01,1.3862e-03,1.9303e-04
7.1250e-02,2.1002e-06,-7.0403e-01,1.3862e-03,1.9303e-04
7.5000e-02,2.4496e-06,-7.0403e-01,1.3861e-03,1.9302e-04
7.8750e-02,2.8357e-06,-7.0402e-01,1.3861e-03,1.9302e-04
8.2500e-02,3.2604e-06,-7.0402e-01,1.3861e-03,1.9302e-04
8.6250e-02,3.7255e-06,-7.0401e-01,1.3861e-03,1.9301e-04
9.0000e-02,4.2328e-06,-7.0401e-01,1.3861e-03,1.9301e-04
9.3750e-02,4.7842e-06,-7.0400e-01,1.3861e-03,1.9300e-04
9.7500e-02,5.3816e-06,-7.0399e-01,1.3861e-03,1.9300e-04
1.0125e-01,6.0267e-06,-7.0399e-01,1.3861e-03,1.9299e-04
1.0500e-01,6.7214e-06,-7.0398e-01,1.3860e-03,1.9299e-04
1.0875e-01,7.4675e-06,-7.0397e-01,1.3860e-03,1.9298e-04
1.1250e-01,8.2669e-06,-7.0397e-01,1.3860e-03,1.9298e-04
1.1625e-01,9.1214e-06,-7.0396e-01,1.3860e-03,1.9297e-04
1.2000e-01,1.0033e-05,-7.0395e-01,1.3860e-03,1.9297e-04
1.2375e-01,1.1003e-05,-7.0395e-01,1.3860e-03,1.9296e-04
1.2750e-01,1.2034e-05,-7.0394e-01,1.3859e-03,1.9296e-04
1.3125e-01,1.3127e-05,-7.0393e-01,1.3859e-03,1.9295e-04
1.3500e-01,1.4285e-05,-7.0392e-01,1.3859e-03,1.9294e-04
1.3875e-01,1.5508e-05,-7.0391e-01,1.3859e-03,1.9294e-04
1.4250e-01,1.6800e-05,-7.0390e-01,1.3859e-03,1.9293e-04
1.4625e-01,1.8161e-05,-7.0390e-01,1.3858e-03,1.9292e-04
1.5000e-01,1.9594e-05,-7.0389e-01,1.3858e-03,1.9291e-04
1.5375e-01,2.1100e-05,-7.0388e-01,1.3858e-03,1.9291e-04
1.5750e-01,2.2682e-05,-7.0387e-01,1.3858e-03,1.9290e-04
1.6125e-01,2.4341e-05,-7.0386e-01,1.3858e-03,1.9289e-04
1.6500e-01,2.6079e-05,-7.0385e-01,1.3857e-03,1.9288e-04
1.6875e-01,2.7897e-05,-7.0384e-01,1.3857e-03,1.9288e-04
1.7250e-01,2.9798e-05,-7.0383e-01,1.3857e-03,1.9287e-04
1.7625e-01,3.1784e-05,-7.0382e-01,1.3857e-03,1.9286e-04
1.8000e-01,3.3856e-05,-7.0381e-01,1.3856e-03,1.9285e-04
1.8375e-01,3.6016e-05,-7.0379e-01,1.3856e-03,1.9284e-04
1.8750e-01,3.8266e-05,-7.0378e-01,1.3856e-03,1.9283e-04
1.9125e-01,4.0607e-05,-7.0377e-01,1.3856e-03,1.9282e-04
1.9500e-01,4.3043e-05,-7.0376e-01,1.3855e-03,1.9281e-04
1.9875e-01,4.5573e-05,-7.0375e-01,1.3855e-03,1.9280e-04
2.0250e-01,4.8201e-05,-7.0373e-01,1.3855e-03,1.9279e-04
2.0625e-01,5.0928e-05,-7.0372e-01,1.3854e-03,1.9278e-04
2.1000e-01,5.3757e-05,-7.0371e-01,1.3854e-03,1.9277e-04
2.1375e-01,5.6687e-05,-7.0370e-01,1.3854e-03,1.9276e-04
2.1750e-01,5.9723e-05,-7.0368e-01,1.3854e-03,1.9275e-04
2.2125e-01,6.2865e-05,-7.0367e-01,1.3853e-03,1.9274e-04
2.2500e-01,6.6115e-05,-7.0366e-01,1.3853e-03,1.9273e-04
2.2875e-01,6.9475e-05,-7.0364e-01,1.3853e-03,1.9272e-04
2.3250e-01,7.2947e-05,-7.0363e-01,1.3852e-03,1.9271e-04
2.3625e-01,7.6533e-05,-7.0361e-01,1.3852e-03,1.9270e-04
2.4000e-01,8.0234e-05,-7.0360e-01,1.3852e-03,1.9269e-04
2.4375e-01,8.4053e-05,-7.0358e-01,1.3851e-03,1.9267e-04
2.4750e-01,8.7991e-05,-7.0357e-01,1.3851e-03,1.9266e-04
2.5125e-01,9.2050e-05,-7.0355e-01,1.3850e-03,1.9265e-04
2.5500e-01,9.6232e-05,-7.0354e-01,1.3850e-03,1.9264e-04
2.5875e-01,1.0054e-04,-7.0352e-01,1.3850e-03,1.9263e-04
2.6250e-01,1.0497e-04,-7.0350e-01,1.3849e-03,1.9261e-04
2.6625e-01,1.0953e-04,-7.0349e-01,1.3849e-03,1.9260e-04
2.7000e-01,1.1422e-04,-7.0347e-01,1.3849e-03,1.9259e-04
2.7375e-01,1.1905e-04,-7.0346e-01,1.3848e-03,1.9257e-04
2.7750e-01,1.2401e-04,-7.0344e-01,1.3848e-03,1.9256e-04
2.8125e-01,1.2910e-04,-7.0342e-01,1.3847e-03,1.9255e-04
2.8500e-01,1.3433e-04,-7.0340e-01,1.3847e-03,1.9253e-04
2.8875e-01,1.3970e-04,-7.0339e-01,1.3847e-03,1.9252e-04
2.9250e-01,1.4521e-04,-7.0337e-01,1.3846e-03,1.9250e-04
2.9625e-01,1.5087e-04,-7.0335e-01,1.3846e-03,1.9249e-04
3.0000e-01,1.5667e-04,-7.0333e-01,1.3845e-03,1.9248e-04
3.0375e-01,1.6261e-04,-7.0331e-01,1.3845e-03,1.9246e-04
3.0750e-01,1.6870e-04,-7.0329e-01,1.3844e-03,1.9245e-04
3.1125e-01,1.7495e-04,-7.0327e-01,1.3844e-03,1.9243e-04
