r,m,nu,rho,P
0.0000e+00,0.0000e+00,-9.0562e-01,1.5012e-03,2.7378e-04
3.7500e-03,3.3161e-10,-9.0562e-01,1.5012e-03,2.7378e-04
7.5000e-03,2.6529e-09,-9.0562e-01,1.5012e-03,2.7378e-04
1.1250e-02,8.9535e-09,-9.0562e-01,1.5012e-03,2.7377e-04
1.5000e-02,2.1223e-08,-9.0562e-01,1.5012e-03,2.7377e-04
1.8750e-02,4.1451e-08,-9.0562e-01,1.5012e-03,2.7377e-04
2.2500e-02,7.1628e-08,-9.0562e-01,1.5012e-03,2.7377e-04
2.6250e-02,1.1374e-07,-9.0561e-01,1.5012e-03,2.7377e-04
3.0000e-02,1.6978e-07,-9.0561e-01,1.5012e-03,2.7377e-04
3.3750e-02,2.4174e-07,-9.0561e-01,1.5012e-03,2.7377e-04
3.7500e-02,3.3161e-07,-9.0561e-01,1.5012e-03,2.7376e-04
4.1250e-02,4.4137e-07,-9.0560e-01,1.5012e-03,2.7376e-04
4.5000e-02,5.7302e-07,-9.0560e-01,1.5012e-03,2.7376e-04
4.8750e-02,7.2854e-07,-9.0560e-01,1.5012e-03,2.7376e-04
5.2500e-02,9.0992e-07,-9.0559e-01,1.5012e-03,2.7375e-04
5.6250e-02,1.1192e-06,-9.0559e-01,1.5012e-03,2.7375e-04
6.0000e-02,1.3582e-06,-9.0559e-01,1.5011e-03,2.7374e-04
6.3750e-02,1.6291e-06,-9.0558e-01,1.5011e-03,2.7374e-04
6.7500e-02,1.9339e-06,-9.0558e-01,1.5011e-03,2.7374e-04
7.1250e-02,2.2744e-06,-9.0557e-01,1.5011e-03,2.7373e-04
7.5000e-02,2.6528e-06,-9.0557e-01,1.5011e-03,2.7373e-04
7.8750e-02,3.0709e-06,-9.0556e-01,1.5011e-03,2.7372e-04
8.2500e-02,3.5308e-06,-9.0555e-01,1.5011e-03,2.7372e-04
8.6250e-02,4.0344e-06,-9.0555e-01,1.5011e-03,2.7371e-04
9.0000e-02,4.5838e-06,-9.0554e-01,1.5010e-03,2.7371e-04
9.3750e-02,5.1810e-06,-9.0553e-01,1.5010e-03,2.7370e-04
9.7500e-02,5.8279e-06,-9.0553e-01,1.5010e-03,2.7369e-04
1.0125e-01,6.5265e-06,-9.0552e-01,1.5010e-03,2.7369e-04
1.0500e-01,7.2788e-06,-9.0551e-01,1.5010e-03,2.7368e-04
1.0875e-01,8.0868e-06,-9.0551e-01,1.5009e-03,2.7367e-04
1.1250e-01,8.9524e-06,-9.0550e-01,1.5009e-03,2.7367e-04
1.1625e-01,9.8778e-06,-9.0549e-01,1.5009e-03,2.7366e-04
