r,m,nu,rho,P
0.0000e+00,0.0000e+00,-4.3348e-01,8.2511e-04,6.9227e-05
3.7500e-03,1.8226e-10,-4.3348e-01,8.2511e-04,6.9227e-05
7.5000e-03,1.4581e-09,-4.3348e-01,8.2511e-04,6.9227e-05
1.1250e-02,4.9211e-09,-4.3348e-01,8.2511e-04,6.9226e-05
1.5000e-02,1.1665e-08,-4.3348e-01,8.2511e-04,6.9226e-05
1.8750e-02,2.2783e-08,-4.3348e-01,8.2511e-04,6.9226e-05
2.2500e-02,3.9368e-08,-4.3348e-01,8.2511e-04,6.9226e-05
2.6250e-02,6.2515e-08,-4.3348e-01,8.2511e-04,6.9225e-05
3.0000e-02,9.3317e-08,-4.3348e-01,8.2510e-04,6.9225e-05
3.3750e-02,1.3287e-07,-4.3348e-01,8.2510e-04,6.9224e-05
3.7500e-02,1.8226e-07,-4.3348e-01,8.2510e-04,6.9224e-05
4.1250e-02,2.4259e-07,-4.3348e-01,8.2510e-04,6.9223e-05
4.5000e-02,3.1494e-07,-4.3348e-01,8.2510e-04,6.9223e-05
4.8750e-02,4.0042e-07,-4.3347e-01,8.2509e-04,6.9222e-05
5.2500e-02,5.0012e-07,-4.3347e-01,8.2509e-04,6.9221e-05
5.6250e-02,6.1512e-07,-4.3347e-01,8.2509e-04,6.9221e-05
6.0000e-02,7.4653e-07,-4.3347e-01,8.2508e-04,6.9220e-05
6.3750e-02,8.9543e-07,-4.3347e-01,8.2508e-04,6.9219e-05
6.7500e-02,1.0629e-06,-4.3346e-01,8.2508e-04,6.9218e-05
7.1250e-02,1.2501e-06,-4.3346e-01,8.2507e-04,6.9217e-05
7.5000e-02,1.4580e-06,-4.3346e-01,8.2507e-04,6.9216e-05
7.8750e-02,1.6879e-06,-4.3346e-01,8.2507e-04,6.9215e-05
8.2500e-02,1.9406e-06,-4.3346e-01,8.2506e-04,6.9213e-05
8.6250e-02,2.2175e-06,-4.3345e-01,8.2506e-04,6.9212e-05
9.0000e-02,2.5195e-06,-4.3345e-01,8.2505e-04,6.9211e-05
9.3750e-02,2.8477e-06,-4.3345e-01,8.2505e-04,6.9210e-05
9.7500e-02,3.2033e-06,-4.3344e-01,8.2504e-04,6.9208e-05
1.0125e-01,3.5873e-06,-4.3344e-01,8.2504e-04,6.9207e-05
1.0500e-01,4.0008e-06,-4.3344e-01,8.2503e-04,6.9205e-05
1.0875e-01,4.4449e-06,-4.3343e-01,8.2503e-04,6.9204e-05
1.1250e-01,4.9207e-06,-4.3343e-01,8.2502e-04,6.9202e-05
1.1625e-01,5.4294e-06,-4.3343e-01,8.2501e-04,6.9201e-05
1.2000e-01,5.9719e-06,-4.3342e-01,8.2501e-04,6.9199e-05
1.2375e-01,6.5494e-06,-4.3342e-01,8.2500e-04,6.9197e-05
1.2750e-01,7.1630e-06,-4.3341e-01,8.2499e-04,6.9195e-05
1.3125e-01,7.8137e-06,-4.3341e-01,8.2499e-04,6.9193e-05
1.3500e-01,8.5028e-06,-4.3341e-01,8.2498e-04,6.9191e-05
1.3875e-01,9.2311e-06,-4.3340e-01,8.2497e-04,6.9189e-05
1.4250e-01,1.0000e-05,-4.3340e-01,8.2496e-04,6.9187e-05
1.4625e-01,1.0810e-05,-4.3339e-01,8.2496e-04,6.9185e-05
1.5000e-01,1.1663e-05,-4.3339e-01,8.2495e-04,6.9183e-05
1.5375e-01,1.2560e-05,-4.3338e-01,8.2494e-04,6.9181e-05
1.5750e-01,1.3502e-05,-4.3338e-01,8.2493e-04,6.9179e-05
1.6125e-01,1.4489e-05,-4.3337e-01,8.2492e-04,6.9176e-05
1.6500e-01,1.5524e-05,-4.3337e-01,8.2491e-04,6.9174e-05
1.6875e-01,1.6606e-05,-4.3336e-01,8.2491e-04,6.9172e-05
1.7250e-01,1.7738e-05,-4.3336e-01,8.2490e-04,6.9169e-05
1.7625e-01,1.8920e-05,-4.3335e-01,8.2489e-04,6.9167e-05
1.8000e-01,2.0153e-05,-4.3334e-01,8.2488e-04,6.9164e-05
1.8375e-01,2.1439e-05,-4.3334e-01,8.2487e-04,6.9161e-05
1.8750e-01,2.2778e-05,-4.3333e-01,8.2486e-04,6.9159e-05
1.9125e-01,2.4173e-05,-4.3333e-01,8.2485e-04,6.9156e-05
1.9500e-01,2.5622e-05,-4.3332e-01,8.2484e-04,6.9153e-05
1.9875e-01,2.7129e-05,-4.3331e-01,8.2483e-04,6.9150e-05
2.0250e-01,2.8693e-05,-4.3331e-01,8.2482e-04,6.9147e-05
2.0625e-01,3.0317e-05,-4.3330e-01,8.2480e-04,6.9144e-05
2.1000e-01,3.2001e-05,-4.3329e-01,8.2479e-04,6.9141e-05
2.1375e-01,3.3745e-05,-4.3329e-01,8.2478e-04,6.9138e-05
2.1750e-01,3.5553e-05,-4.3328e-01,8.2477e-04,6.9135e-05
2.2125e-01,3.7423e-05,-4.3327e-01,8.2476e-04,6.9132e-05
2.2500e-01,3.9358e-05,-4.3327e-01,8.2475e-04,6.9129e-05
2.2875e-01,4.1359e-05,-4.3326e-01,8.2473e-04,6.9125e-05
2.3250e-01,4.3426e-05,-4.3325e-01,8.2472e-04,6.9122e-05
2.3625e-01,4.5561e-05,-4.3324e-01,8.2471e-04,6.9119e-05
2.4000e-01,4.7764e-05,-4.3324e-01,8.2470e-04,6.9115e-05
2.4375e-01,5.0038e-05,-4.3323e-01,8.2468e-04,6.9112e-05
2.4750e-01,5.2383e-05,-4.3322e-01,8.2467e-04,6.9108e-05
2.5125e-01,5.4799e-05,-4.3321e-01,8.2466e-04,6.9105e-05
2.5500e-01,5.7289e-05,-4.3320e-01,8.2464e-04,6.9101e-05
2.5875e-01,5.9853e-05,-4.3320e-01,8.2463e-04,6.9097e-05
2.6250e-01,6.2493e-05,-4.3319e-01,8.2461e-04,6.9093e-05
2.6625e-01,6.5209e-05,-4.3318e-01,8.2460e-04,6.9090e-05
2.7000e-01,6.8003e-05,-4.3317e-01,8.2459e-04,6.9086e-05
2.7375e-01,7.0875e-05,-4.3316e-01,8.2457e-04,6.9082e-05
2.7750e-01,7.3827e-05,-4.3315e-01,8.2456e-04,6.9078e-05
2.8125e-01,7.6860e-05,-4.3314e-01,8.2454e-04,6.9074e-05
2.8500e-01,7.9974e-05,-4.3313e-01,8.2453e-04,6.9070e-05
2.8875e-01,8.3172e-05,-4.3312e-01,8.2451e-04,6.9065e-05
2.9250e-01,8.6454e-05,-4.3311e-01,8.2449e-04,6.9061e-05
2.9625e-01,8.9821e-05,-4.3311e-01,8.2448e-04,6.9057e-05
3.0000e-01,9.3274e-05,-4.3310e-01,8.2446e-04,6.9053e-05
3.0375e-01,9.6814e-05,-4.3309e-01,8.2445e-04,6.9048e-05
3.0750e-01,1.0044e-04,-4.3308e-01,8.2443e-04,6.9044e-05
3.1125e-01,1.0416e-04,-4.3307e-01,8.2441e-04,6.9039e-05
3.1500e-01,1.0797e-04,-4.3306e-01,8.2440e-04,6.9035e-05
3.1875e-01,1.1187e-04,-4.3305e-01,8.2438e-04,6.9030e-05
3.2250e-01,1.1587e-04,-4.3303e-01,8.2436e-04,6.9026e-05
3.2625e-01,1.1995e-04,-4.3302e-01,8.2434e-04,6.9021e-05
3.3000e-01,1.2414e-04,-4.3301e-01,8.2433e-04,6.9016e-05
3.3375e-01,1.2841e-04,-4.3300e-01,8.2431e-04,6.9011e-05
3.3750e-01,1.3279e-04,-4.3299e-01,8.2429e-04,6.9006e-05
