r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.8597e-01,1.0251e-03,1.3661e-04
3.7500e-03,2.2644e-10,-6.8597e-01,1.0251e-03,1.3661e-04
7.5000e-03,1.8115e-09,-6.8597e-01,1.0251e-03,1.3661e-04
1.1250e-02,6.1139e-09,-6.8597e-01,1.0251e-03,1.3661e-04
1.5000e-02,1.4492e-08,-6.8597e-01,1.0251e-03,1.3661e-04
1.8750e-02,2.8305e-08,-6.8597e-01,1.0251e-03,1.3661e-04
2.2500e-02,4.8911e-08,-6.8597e-01,1.0251e-03,1.3661e-04
2.6250e-02,7.7669e-08,-6.8596e-01,1.0251e-03,1.3661e-04
3.0000e-02,1.1594e-07,-6.8596e-01,1.0251e-03,1.3661e-04
3.3750e-02,1.6507e-07,-6.8596e-01,1.0251e-03,1.3661e-04
3.7500e-02,2.2644e-07,-6.8596e-01,1.0251e-03,1.3661e-04
4.1250e-02,3.0139e-07,-6.8596e-01,1.0251e-03,1.3661e-04
4.5000e-02,3.9128e-07,-6.8596e-01,1.0251e-03,1.3661e-04
4.8750e-02,4.9748e-07,-6.8595e-01,1.0251e-03,1.3661e-04
5.2500e-02,6.2134e-07,-6.8595e-01,1.0251e-03,1.3661e-04
5.6250e-02,7.6422e-07,-6.8595e-01,1.0251e-03,1.3660e-04
6.0000e-02,9.2748e-07,-6.8595e-01,1.0251e-03,1.3660e-04
6.3750e-02,1.1125e-06,-6.8594e-01,1.0251e-03,1.3660e-04
6.7500e-02,1.3206e-06,-6.8594e-01,1.0251e-03,1.3660e-04
7.1250e-02,1.5531e-06,-6.8594e-01,1.0251e-03,1.3660e-04
7.5000e-02,1.8115e-06,-6.8593e-01,1.0251e-03,1.3660e-04
7.8750e-02,2.0970e-06,-6.8593e-01,1.0250e-03,1.3659e-04
8.2500e-02,2.4110e-06,-6.8593e-01,1.0250e-03,1.3659e-04
8.6250e-02,2.7550e-06,-6.8592e-01,1.0250e-03,1.3659e-04
9.0000e-02,3.1302e-06,-6.8592e-01,1.0250e-03,1.3659e-04
9.3750e-02,3.5379e-06,-6.8592e-01,1.0250e-03,1.3658e-04
9.7500e-02,3.9797e-06,-6.8591e-01,1.0250e-03,1.3658e-04
1.0125e-01,4.4567e-06,-6.8591e-01,1.0250e-03,1.3658e-04
1.0500e-01,4.9705e-06,-6.8590e-01,1.0250e-03,1.3658e-04
1.0875e-01,5.5222e-06,-6.8590e-01,1.0250e-03,1.3657e-04
1.1250e-01,6.1134e-06,-6.8589e-01,1.0250e-03,1.3657e-04
1.1625e-01,6.7453e-06,-6.8589e-01,1.0250e-03,1.3657e-04
1.2000e-01,7.4193e-06,-6.8588e-01,1.0250e-03,1.3656e-04
1.2375e-01,8.1368e-06,-6.8588e-01,1.0249e-03,1.3656e-04
1.2750e-01,8.8991e-06,-6.8587e-01,1.0249e-03,1.3656e-04
1.3125e-01,9.7075e-06,-6.8586e-01,1.0249e-03,1.3655e-04
1.3500e-01,1.0564e-05,-6.8586e-01,1.0249e-03,1.3655e-04
1.3875e-01,1.1468e-05,-6.8585e-01,1.0249e-03,1.3655e-04
1.4250e-01,1.2424e-05,-6.8585e-01,1.0249e-03,1.3654e-04
1.4625e-01,1.3430e-05,-6.8584e-01,1.0249e-03,1.3654e-04
1.5000e-01,1.4490e-05,-6.8583e-01,1.0249e-03,1.3654e-04
1.5375e-01,1.5604e-05,-6.8583e-01,1.0248e-03,1.3653e-04
1.5750e-01,1.6774e-05,-6.8582e-01,1.0248e-03,1.3653e-04
1.6125e-01,1.8001e-05,-6.8581e-01,1.0248e-03,1.3652e-04
1.6500e-01,1.9286e-05,-6.8580e-01,1.0248e-03,1.3652e-04
1.6875e-01,2.0631e-05,-6.8580e-01,1.0248e-03,1.3652e-04
1.7250e-01,2.2036e-05,-6.8579e-01,1.0248e-03,1.3651e-04
1.7625e-01,2.3505e-05,-6.8578e-01,1.0248e-03,1.3651e-04
1.8000e-01,2.5037e-05,-6.8577e-01,1.0247e-03,1.3650e-04
1.8375e-01,2.6635e-05,-6.8577e-01,1.0247e-03,1.3650e-04
1.8750e-01,2.8298e-05,-6.8576e-01,1.0247e-03,1.3649e-04
1.9125e-01,3.0030e-05,-6.8575e-01,1.0247e-03,1.3649e-04
1.9500e-01,3.1831e-05,-6.8574e-01,1.0247e-03,1.3648e-04
1.9875e-01,3.3703e-05,-6.8573e-01,1.0247e-03,1.3648e-04
2.0250e-01,3.5647e-05,-6.8572e-01,1.0246e-03,1.3647e-04
2.0625e-01,3.7663e-05,-6.8571e-01,1.0246e-03,1.3647e-04
2.1000e-01,3.9755e-05,-6.8570e-01,1.0246e-03,1.3646e-04
2.1375e-01,4.1922e-05,-6.8569e-01,1.0246e-03,1.3646e-04
2.1750e-01,4.4167e-05,-6.8568e-01,1.0246e-03,1.3645e-04
2.2125e-01,4.6491e-05,-6.8567e-01,1.0246e-03,1.3644e-04
2.2500e-01,4.8895e-05,-6.8566e-01,1.0245e-03,1.3644e-04
2.2875e-01,5.1380e-05,-6.8565e-01,1.0245e-03,1.3643e-04
2.3250e-01,5.3948e-05,-6.8564e-01,1.0245e-03,1.3643e-04
2.3625e-01,5.6600e-05,-6.8563e-01,1.0245e-03,1.3642e-04
2.4000e-01,5.9337e-05,-6.8562e-01,1.0245e-03,1.3641e-04
2.4375e-01,6.2162e-05,-6.8561e-01,1.0244e-03,1.3641e-04
2.4750e-01,6.5074e-05,-6.8560e-01,1.0244e-03,1.3640e-04
2.5125e-01,6.8076e-05,-6.8559e-01,1.0244e-03,1.3639e-04
2.5500e-01,7.1169e-05,-6.8558e-01,1.0244e-03,1.3639e-04
2.5875e-01,7.4355e-05,-6.8557e-01,1.0244e-03,1.3638e-04
2.6250e-01,7.7634e-05,-6.8555e-01,1.0243e-03,1.3637e-04
2.6625e-01,8.1007e-05,-6.8554e-01,1.0243e-03,1.3637e-04
2.7000e-01,8.4478e-05,-6.8553e-01,1.0243e-03,1.3636e-04
2.7375e-01,8.8045e-05,-6.8552e-01,1.0243e-03,1.3635e-04
2.7750e-01,9.1712e-05,-6.8551e-01,1.0242e-03,1.3635e-04
2.8125e-01,9.5479e-05,-6.8549e-01,1.0242e-03,1.3634e-04
2.8500e-01,9.9348e-05,-6.8548e-01,1.0242e-03,1.3633e-04
2.8875e-01,1.0332e-04,-6.8547e-01,1.0242e-03,1.3632e-04
2.9250e-01,1.0740e-04,-6.8545e-01,1.0241e-03,1.3632e-04
2.9625e-01,1.1158e-04,-6.8544e-01,1.0241e-03,1.3631e-04
3.0000e-01,1.1587e-04,-6.8543e-01,1.0241e-03,1.3630e-04
3.0375e-01,1.2027e-04,-6.8541e-01,1.0241e-03,1.3629e-04
3.0750e-01,1.2477e-04,-6.8540e-01,1.0240e-03,1.3629e-04
3.1125e-01,1.2939e-04,-6.8539e-01,1.0240e-03,1.3628e-04
