r,m,nu,rho,P
0.0000e+00,0.0000e+00,-1.0117e+00,1.5142e-03,3.1145e-04
3.7500e-03,3.3447e-10,-1.0117e+00,1.5142e-03,3.1145e-04
7.5000e-03,2.6758e-09,-1.0117e+00,1.5142e-03,3.1145e-04
1.1250e-02,9.0308e-09,-1.0117e+00,1.5142e-03,3.1145e-04
1.5000e-02,2.1406e-08,-1.0117e+00,1.5142e-03,3.1145e-04
1.8750e-02,4.1809e-08,-1.0117e+00,1.5142e-03,3.1144e-04
2.2500e-02,7.2246e-08,-1.0117e+00,1.5142e-03,3.1144e-04
2.6250e-02,1.1472e-07,-1.0117e+00,1.5142e-03,3.1144e-04
3.0000e-02,1.7125e-07,-1.0117e+00,1.5142e-03,3.1144e-04
3.3750e-02,2.4383e-07,-1.0117e+00,1.5142e-03,3.1144e-04
3.7500e-02,3.3447e-07,-1.0117e+00,1.5141e-03,3.1143e-04
4.1250e-02,4.4518e-07,-1.0117e+00,1.5141e-03,3.1143e-04
4.5000e-02,5.7796e-07,-1.0117e+00,1.5141e-03,3.1143e-04
4.8750e-02,7.3482e-07,-1.0117e+00,1.5141e-03,3.1143e-04
5.2500e-02,9.1777e-07,-1.0117e+00,1.5141e-03,3.1142e-04
5.6250e-02,1.1288e-06,-1.0117e+00,1.5141e-03,3.1142e-04
6.0000e-02,1.3700e-06,-1.0117e+00,1.5141e-03,3.1141e-04
6.3750e-02,1.6432e-06,-1.0117e+00,1.5141e-03,3.1141e-04
6.7500e-02,1.9506e-06,-1.0117e+00,1.5141e-03,3.1140e-04
7.1250e-02,2.2940e-06,-1.0117e+00,1.5141e-03,3.1140e-04
7.5000e-02,2.6756e-06,-1.0116e+00,1.5140e-03,3.1139e-04
7.8750e-02,3.0974e-06,-1.0116e+00,1.5140e-03,3.1139e-04
8.2500e-02,3.5612e-06,-1.0116e+00,1.5140e-03,3.1138e-04
8.6250e-02,4.0692e-06,-1.0116e+00,1.5140e-03,3.1138e-04
9.0000e-02,4.6234e-06,-1.0116e+00,1.5140e-03,3.1137e-04
9.3750e-02,5.2257e-06,-1.0116e+00,1.5140e-03,3.1137e-04
9.7500e-02,5.8782e-06,-1.0116e+00,1.5140e-03,3.1136e-04
1.0125e-01,6.5828e-06,-1.0116e+00,1.5139e-03,3.1135e-04
1.0500e-01,7.3416e-06,-1.0116e+00,1.5139e-03,3.1134e-04
1.0875e-01,8.1565e-06,-1.0116e+00,1.5139e-03,3.1134e-04
1.1250e-01,9.0297e-06,-1.0116e+00,1.5139e-03,3.1133e-04
1.1625e-01,9.9630e-06,-1.0116e+00,1.5139e-03,3.1132e-04
1.2000e-01,1.0959e-05,-1.0116e+00,1.5138e-03,3.1131e-04
1.2375e-01,1.2018e-05,-1.0115e+00,1.5138e-03,3.1130e-04
1.2750e-01,1.3144e-05,-1.0115e+00,1.5138e-03,3.1130e-04
1.3125e-01,1.4338e-05,-1.0115e+00,1.5138e-03,3.1129e-04
1.3500e-01,1.5602e-05,-1.0115e+00,1.5138e-03,3.1128e-04
1.3875e-01,1.6939e-05,-1.0115e+00,1.5137e-03,3.1127e-04
1.4250e-01,1.8350e-05,-1.0115e+00,1.5137e-03,3.1126e-04
1.4625e-01,1.9837e-05,-1.0115e+00,1.5137e-03,3.1125e-04
1.5000e-01,2.1402e-05,-1.0115e+00,1.5136e-03,3.1124e-04
1.5375e-01,2.3047e-05,-1.0115e+00,1.5136e-03,3.1123e-04
1.5750e-01,2.4775e-05,-1.0115e+00,1.5136e-03,3.1122e-04
1.6125e-01,2.6586e-05,-1.0114e+00,1.5136e-03,3.1120e-04
1.6500e-01,2.8484e-05,-1.0114e+00,1.5135e-03,3.1119e-04
1.6875e-01,3.0471e-05,-1.0114e+00,1.5135e-03,3.1118e-04
1.7250e-01,3.2547e-05,-1.0114e+00,1.5135e-03,3.1117e-04
1.7625e-01,3.4716e-05,-1.0114e+00,1.5134e-03,3.1116e-04
1.8000e-01,3.6979e-05,-1.0114e+00,1.5134e-03,3.1114e-04
1.8375e-01,3.9338e-05,-1.0114e+00,1.5134e-03,3.1113e-04
1.8750e-01,4.1795e-05,-1.0113e+00,1.5133e-03,3.1112e-04
1.9125e-01,4.4353e-05,-1.0113e+00,1.5133e-03,3.1111e-04
1.9500e-01,4.7013e-05,-1.0113e+00,1.5133e-03,3.1109e-04
1.9875e-01,4.9777e-05,-1.0113e+00,1.5132e-03,3.1108e-04
2.0250e-01,5.2647e-05,-1.0113e+00,1.5132e-03,3.1106e-04
2.0625e-01,5.5626e-05,-1.0113e+00,1.5132e-03,3.1105e-04
2.1000e-01,5.8714e-05,-1.0113e+00,1.5131e-03,3.1103e-04
2.1375e-01,6.1915e-05,-1.0112e+00,1.5131e-03,3.1102e-04
2.1750e-01,6.5231e-05,-1.0112e+00,1.5131e-03,3.1100e-04
2.2125e-01,6.8662e-05,-1.0112e+00,1.5130e-03,3.1099e-04
2.2500e-01,7.2212e-05,-1.0112e+00,1.5130e-03,3.1097e-04
2.2875e-01,7.5882e-05,-1.0112e+00,1.5129e-03,3.1096e-04
2.3250e-01,7.9674e-05,-1.0112e+00,1.5129e-03,3.1094e-04
2.3625e-01,8.3590e-05,-1.0111e+00,1.5129e-03,3.1093e-04
2.4000e-01,8.7633e-05,-1.0111e+00,1.5128e-03,3.1091e-04
2.4375e-01,9.1803e-05,-1.0111e+00,1.5128e-03,3.1089e-04
2.4750e-01,9.6104e-05,-1.0111e+00,1.5127e-03,3.1087e-04
2.5125e-01,1.0054e-04,-1.0111e+00,1.5127e-03,3.1086e-04
2.5500e-01,1.0510e-04,-1.0110e+00,1.5126e-03,3.1084e-04
2.5875e-01,1.0981e-04,-1.0110e+00,1.5126e-03,3.1082e-04
2.6250e-01,1.1465e-04,-1.0110e+00,1.5125e-03,3.1080e-04
2.6625e-01,1.1963e-04,-1.0110e+00,1.5125e-03,3.1078e-04
2.7000e-01,1.2476e-04,-1.0110e+00,1.5125e-03,3.1077e-04
2.7375e-01,1.3002e-04,-1.0109e+00,1.5124e-03,3.1075e-04
2.7750e-01,1.3544e-04,-1.0109e+00,1.5124e-03,3.1073e-04
2.8125e-01,1.4100e-04,-1.0109e+00,1.5123e-03,3.1071e-04
2.8500e-01,1.4671e-04,-1.0109e+00,1.5123e-03,3.1069e-04
2.8875e-01,1.5258e-04,-1.0109e+00,1.5122e-03,3.1067e-04
2.9250e-01,1.5860e-04,-1.0108e+00,1.5122e-03,3.1065e-04
2.9625e-01,1.6477e-04,-1.0108e+00,1.5121e-03,3.1063e-04
3.0000e-01,1.7111e-04,-1.0108e+00,1.5120e-03,3.1061e-04
3.0375e-01,1.7760e-04,-1.0108e+00,1.5120e-03,3.1058e-04
3.0750e-01,1.8425e-04,-1.0107e+00,1.5119e-03,3.1056e-04
3.1125e-01,1.9107e-04,-1.0107e+00,1.5119e-03,3.1054e-04
3.1500e-01,1.9806e-04,-1.0107e+00,1.5118e-03,3.1052e-04
3.1875e-01,2.0521e-04,-1.0107e+00,1.5118e-03,3.1050e-04
3.2250e-01,2.1254e-04,-1.0106e+00,1.5117e-03,3.1047e-04
3.2625e-01,2.2003e-04,-1.0106e+00,1.5117e-03,3.1045e-04
3.3000e-01,2.2770e-04,-1.0106e+00,1.5116e-03,3.1043e-04
3.3375e-01,2.3555e-04,-1.0106e+00,1.5115e-03,3.1041e-04
3.3750e-01,2.4357e-04,-1.0105e+00,1.5115e-03,3.1038e-04
3.4125e-01,2.5177e-04,-1.0105e+00,1.5114e-03,3.1036e-04
3.4500e-01,2.6016e-04,-1.0105e+00,1.5114e-03,3.1033e-04
3.4875e-01,2.6873e-04,-1.0105e+00,1.5113e-03,3.1031e-04
3.5250e-01,2.7748e-04,-1.0104e+00,1.5112e-03,3.1029e-04
3.5625e-01,2.8643e-04,-1.0104e+00,1.5112e-03,3.1026e-04
3.6000e-01,2.9556e-04,-1.0104e+00,1.5111e-03,3.1024e-04
3.6375e-01,3.0488e-04,-1.0104e+00,1.5110e-03,3.1021e-04
3.6750e-01,3.1440e-04,-1.0103e+00,1.5110e-03,3.1018e-04
3.7125e-01,3.2412e-04,-1.0103e+00,1.5109e-03,3.1016e-04
3.7500e-01,3.3403e-04,-1.0103e+00,1.5109e-03,3.1013e-04
3.7875e-01,3.4414e-04,-1.0102e+00,1.5108e-03,3.1011e-04
3.8250e-01,3.5446e-04,-1.0102e+00,1.5107e-03,3.1008e-04
3.8625e-01,3.6498e-04,-1.0102e+00,1.5106e-03,3.1005e-04
3.9000e-01,3.7570e-04,-1.0101e+00,1.5106e-03,3.1003e-04
3.9375e-01,3.8663e-04,-1.0101e+00,1.5105e-03,3.1000e-04
3.9750e-01,3.9777e-04,-1.0101e+00,1.5104e-03,3.0997e-04
4.0125e-01,4.0912e-04,-1.0101e+00,1.5104e-03,3.0994e-04
4.0500e-01,4.2069e-04,-1.0100e+00,1.5103e-03,3.0991e-04
4.0875e-01,4.3247e-04,-1.0100e+00,1.5102e-03,3.0989e-04
4.1250e-01,4.4447e-04,-1.0100e+00,1.5102e-03,3.0986e-04
4.1625e-01,4.5669e-04,-1.0099e+00,1.5101e-03,3.0983e-04
4.2000e-01,4.6913e-04,-1.0099e+00,1.5100e-03,3.0980e-04
4.2375e-01,4.8180e-04,-1.0099e+00,1.5099e-03,3.0977e-04
4.2750e-01,4.9469e-04,-1.0098e+00,1.5099e-03,3.0974e-04
4.3125e-01,5.0780e-04,-1.0098e+00,1.5098e-03,3.0971e-04
4.3500e-01,5.2115e-04,-1.0098e+00,1.5097e-03,3.0968e-04
4.3875e-01,5.3473e-04,-1.0097e+00,1.5096e-03,3.0965e-04
4.4250e-01,5.4854e-04,-1.0097e+00,1.5095e-03,3.0962e-04
4.4625e-01,5.6259e-04,-1.0097e+00,1.5095e-03,3.0959e-04
4.5000e-01,5.7687e-04,-1.0096e+00,1.5094e-03,3.0956e-04
4.5375e-01,5.9139e-04,-1.0096e+00,1.5093e-03,3.0952e-04
4.5750e-01,6.0616e-04,-1.0096e+00,1.5092e-03,3.0949e-04
4.6125e-01,6.2117e-04,-1.0095e+00,1.5091e-03,3.0946e-04
4.6500e-01,6.3642e-04,-1.0095e+00,1.5091e-03,3.0943e-04
4.6875e-01,6.5192e-04,-1.0095e+00,1.5090e-03,3.0940e-04
4.7250e-01,6.6767e-04,-1.0094e+00,1.5089e-03,3.0936e-04
4.7625e-01,6.8367e-04,-1.0094e+00,1.5088e-03,3.0933e-04
4.8000e-01,6.9992e-04,-1.0093e+00,1.5087e-03,3.0930e-04
4.8375e-01,7.1643e-04,-1.0093e+00,1.5086e-03,3.0926e-04
4.8750e-01,7.3320e-04,-1.0093e+00,1.5086e-03,3.0923e-04
4.9125e-01,7.5022e-04,-1.0092e+00,1.5085e-03,3.0919e-04
4.9500e-01,7.6751e-04,-1.0092e+00,1.5084e-03,3.0916e-04
4.9875e-01,7.8506e-04,-1.0092e+00,1.5083e-03,3.0913e-04
5.0250e-01,8.0287e-04,-1.0091e+00,1.5082e-03,3.0909e-04
5.0625e-01,8.2095e-04,-1.0091e+00,1.5081e-03,3.0905e-04
5.1000e-01,8.3930e-04,-1.0090e+00,1.5080e-03,3.0902e-04
5.1375e-01,8.5792e-04,-1.0090e+00,1.5079e-03,3.0898e-04
5.1750e-01,8.7681e-04,-1.0090e+00,1.5078e-03,3.0895e-04
5.2125e-01,8.9598e-04,-1.0089e+00,1.5078e-03,3.0891e-04
5.2500e-01,9.1542e-04,-1.0089e+00,1.5077e-03,3.0887e-04
5.2875e-01,9.3514e-04,-1.0088e+00,1.5076e-03,3.0884e-04
5.3250e-01,9.5514e-04,-1.0088e+00,1.5075e-03,3.0880e-04
5.3625e-01,9.7543e-04,-1.0088e+00,1.5074e-03,3.0876e-04
5.4000e-01,9.9600e-04,-1.0087e+00,1.5073e-03,3.0873e-04
5.4375e-01,1.0169e-03,-1.0087e+00,1.5072e-03,3.0869e-04
5.4750e-01,1.0380e-03,-1.0086e+00,1.5071e-03,3.0865e-04
5.5125e-01,1.0594e-03,-1.0086e+00,1.5070e-03,3.0861e-04
5.5500e-01,1.0812e-03,-1.0085e+00,1.5069e-03,3.0857e-04
5.5875e-01,1.1032e-03,-1.0085e+00,1.5068e-03,3.0853e-04
5.6250e-01,1.1255e-03,-1.0085e+00,1.5067e-03,3.0850e-04
5.6625e-01,1.1481e-03,-1.0084e+00,1.5066e-03,3.0846e-04
5.7000e-01,1.1710e-03,-1.0084e+00,1.5065e-03,3.0842e-04
5.7375e-01,1.1942e-03,-1.0083e+00,1.5064e-03,3.0838e-04
5.7750e-01,1.2178e-03,-1.0083e+00,1.5063e-03,3.0834e-04
5.8125e-01,1.2416e-03,-1.0082e+00,1.5062e-03,3.0830e-04
5.8500e-01,1.2657e-03,-1.0082e+00,1.5061e-03,3.0826e-04
5.8875e-01,1.2902e-03,-1.0082e+00,1.5060e-03,3.0821e-04
5.9250e-01,1.3149e-03,-1.0081e+00,1.5059e-03,3.0817e-04
5.9625e-01,1.3400e-03,-1.0081e+00,1.5058e-03,3.0813e-04
6.0000e-01,1.3654e-03,-1.0080e+00,1.5057e-03,3.0809e-04
6.0375e-01,1.3911e-03,-1.0080e+00,1.5056e-03,3.0805e-04
6.0750e-01,1.4171e-03,-1.0079e+00,1.5055e-03,3.0801e-04
6.1125e-01,1.4434e-03,-1.0079e+00,1.5053e-03,3.0796e-04
6.1500e-01,1.4701e-03,-1.0078e+00,1.5052e-03,3.0792e-04
6.1875e-01,1.4971e-03,-1.0078e+00,1.5051e-03,3.0788e-04
6.2250e-01,1.5244e-03,-1.0077e+00,1.5050e-03,3.0784e-04
6.2625e-01,1.5521e-03,-1.0077e+00,1.5049e-03,3.0779e-04
6.3000e-01,1.5800e-03,-1.0076e+00,1.5048e-03,3.0775e-04
6.3375e-01,1.6084e-03,-1.0076e+00,1.5047e-03,3.0770e-04
6.3750e-01,1.6370e-03,-1.0075e+00,1.5046e-03,3.0766e-04
6.4125e-01,1.6660e-03,-1.0075e+00,1.5045e-03,3.0762e-04
6.4500e-01,1.6953e-03,-1.0074e+00,1.5043e-03,3.0757e-04
6.4875e-01,1.7250e-03,-1.0074e+00,1.5042e-03,3.0753e-04
6.5250e-01,1.7550e-03,-1.0073e+00,1.5041e-03,3.0748e-04
6.5625e-01,1.7853e-03,-1.0073e+00,1.5040e-03,3.0744e-04
6.6000e-01,1.8160e-03,-1.0072e+00,1.5039e-03,3.0739e-04
6.6375e-01,1.8471e-03,-1.0072e+00,1.5038e-03,3.0734e-04
6.6750e-01,1.8785e-03,-1.0071e+00,1.5037e-03,3.0730e-04
6.7125e-01,1.9102e-03,-1.0071e+00,1.5035e-03,3.0725e-04
6.7500e-01,1.9423e-03,-1.0070e+00,1.5034e-03,3.0720e-04
6.7875e-01,1.9748e-03,-1.0070e+00,1.5033e-03,3.0716e-04
6.8250e-01,2.0076e-03,-1.0069e+00,1.5032e-03,3.0711e-04
6.8625e-01,2.0408e-03,-1.0069e+00,1.5031e-03,3.0706e-04
6.9000e-01,2.0743e-03,-1.0068e+00,1.5029e-03,3.0701e-04
6.9375e-01,2.1082e-03,-1.0068e+00,1.5028e-03,3.0697e-04
6.9750e-01,2.1425e-03,-1.0067e+00,1.5027e-03,3.0692e-04
7.0125e-01,2.1771e-03,-1.0067e+00,1.5026e-03,3.0687e-04
7.0500e-01,2.2121e-03,-1.0066e+00,1.5024e-03,3.0682e-04
7.0875e-01,2.2475e-03,-1.0066e+00,1.5023e-03,3.0677e-04
7.1250e-01,2.2832e-03,-1.0065e+00,1.5022e-03,3.0672e-04
7.1625e-01,2.3194e-03,-1.0065e+00,1.5021e-03,3.0667e-04
7.2000e-01,2.3559e-03,-1.0064e+00,1.5019e-03,3.0662e-04
7.2375e-01,2.3927e-03,-1.0063e+00,1.5018e-03,3.0657e-04
7.2750e-01,2.4300e-03,-1.0063e+00,1.5017e-03,3.0652e-04
7.3125e-01,2.4676e-03,-1.0062e+00,1.5016e-03,3.0647e-04
7.3500e-01,2.5057e-03,-1.0062e+00,1.5014e-03,3.0642e-04
7.3875e-01,2.5441e-03,-1.0061e+00,1.5013e-03,3.0637e-04
7.4250e-01,2.5829e-03,-1.0061e+00,1.5012e-03,3.0632e-04
7.4625e-01,2.6221e-03,-1.0060e+00,1.5010e-03,3.0627e-04
7.5000e-01,2.6617e-03,-1.0059e+00,1.5009e-03,3.0621e-04
7.5375e-01,2.7017e-03,-1.0059e+00,1.5008e-03,3.0616e-04
7.5750e-01,2.7420e-03,-1.0058e+00,1.5006e-03,3.0611e-04
7.6125e-01,2.7828e-03,-1.0058e+00,1.5005e-03,3.0606e-04
7.6500e-01,2.8240e-03,-1.0057e+00,1.5004e-03,3.0600e-04
7.6875e-01,2.8656e-03,-1.0057e+00,1.5002e-03,3.0595e-04
7.7250e-01,2.9076e-03,-1.0056e+00,1.5001e-03,3.0590e-04
7.7625e-01,2.9499e-03,-1.0055e+00,1.5000e-03,3.0584e-04
7.8000e-01,2.9927e-03,-1.0055e+00,1.4998e-03,3.0579e-04
7.8375e-01,3.0359e-03,-1.0054e+00,1.4997e-03,3.0574e-04
7.8750e-01,3.0796e-03,-1.0054e+00,1.4995e-03,3.0568e-04
7.9125e-01,3.1236e-03,-1.0053e+00,1.4994e-03,3.0563e-04
7.9500e-01,3.1680e-03,-1.0052e+00,1.4993e-03,3.0557e-04
7.9875e-01,3.2129e-03,-1.0052e+00,1.4991e-03,3.0552e-04
8.0250e-01,3.2582e-03,-1.0051e+00,1.4990e-03,3.0546e-04
8.0625e-01,3.3039e-03,-1.0050e+00,1.4988e-03,3.0541e-04
8.1000e-01,3.3500e-03,-1.0050e+00,1.4987e-03,3.0535e-04
8.1375e-01,3.3966e-03,-1.0049e+00,1.4986e-03,3.0529e-04
8.1750e-01,3.4435e-03,-1.0049e+00,1.4984e-03,3.0524e-04
8.2125e-01,3.4909e-03,-1.0048e+00,1.4983e-03,3.0518e-04
8.2500e-01,3.5388e-03,-1.0047e+00,1.4981e-03,3.0512e-04
8.2875e-01,3.5870e-03,-1.0047e+00,1.4980e-03,3.0507e-04
8.3250e-01,3.6357e-03,-1.0046e+00,1.4978e-03,3.0501e-04
8.3625e-01,3.6849e-03,-1.0045e+00,1.4977e-03,3.0495e-04
8.4000e-01,3.7345e-03,-1.0045e+00,1.4975e-03,3.0489e-04
8.4375e-01,3.7845e-03,-1.0044e+00,1.4974e-03,3.0484e-04
8.4750e-01,3.8349e-03,-1.0044e+00,1.4972e-03,3.0478e-04
8.5125e-01,3.8858e-03,-1.0043e+00,1.4971e-03,3.0472e-04
8.5500e-01,3.9372e-03,-1.0042e+00,1.4969e-03,3.0466e-04
8.5875e-01,3.9890e-03,-1.0042e+00,1.4968e-03,3.0460e-04
8.6250e-01,4.0412e-03,-1.0041e+00,1.4966e-03,3.0454e-04
8.6625e-01,4.0939e-03,-1.0040e+00,1.4965e-03,3.0448e-04
8.7000e-01,4.1470e-03,-1.0040e+00,1.4963e-03,3.0442e-04
8.7375e-01,4.2006e-03,-1.0039e+00,1.4962e-03,3.0436e-04
8.7750e-01,4.2547e-03,-1.0038e+00,1.4960e-03,3.0430e-04
8.8125e-01,4.3092e-03,-1.0038e+00,1.4959e-03,3.0424e-04
8.8500e-01,4.3642e-03,-1.0037e+00,1.4957e-03,3.0418e-04
8.8875e-01,4.4196e-03,-1.0036e+00,1.4956e-03,3.0412e-04
8.9250e-01,4.4755e-03,-1.0036e+00,1.4954e-03,3.0406e-04
8.9625e-01,4.5319e-03,-1.0035e+00,1.4953e-03,3.0400e-04
9.0000e-01,4.5887e-03,-1.0034e+00,1.4951e-03,3.0393e-04
9.0375e-01,4.6460e-03,-1.0033e+00,1.4949e-03,3.0387e-04
9.0750e-01,4.7038e-03,-1.0033e+00,1.4948e-03,3.0381e-04
9.1125e-01,4.7620e-03,-1.0032e+00,1.4946e-03,3.0375e-04
9.1500e-01,4.8208e-03,-1.0031e+00,1.4945e-03,3.0368e-04
