r,m,nu,rho,P
0.0000e+00,0.0000e+00,-1.2814e+00,2.5442e-03,8.1020e-04
3.7500e-03,5.6235e-10,-1.2814e+00,2.5442e-03,8.1020e-04
7.5000e-03,4.4964e-09,-1.2814e+00,2.5442e-03,8.1020e-04
1.1250e-02,1.5175e-08,-1.2814e+00,2.5442e-03,8.1020e-04
1.5000e-02,3.5969e-08,-1.2814e+00,2.5442e-03,8.1019e-04
1.8750e-02,7.0251e-08,-1.2814e+00,2.5442e-03,8.1019e-04
2.2500e-02,1.2139e-07,-1.2814e+00,2.5442e-03,8.1018e-04
2.6250e-02,1.9277e-07,-1.2814e+00,2.5442e-03,8.1018e-04
3.0000e-02,2.8775e-07,-1.2814e+00,2.5442e-03,8.1017e-04
3.3750e-02,4.0970e-07,-1.2814e+00,2.5442e-03,8.1016e-04
3.7500e-02,5.6200e-07,-1.2814e+00,2.5442e-03,8.1015e-04
4.1250e-02,7.4802e-07,-1.2814e+00,2.5442e-03,8.1014e-04
4.5000e-02,9.7113e-07,-1.2814e+00,2.5442e-03,8.1013e-04
4.8750e-02,1.2347e-06,-1.2814e+00,2.5442e-03,8.1012e-04
5.2500e-02,1.5421e-06,-1.2814e+00,2.5441e-03,8.1010e-04
5.6250e-02,1.8967e-06,-1.2814e+00,2.5441e-03,8.1009e-04
6.0000e-02,2.3019e-06,-1.2813e+00,2.5441e-03,8.1007e-04
6.3750e-02,2.7610e-06,-1.2813e+00,2.5441e-03,8.1006e-04
6.7500e-02,3.2775e-06,-1.2813e+00,2.5441e-03,8.1004e-04
7.1250e-02,3.8546e-06,-1.2813e+00,2.5441e-03,8.1002e-04
7.5000e-02,4.4958e-06,-1.2813e+00,2.5440e-03,8.1000e-04
7.8750e-02,5.2045e-06,-1.2813e+00,2.5440e-03,8.0998e-04
8.2500e-02,5.9839e-06,-1.2813e+00,2.5440e-03,8.0996e-04
8.6250e-02,6.8375e-06,-1.2813e+00,2.5440e-03,8.0994e-04
9.0000e-02,7.7686e-06,-1.2813e+00,2.5439e-03,8.0992e-04
9.3750e-02,8.7807e-06,-1.2812e+00,2.5439e-03,8.0989e-04
9.7500e-02,9.8770e-06,-1.2812e+00,2.5439e-03,8.0987e-04
1.0125e-01,1.1061e-05,-1.2812e+00,2.5439e-03,8.0984e-04
1.0500e-01,1.2336e-05,-1.2812e+00,2.5438e-03,8.0981e-04
