r,m,nu,rho,P
0.0000e+00,0.0000e+00,-1.6725e+00,3.1580e-03,1.4277e-03
3.7500e-03,6.9757e-10,-1.6725e+00,3.1580e-03,1.4277e-03
7.5000e-03,5.5807e-09,-1.6725e+00,3.1580e-03,1.4277e-03
1.1250e-02,1.8835e-08,-1.6725e+00,3.1580e-03,1.4277e-03
1.5000e-02,4.4646e-08,-1.6725e+00,3.1580e-03,1.4277e-03
1.8750e-02,8.7198e-08,-1.6725e+00,3.1580e-03,1.4277e-03
2.2500e-02,1.5068e-07,-1.6725e+00,3.1580e-03,1.4277e-03
2.6250e-02,2.3927e-07,-1.6725e+00,3.1580e-03,1.4277e-03
3.0000e-02,3.5716e-07,-1.6725e+00,3.1580e-03,1.4277e-03
3.3750e-02,5.0854e-07,-1.6725e+00,3.1580e-03,1.4276e-03
3.7500e-02,6.9758e-07,-1.6725e+00,3.1579e-03,1.4276e-03
4.1250e-02,9.2847e-07,-1.6725e+00,3.1579e-03,1.4276e-03
4.5000e-02,1.2054e-06,-1.6725e+00,3.1579e-03,1.4276e-03
4.8750e-02,1.5326e-06,-1.6724e+00,3.1579e-03,1.4275e-03
5.2500e-02,1.9141e-06,-1.6724e+00,3.1578e-03,1.4275e-03
5.6250e-02,2.3543e-06,-1.6724e+00,3.1578e-03,1.4275e-03
6.0000e-02,2.8572e-06,-1.6724e+00,3.1578e-03,1.4275e-03
6.3750e-02,3.4271e-06,-1.6724e+00,3.1578e-03,1.4274e-03
6.7500e-02,4.0681e-06,-1.6724e+00,3.1577e-03,1.4274e-03
7.1250e-02,4.7844e-06,-1.6724e+00,3.1577e-03,1.4274e-03
7.5000e-02,5.5803e-06,-1.6723e+00,3.1576e-03,1.4273e-03
7.8750e-02,6.4598e-06,-1.6723e+00,3.1576e-03,1.4273e-03
8.2500e-02,7.4273e-06,-1.6723e+00,3.1576e-03,1.4272e-03
8.6250e-02,8.4867e-06,-1.6723e+00,3.1575e-03,1.4272e-03
9.0000e-02,9.6424e-06,-1.6723e+00,3.1575e-03,1.4271e-03
9.3750e-02,1.0899e-05,-1.6722e+00,3.1574e-03,1.4271e-03
9.7500e-02,1.2259e-05,-1.6722e+00,3.1574e-03,1.4270e-03
1.0125e-01,1.3729e-05,-1.6722e+00,3.1573e-03,1.4270e-03
1.0500e-01,1.5311e-05,-1.6722e+00,3.1573e-03,1.4269e-03
1.0875e-01,1.7011e-05,-1.6721e+00,3.1572e-03,1.4269e-03
1.1250e-01,1.8832e-05,-1.6721e+00,3.1572e-03,1.4268e-03
1.1625e-01,2.0778e-05,-1.6721e+00,3.1571e-03,1.4267e-03
1.2000e-01,2.2854e-05,-1.6721e+00,3.1570e-03,1.4267e-03
1.2375e-01,2.5064e-05,-1.6720e+00,3.1570e-03,1.4266e-03
1.2750e-01,2.7412e-05,-1.6720e+00,3.1569e-03,1.4266e-03
1.3125e-01,2.9902e-05,-1.6720e+00,3.1568e-03,1.4265e-03
1.3500e-01,3.2539e-05,-1.6719e+00,3.1568e-03,1.4264e-03
1.3875e-01,3.5326e-05,-1.6719e+00,3.1567e-03,1.4263e-03
1.4250e-01,3.8268e-05,-1.6719e+00,3.1566e-03,1.4263e-03
1.4625e-01,4.1369e-05,-1.6718e+00,3.1566e-03,1.4262e-03
1.5000e-01,4.4632e-05,-1.6718e+00,3.1565e-03,1.4261e-03
1.5375e-01,4.8064e-05,-1.6718e+00,3.1564e-03,1.4260e-03
1.5750e-01,5.1666e-05,-1.6717e+00,3.1563e-03,1.4259e-03
1.6125e-01,5.5444e-05,-1.6717e+00,3.1562e-03,1.4259e-03
1.6500e-01,5.9402e-05,-1.6717e+00,3.1561e-03,1.4258e-03
1.6875e-01,6.3544e-05,-1.6716e+00,3.1561e-03,1.4257e-03
1.7250e-01,6.7874e-05,-1.6716e+00,3.1560e-03,1.4256e-03
1.7625e-01,7.2396e-05,-1.6715e+00,3.1559e-03,1.4255e-03
1.8000e-01,7.7115e-05,-1.6715e+00,3.1558e-03,1.4254e-03
1.8375e-01,8.2034e-05,-1.6715e+00,3.1557e-03,1.4253e-03
1.8750e-01,8.7158e-05,-1.6714e+00,3.1556e-03,1.4252e-03
1.9125e-01,9.2491e-05,-1.6714e+00,3.1555e-03,1.4251e-03
1.9500e-01,9.8037e-05,-1.6713e+00,3.1554e-03,1.4250e-03
1.9875e-01,1.0380e-04,-1.6713e+00,3.1553e-03,1.4249e-03
2.0250e-01,1.0979e-04,-1.6712e+00,3.1552e-03,1.4248e-03
2.0625e-01,1.1600e-04,-1.6712e+00,3.1551e-03,1.4247e-03
2.1000e-01,1.2244e-04,-1.6711e+00,3.1550e-03,1.4246e-03
2.1375e-01,1.2911e-04,-1.6711e+00,3.1549e-03,1.4245e-03
2.1750e-01,1.3602e-04,-1.6710e+00,3.1548e-03,1.4243e-03
2.2125e-01,1.4318e-04,-1.6710e+00,3.1546e-03,1.4242e-03
2.2500e-01,1.5058e-04,-1.6709e+00,3.1545e-03,1.4241e-03
2.2875e-01,1.5823e-04,-1.6709e+00,3.1544e-03,1.4240e-03
2.3250e-01,1.6614e-04,-1.6708e+00,3.1543e-03,1.4239e-03
2.3625e-01,1.7430e-04,-1.6708e+00,3.1542e-03,1.4237e-03
2.4000e-01,1.8273e-04,-1.6707e+00,3.1540e-03,1.4236e-03
2.4375e-01,1.9143e-04,-1.6707e+00,3.1539e-03,1.4235e-03
2.4750e-01,2.0039e-04,-1.6706e+00,3.1538e-03,1.4233e-03
2.5125e-01,2.0963e-04,-1.6705e+00,3.1537e-03,1.4232e-03
2.5500e-01,2.1916e-04,-1.6705e+00,3.1535e-03,1.4231e-03
2.5875e-01,2.2896e-04,-1.6704e+00,3.1534e-03,1.4229e-03
2.6250e-01,2.3906e-04,-1.6704e+00,3.1533e-03,1.4228e-03
2.6625e-01,2.4944e-04,-1.6703e+00,3.1531e-03,1.4227e-03
2.7000e-01,2.6012e-04,-1.6702e+00,3.1530e-03,1.4225e-03
2.7375e-01,2.7111e-04,-1.6702e+00,3.1528e-03,1.4224e-03
2.7750e-01,2.8239e-04,-1.6701e+00,3.1527e-03,1.4222e-03
2.8125e-01,2.9399e-04,-1.6700e+00,3.1525e-03,1.4221e-03
2.8500e-01,3.0590e-04,-1.6700e+00,3.1524e-03,1.4219e-03
2.8875e-01,3.1812e-04,-1.6699e+00,3.1523e-03,1.4218e-03
2.9250e-01,3.3067e-04,-1.6698e+00,3.1521e-03,1.4216e-03
2.9625e-01,3.4354e-04,-1.6698e+00,3.1519e-03,1.4215e-03
3.0000e-01,3.5674e-04,-1.6697e+00,3.1518e-03,1.4213e-03
3.0375e-01,3.7028e-04,-1.6696e+00,3.1516e-03,1.4211e-03
3.0750e-01,3.8415e-04,-1.6696e+00,3.1515e-03,1.4210e-03
3.1125e-01,3.9836e-04,-1.6695e+00,3.1513e-03,1.4208e-03
3.1500e-01,4.1292e-04,-1.6694e+00,3.1512e-03,1.4206e-03
3.1875e-01,4.2783e-04,-1.6693e+00,3.1510e-03,1.4205e-03
3.2250e-01,4.4310e-04,-1.6693e+00,3.1508e-03,1.4203e-03
3.2625e-01,4.5872e-04,-1.6692e+00,3.1507e-03,1.4201e-03
3.3000e-01,4.7470e-04,-1.6691e+00,3.1505e-03,1.4199e-03
3.3375e-01,4.9106e-04,-1.6690e+00,3.1503e-03,1.4198e-03
3.3750e-01,5.0778e-04,-1.6690e+00,3.1501e-03,1.4196e-03
3.4125e-01,5.2488e-04,-1.6689e+00,3.1500e-03,1.4194e-03
3.4500e-01,5.4235e-04,-1.6688e+00,3.1498e-03,1.4192e-03
3.4875e-01,5.6021e-04,-1.6687e+00,3.1496e-03,1.4190e-03
3.5250e-01,5.7846e-04,-1.6686e+00,3.1494e-03,1.4189e-03
3.5625e-01,5.9709e-04,-1.6686e+00,3.1492e-03,1.4187e-03
3.6000e-01,6.1613e-04,-1.6685e+00,3.1491e-03,1.4185e-03
3.6375e-01,6.3556e-04,-1.6684e+00,3.1489e-03,1.4183e-03
3.6750e-01,6.5540e-04,-1.6683e+00,3.1487e-03,1.4181e-03
3.7125e-01,6.7564e-04,-1.6682e+00,3.1485e-03,1.4179e-03
3.7500e-01,6.9630e-04,-1.6681e+00,3.1483e-03,1.4177e-03
3.7875e-01,7.1737e-04,-1.6680e+00,3.1481e-03,1.4175e-03
3.8250e-01,7.3886e-04,-1.6680e+00,3.1479e-03,1.4173e-03
3.8625e-01,7.6078e-04,-1.6679e+00,3.1477e-03,1.4171e-03
3.9000e-01,7.8312e-04,-1.6678e+00,3.1475e-03,1.4169e-03
3.9375e-01,8.0590e-04,-1.6677e+00,3.1473e-03,1.4167e-03
3.9750e-01,8.2911e-04,-1.6676e+00,3.1471e-03,1.4165e-03
4.0125e-01,8.5276e-04,-1.6675e+00,3.1469e-03,1.4162e-03
4.0500e-01,8.7686e-04,-1.6674e+00,3.1467e-03,1.4160e-03
4.0875e-01,9.0141e-04,-1.6673e+00,3.1465e-03,1.4158e-03
4.1250e-01,9.2641e-04,-1.6672e+00,3.1462e-03,1.4156e-03
4.1625e-01,9.5187e-04,-1.6671e+00,3.1460e-03,1.4154e-03
4.2000e-01,9.7779e-04,-1.6670e+00,3.1458e-03,1.4152e-03
4.2375e-01,1.0042e-03,-1.6669e+00,3.1456e-03,1.4149e-03
4.2750e-01,1.0310e-03,-1.6668e+00,3.1454e-03,1.4147e-03
4.3125e-01,1.0583e-03,-1.6667e+00,3.1452e-03,1.4145e-03
4.3500e-01,1.0862e-03,-1.6666e+00,3.1449e-03,1.4142e-03
4.3875e-01,1.1144e-03,-1.6665e+00,3.1447e-03,1.4140e-03
4.4250e-01,1.1432e-03,-1.6664e+00,3.1445e-03,1.4138e-03
4.4625e-01,1.1725e-03,-1.6663e+00,3.1443e-03,1.4135e-03
4.5000e-01,1.2022e-03,-1.6662e+00,3.1440e-03,1.4133e-03
4.5375e-01,1.2325e-03,-1.6661e+00,3.1438e-03,1.4131e-03
4.5750e-01,1.2632e-03,-1.6660e+00,3.1435e-03,1.4128e-03
4.6125e-01,1.2945e-03,-1.6659e+00,3.1433e-03,1.4126e-03
4.6500e-01,1.3263e-03,-1.6658e+00,3.1431e-03,1.4123e-03
4.6875e-01,1.3585e-03,-1.6657e+00,3.1428e-03,1.4121e-03
4.7250e-01,1.3913e-03,-1.6656e+00,3.1426e-03,1.4118e-03
4.7625e-01,1.4247e-03,-1.6655e+00,3.1423e-03,1.4116e-03
4.8000e-01,1.4585e-03,-1.6653e+00,3.1421e-03,1.4113e-03
4.8375e-01,1.4929e-03,-1.6652e+00,3.1418e-03,1.4111e-03
4.8750e-01,1.5278e-03,-1.6651e+00,3.1416e-03,1.4108e-03
4.9125e-01,1.5633e-03,-1.6650e+00,3.1413e-03,1.4105e-03
4.9500e-01,1.5993e-03,-1.6649e+00,3.1411e-03,1.4103e-03
4.9875e-01,1.6358e-03,-1.6648e+00,3.1408e-03,1.4100e-03
5.0250e-01,1.6729e-03,-1.6647e+00,3.1406e-03,1.4098e-03
5.0625e-01,1.7105e-03,-1.6645e+00,3.1403e-03,1.4095e-03
5.1000e-01,1.7487e-03,-1.6644e+00,3.1401e-03,1.4092e-03
5.1375e-01,1.7875e-03,-1.6643e+00,3.1398e-03,1.4089e-03
5.1750e-01,1.8269e-03,-1.6642e+00,3.1395e-03,1.4087e-03
5.2125e-01,1.8668e-03,-1.6641e+00,3.1393e-03,1.4084e-03
5.2500e-01,1.9072e-03,-1.6639e+00,3.1390e-03,1.4081e-03
5.2875e-01,1.9483e-03,-1.6638e+00,3.1387e-03,1.4078e-03
5.3250e-01,1.9899e-03,-1.6637e+00,3.1384e-03,1.4076e-03
5.3625e-01,2.0322e-03,-1.6636e+00,3.1382e-03,1.4073e-03
5.4000e-01,2.0750e-03,-1.6634e+00,3.1379e-03,1.4070e-03
5.4375e-01,2.1184e-03,-1.6633e+00,3.1376e-03,1.4067e-03
5.4750e-01,2.1624e-03,-1.6632e+00,3.1373e-03,1.4064e-03
5.5125e-01,2.2071e-03,-1.6631e+00,3.1370e-03,1.4061e-03
5.5500e-01,2.2523e-03,-1.6629e+00,3.1368e-03,1.4058e-03
5.5875e-01,2.2981e-03,-1.6628e+00,3.1365e-03,1.4055e-03
5.6250e-01,2.3446e-03,-1.6627e+00,3.1362e-03,1.4052e-03
5.6625e-01,2.3916e-03,-1.6625e+00,3.1359e-03,1.4049e-03
5.7000e-01,2.4393e-03,-1.6624e+00,3.1356e-03,1.4046e-03
5.7375e-01,2.4877e-03,-1.6623e+00,3.1353e-03,1.4043e-03
5.7750e-01,2.5366e-03,-1.6621e+00,3.1350e-03,1.4040e-03
5.8125e-01,2.5862e-03,-1.6620e+00,3.1347e-03,1.4037e-03
5.8500e-01,2.6364e-03,-1.6619e+00,3.1344e-03,1.4034e-03
5.8875e-01,2.6873e-03,-1.6617e+00,3.1341e-03,1.4031e-03
5.9250e-01,2.7388e-03,-1.6616e+00,3.1338e-03,1.4028e-03
5.9625e-01,2.7910e-03,-1.6614e+00,3.1335e-03,1.4025e-03
6.0000e-01,2.8438e-03,-1.6613e+00,3.1332e-03,1.4022e-03
6.0375e-01,2.8973e-03,-1.6612e+00,3.1329e-03,1.4018e-03
6.0750e-01,2.9514e-03,-1.6610e+00,3.1326e-03,1.4015e-03
6.1125e-01,3.0063e-03,-1.6609e+00,3.1323e-03,1.4012e-03
6.1500e-01,3.0617e-03,-1.6607e+00,3.1319e-03,1.4009e-03
6.1875e-01,3.1179e-03,-1.6606e+00,3.1316e-03,1.4006e-03
6.2250e-01,3.1747e-03,-1.6605e+00,3.1313e-03,1.4002e-03
6.2625e-01,3.2323e-03,-1.6603e+00,3.1310e-03,1.3999e-03
6.3000e-01,3.2905e-03,-1.6602e+00,3.1307e-03,1.3996e-03
6.3375e-01,3.3494e-03,-1.6600e+00,3.1303e-03,1.3992e-03
6.3750e-01,3.4090e-03,-1.6599e+00,3.1300e-03,1.3989e-03
6.4125e-01,3.4693e-03,-1.6597e+00,3.1297e-03,1.3986e-03
6.4500e-01,3.5303e-03,-1.6596e+00,3.1294e-03,1.3982e-03
6.4875e-01,3.5920e-03,-1.6594e+00,3.1290e-03,1.3979e-03
6.5250e-01,3.6544e-03,-1.6593e+00,3.1287e-03,1.3975e-03
6.5625e-01,3.7175e-03,-1.6591e+00,3.1284e-03,1.3972e-03
6.6000e-01,3.7814e-03,-1.6590e+00,3.1280e-03,1.3968e-03
6.6375e-01,3.8459e-03,-1.6588e+00,3.1277e-03,1.3965e-03
6.6750e-01,3.9112e-03,-1.6587e+00,3.1273e-03,1.3961e-03
6.7125e-01,3.9773e-03,-1.6585e+00,3.1270e-03,1.3958e-03
6.7500e-01,4.0440e-03,-1.6583e+00,3.1267e-03,1.3954e-03
6.7875e-01,4.1115e-03,-1.6582e+00,3.1263e-03,1.3951e-03
6.8250e-01,4.1798e-03,-1.6580e+00,3.1260e-03,1.3947e-03
6.8625e-01,4.2488e-03,-1.6579e+00,3.1256e-03,1.3944e-03
6.9000e-01,4.3185e-03,-1.6577e+00,3.1253e-03,1.3940e-03
6.9375e-01,4.3890e-03,-1.6575e+00,3.1249e-03,1.3936e-03
6.9750e-01,4.4602e-03,-1.6574e+00,3.1246e-03,1.3933e-03
7.0125e-01,4.5323e-03,-1.6572e+00,3.1242e-03,1.3929e-03
7.0500e-01,4.6050e-03,-1.6571e+00,3.1238e-03,1.3925e-03
7.0875e-01,4.6786e-03,-1.6569e+00,3.1235e-03,1.3922e-03
7.1250e-01,4.7529e-03,-1.6567e+00,3.1231e-03,1.3918e-03
7.1625e-01,4.8280e-03,-1.6566e+00,3.1228e-03,1.3914e-03
7.2000e-01,4.9039e-03,-1.6564e+00,3.1224e-03,1.3910e-03
7.2375e-01,4.9806e-03,-1.6562e+00,3.1220e-03,1.3907e-03
7.2750e-01,5.0580e-03,-1.6561e+00,3.1216e-03,1.3903e-03
7.3125e-01,5.1363e-03,-1.6559e+00,3.1213e-03,1.3899e-03
7.3500e-01,5.2153e-03,-1.6557e+00,3.1209e-03,1.3895e-03
7.3875e-01,5.2952e-03,-1.6555e+00,3.1205e-03,1.3891e-03
7.4250e-01,5.3759e-03,-1.6554e+00,3.1201e-03,1.3887e-03
7.4625e-01,5.4573e-03,-1.6552e+00,3.1198e-03,1.3883e-03
7.5000e-01,5.5396e-03,-1.6550e+00,3.1194e-03,1.3879e-03
7.5375e-01,5.6227e-03,-1.6548e+00,3.1190e-03,1.3876e-03
7.5750e-01,5.7066e-03,-1.6547e+00,3.1186e-03,1.3872e-03
7.6125e-01,5.7913e-03,-1.6545e+00,3.1182e-03,1.3868e-03
7.6500e-01,5.8769e-03,-1.6543e+00,3.1178e-03,1.3864e-03
7.6875e-01,5.9633e-03,-1.6541e+00,3.1175e-03,1.3860e-03
7.7250e-01,6.0506e-03,-1.6540e+00,3.1171e-03,1.3856e-03
7.7625e-01,6.1386e-03,-1.6538e+00,3.1167e-03,1.3851e-03
7.8000e-01,6.2276e-03,-1.6536e+00,3.1163e-03,1.3847e-03
7.8375e-01,6.3173e-03,-1.6534e+00,3.1159e-03,1.3843e-03
7.8750e-01,6.4079e-03,-1.6532e+00,3.1155e-03,1.3839e-03
7.9125e-01,6.4994e-03,-1.6530e+00,3.1151e-03,1.3835e-03
7.9500e-01,6.5918e-03,-1.6529e+00,3.1147e-03,1.3831e-03
7.9875e-01,6.6849e-03,-1.6527e+00,3.1143e-03,1.3827e-03
8.0250e-01,6.7790e-03,-1.6525e+00,3.1139e-03,1.3823e-03
8.0625e-01,6.8739e-03,-1.6523e+00,3.1135e-03,1.3818e-03
8.1000e-01,6.9698e-03,-1.6521e+00,3.1130e-03,1.3814e-03
8.1375e-01,7.0664e-03,-1.6519e+00,3.1126e-03,1.3810e-03
8.1750e-01,7.1640e-03,-1.6517e+00,3.1122e-03,1.3806e-03
8.2125e-01,7.2625e-03,-1.6515e+00,3.1118e-03,1.3801e-03
8.2500e-01,7.3618e-03,-1.6514e+00,3.1114e-03,1.3797e-03
8.2875e-01,7.4621e-03,-1.6512e+00,3.1110e-03,1.3793e-03
8.3250e-01,7.5632e-03,-1.6510e+00,3.1105e-03,1.3788e-03
8.3625e-01,7.6652e-03,-1.6508e+00,3.1101e-03,1.3784e-03
8.4000e-01,7.7682e-03,-1.6506e+00,3.1097e-03,1.3780e-03
8.4375e-01,7.8720e-03,-1.6504e+00,3.1093e-03,1.3775e-03
8.4750e-01,7.9768e-03,-1.6502e+00,3.1088e-03,1.3771e-03
8.5125e-01,8.0825e-03,-1.6500e+00,3.1084e-03,1.3766e-03
8.5500e-01,8.1891e-03,-1.6498e+00,3.1080e-03,1.3762e-03
8.5875e-01,8.2966e-03,-1.6496e+00,3.1076e-03,1.3758e-03
8.6250e-01,8.4051e-03,-1.6494e+00,3.1071e-03,1.3753e-03
8.6625e-01,8.5145e-03,-1.6492e+00,3.1067e-03,1.3749e-03
8.7000e-01,8.6248e-03,-1.6490e+00,3.1062e-03,1.3744e-03
8.7375e-01,8.7361e-03,-1.6488e+00,3.1058e-03,1.3739e-03
8.7750e-01,8.8483e-03,-1.6486e+00,3.1054e-03,1.3735e-03
8.8125e-01,8.9614e-03,-1.6484e+00,3.1049e-03,1.3730e-03
8.8500e-01,9.0755e-03,-1.6482e+00,3.1045e-03,1.3726e-03
8.8875e-01,9.1906e-03,-1.6480e+00,3.1040e-03,1.3721e-03
8.9250e-01,9.3066e-03,-1.6478e+00,3.1036e-03,1.3717e-03
8.9625e-01,9.4236e-03,-1.6476e+00,3.1031e-03,1.3712e-03
9.0000e-01,9.5415e-03,-1.6473e+00,3.1027e-03,1.3707e-03
9.0375e-01,9.6605e-03,-1.6471e+00,3.1022e-03,1.3703e-03
9.0750e-01,9.7803e-03,-1.6469e+00,3.1018e-03,1.3698e-03
9.1125e-01,9.9012e-03,-1.6467e+00,3.1013e-03,1.3693e-03
9.1500e-01,1.0023e-02,-1.6465e+00,3.1008e-03,1.3688e-03
9.1875e-01,1.0146e-02,-1.6463e+00,3.1004e-03,1.3684e-03
9.2250e-01,1.0270e-02,-1.6461e+00,3.0999e-03,1.3679e-03
9.2625e-01,1.0395e-02,-1.6459e+00,3.0994e-03,1.3674e-03
9.3000e-01,1.0520e-02,-1.6456e+00,3.0990e-03,1.3669e-03
9.3375e-01,1.0647e-02,-1.6454e+00,3.0985e-03,1.3664e-03
9.3750e-01,1.0775e-02,-1.6452e+00,3.0980e-03,1.3660e-03
9.4125e-01,1.0904e-02,-1.6450e+00,3.0976e-03,1.3655e-03
9.4500e-01,1.1034e-02,-1.6448e+00,3.0971e-03,1.3650e-03
9.4875e-01,1.1164e-02,-1.6446e+00,3.0966e-03,1.3645e-03
9.5250e-01,1.1296e-02,-1.6443e+00,3.0961e-03,1.3640e-03
9.5625e-01,1.1429e-02,-1.6441e+00,3.0957e-03,1.3635e-03
9.6000e-01,1.1563e-02,-1.6439e+00,3.0952e-03,1.3630e-03
9.6375e-01,1.1698e-02,-1.6437e+00,3.0947e-03,1.3625e-03
9.6750e-01,1.1834e-02,-1.6434e+00,3.0942e-03,1.3620e-03
9.7125e-01,1.1971e-02,-1.6432e+00,3.0937e-03,1.3615e-03
9.7500e-01,1.2109e-02,-1.6430e+00,3.0932e-03,1.3610e-03
9.7875e-01,1.2248e-02,-1.6428e+00,3.0928e-03,1.3605e-03
9.8250e-01,1.2388e-02,-1.6425e+00,3.0923e-03,1.3600e-03
9.8625e-01,1.2529e-02,-1.6423e+00,3.0918e-03,1.3595e-03
9.9000e-01,1.2672e-02,-1.6421e+00,3.0913e-03,1.3590e-03
9.9375e-01,1.2815e-02,-1.6419e+00,3.0908e-03,1.3585e-03
9.9750e-01,1.2959e-02,-1.6416e+00,3.0903e-03,1.3580e-03
1.0013e+00,1.3105e-02,-1.6414e+00,3.0898e-03,1.3574e-03
1.0050e+00,1.3251e-02,-1.6412e+00,3.0893e-03,1.3569e-03
1.0088e+00,1.3399e-02,-1.6409e+00,3.0888e-03,1.3564e-03
