r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.1349e-01,1.3952e-03,2.0487e-04
3.7500e-03,3.0818e-10,-7.1349e-01,1.3952e-03,2.0487e-04
7.5000e-03,2.4655e-09,-7.1349e-01,1.3952e-03,2.0487e-04
1.1250e-02,8.3209e-09,-7.1349e-01,1.3952e-03,2.0487e-04
1.5000e-02,1.9724e-08,-7.1349e-01,1.3952e-03,2.0487e-04
1.8750e-02,3.8523e-08,-7.1349e-01,1.3952e-03,2.0487e-04
2.2500e-02,6.6567e-08,-7.1349e-01,1.3952e-03,2.0487e-04
2.6250e-02,1.0571e-07,-7.1349e-01,1.3951e-03,2.0487e-04
3.0000e-02,1.5779e-07,-7.1349e-01,1.3951e-03,2.0486e-04
3.3750e-02,2.2466e-07,-7.1349e-01,1.3951e-03,2.0486e-04
3.7500e-02,3.0818e-07,-7.1348e-01,1.3951e-03,2.0486e-04
4.1250e-02,4.1018e-07,-7.1348e-01,1.3951e-03,2.0486e-04
4.5000e-02,5.3253e-07,-7.1348e-01,1.3951e-03,2.0486e-04
4.8750e-02,6.7706e-07,-7.1347e-01,1.3951e-03,2.0485e-04
5.2500e-02,8.4563e-07,-7.1347e-01,1.3951e-03,2.0485e-04
5.6250e-02,1.0401e-06,-7.1347e-01,1.3951e-03,2.0485e-04
6.0000e-02,1.2623e-06,-7.1346e-01,1.3951e-03,2.0485e-04
6.3750e-02,1.5141e-06,-7.1346e-01,1.3951e-03,2.0484e-04
6.7500e-02,1.7973e-06,-7.1346e-01,1.3951e-03,2.0484e-04
7.1250e-02,2.1137e-06,-7.1345e-01,1.3951e-03,2.0484e-04
7.5000e-02,2.4654e-06,-7.1345e-01,1.3951e-03,2.0483e-04
7.8750e-02,2.8539e-06,-7.1344e-01,1.3951e-03,2.0483e-04
8.2500e-02,3.2814e-06,-7.1344e-01,1.3950e-03,2.0482e-04
8.6250e-02,3.7494e-06,-7.1343e-01,1.3950e-03,2.0482e-04
9.0000e-02,4.2601e-06,-7.1343e-01,1.3950e-03,2.0482e-04
9.3750e-02,4.8150e-06,-7.1342e-01,1.3950e-03,2.0481e-04
9.7500e-02,5.4162e-06,-7.1341e-01,1.3950e-03,2.0481e-04
1.0125e-01,6.0655e-06,-7.1341e-01,1.3950e-03,2.0480e-04
1.0500e-01,6.7647e-06,-7.1340e-01,1.3950e-03,2.0480e-04
1.0875e-01,7.5156e-06,-7.1340e-01,1.3950e-03,2.0479e-04
1.1250e-01,8.3201e-06,-7.1339e-01,1.3949e-03,2.0478e-04
1.1625e-01,9.1801e-06,-7.1338e-01,1.3949e-03,2.0478e-04
1.2000e-01,1.0097e-05,-7.1337e-01,1.3949e-03,2.0477e-04
1.2375e-01,1.1074e-05,-7.1337e-01,1.3949e-03,2.0477e-04
1.2750e-01,1.2111e-05,-7.1336e-01,1.3949e-03,2.0476e-04
1.3125e-01,1.3212e-05,-7.1335e-01,1.3949e-03,2.0475e-04
1.3500e-01,1.4377e-05,-7.1334e-01,1.3949e-03,2.0475e-04
1.3875e-01,1.5608e-05,-7.1333e-01,1.3948e-03,2.0474e-04
1.4250e-01,1.6908e-05,-7.1332e-01,1.3948e-03,2.0473e-04
1.4625e-01,1.8278e-05,-7.1331e-01,1.3948e-03,2.0473e-04
1.5000e-01,1.9720e-05,-7.1331e-01,1.3948e-03,2.0472e-04
1.5375e-01,2.1237e-05,-7.1330e-01,1.3948e-03,2.0471e-04
1.5750e-01,2.2828e-05,-7.1329e-01,1.3947e-03,2.0470e-04
1.6125e-01,2.4498e-05,-7.1328e-01,1.3947e-03,2.0469e-04
1.6500e-01,2.6247e-05,-7.1327e-01,1.3947e-03,2.0469e-04
1.6875e-01,2.8077e-05,-7.1326e-01,1.3947e-03,2.0468e-04
1.7250e-01,2.9991e-05,-7.1324e-01,1.3947e-03,2.0467e-04
1.7625e-01,3.1989e-05,-7.1323e-01,1.3946e-03,2.0466e-04
1.8000e-01,3.4074e-05,-7.1322e-01,1.3946e-03,2.0465e-04
1.8375e-01,3.6248e-05,-7.1321e-01,1.3946e-03,2.0464e-04
1.8750e-01,3.8513e-05,-7.1320e-01,1.3946e-03,2.0463e-04
1.9125e-01,4.0870e-05,-7.1319e-01,1.3945e-03,2.0462e-04
1.9500e-01,4.3321e-05,-7.1317e-01,1.3945e-03,2.0461e-04
1.9875e-01,4.5868e-05,-7.1316e-01,1.3945e-03,2.0460e-04
2.0250e-01,4.8513e-05,-7.1315e-01,1.3945e-03,2.0459e-04
2.0625e-01,5.1258e-05,-7.1314e-01,1.3944e-03,2.0458e-04
2.1000e-01,5.4104e-05,-7.1312e-01,1.3944e-03,2.0457e-04
2.1375e-01,5.7054e-05,-7.1311e-01,1.3944e-03,2.0456e-04
2.1750e-01,6.0109e-05,-7.1310e-01,1.3944e-03,2.0455e-04
2.2125e-01,6.3272e-05,-7.1308e-01,1.3943e-03,2.0454e-04
2.2500e-01,6.6543e-05,-7.1307e-01,1.3943e-03,2.0453e-04
2.2875e-01,6.9925e-05,-7.1305e-01,1.3943e-03,2.0452e-04
2.3250e-01,7.3420e-05,-7.1304e-01,1.3943e-03,2.0451e-04
2.3625e-01,7.7029e-05,-7.1303e-01,1.3942e-03,2.0449e-04
2.4000e-01,8.0754e-05,-7.1301e-01,1.3942e-03,2.0448e-04
2.4375e-01,8.4598e-05,-7.1299e-01,1.3942e-03,2.0447e-04
2.4750e-01,8.8562e-05,-7.1298e-01,1.3941e-03,2.0446e-04
2.5125e-01,9.2647e-05,-7.1296e-01,1.3941e-03,2.0445e-04
2.5500e-01,9.6857e-05,-7.1295e-01,1.3941e-03,2.0443e-04
2.5875e-01,1.0119e-04,-7.1293e-01,1.3940e-03,2.0442e-04
2.6250e-01,1.0565e-04,-7.1291e-01,1.3940e-03,2.0441e-04
2.6625e-01,1.1025e-04,-7.1290e-01,1.3940e-03,2.0439e-04
2.7000e-01,1.1497e-04,-7.1288e-01,1.3939e-03,2.0438e-04
2.7375e-01,1.1982e-04,-7.1286e-01,1.3939e-03,2.0437e-04
2.7750e-01,1.2481e-04,-7.1285e-01,1.3939e-03,2.0435e-04
2.8125e-01,1.2994e-04,-7.1283e-01,1.3938e-03,2.0434e-04
2.8500e-01,1.3520e-04,-7.1281e-01,1.3938e-03,2.0432e-04
2.8875e-01,1.4061e-04,-7.1279e-01,1.3938e-03,2.0431e-04
2.9250e-01,1.4616e-04,-7.1277e-01,1.3937e-03,2.0429e-04
2.9625e-01,1.5185e-04,-7.1276e-01,1.3937e-03,2.0428e-04
3.0000e-01,1.5769e-04,-7.1274e-01,1.3936e-03,2.0426e-04
3.0375e-01,1.6367e-04,-7.1272e-01,1.3936e-03,2.0425e-04
3.0750e-01,1.6981e-04,-7.1270e-01,1.3936e-03,2.0423e-04
3.1125e-01,1.7609e-04,-7.1268e-01,1.3935e-03,2.0422e-04
3.1500e-01,1.8253e-04,-7.1266e-01,1.3935e-03,2.0420e-04
3.1875e-01,1.8912e-04,-7.1264e-01,1.3935e-03,2.0419e-04
3.2250e-01,1.9587e-04,-7.1262e-01,1.3934e-03,2.0417e-04
3.2625e-01,2.0278e-04,-7.1260e-01,1.3934e-03,2.0415e-04
3.3000e-01,2.0985e-04,-7.1258e-01,1.3933e-03,2.0414e-04
3.3375e-01,2.1708e-04,-7.1256e-01,1.3933e-03,2.0412e-04
3.3750e-01,2.2448e-04,-7.1254e-01,1.3932e-03,2.0410e-04
3.4125e-01,2.3204e-04,-7.1251e-01,1.3932e-03,2.0409e-04
3.4500e-01,2.3977e-04,-7.1249e-01,1.3932e-03,2.0407e-04
3.4875e-01,2.4767e-04,-7.1247e-01,1.3931e-03,2.0405e-04
3.5250e-01,2.5574e-04,-7.1245e-01,1.3931e-03,2.0403e-04
3.5625e-01,2.6398e-04,-7.1243e-01,1.3930e-03,2.0402e-04
3.6000e-01,2.7240e-04,-7.1240e-01,1.3930e-03,2.0400e-04
3.6375e-01,2.8100e-04,-7.1238e-01,1.3929e-03,2.0398e-04
3.6750e-01,2.8978e-04,-7.1236e-01,1.3929e-03,2.0396e-04
3.7125e-01,2.9873e-04,-7.1233e-01,1.3928e-03,2.0394e-04
3.7500e-01,3.0787e-04,-7.1231e-01,1.3928e-03,2.0392e-04
3.7875e-01,3.1719e-04,-7.1229e-01,1.3928e-03,2.0391e-04
3.8250e-01,3.2670e-04,-7.1226e-01,1.3927e-03,2.0389e-04
3.8625e-01,3.3640e-04,-7.1224e-01,1.3927e-03,2.0387e-04
3.9000e-01,3.4628e-04,-7.1221e-01,1.3926e-03,2.0385e-04
3.9375e-01,3.5636e-04,-7.1219e-01,1.3926e-03,2.0383e-04
3.9750e-01,3.6663e-04,-7.1217e-01,1.3925e-03,2.0381e-04
4.0125e-01,3.7710e-04,-7.1214e-01,1.3925e-03,2.0379e-04
4.0500e-01,3.8776e-04,-7.1211e-01,1.3924e-03,2.0377e-04
4.0875e-01,3.9862e-04,-7.1209e-01,1.3924e-03,2.0375e-04
4.1250e-01,4.0969e-04,-7.1206e-01,1.3923e-03,2.0373e-04
4.1625e-01,4.2095e-04,-7.1204e-01,1.3922e-03,2.0370e-04
4.2000e-01,4.3242e-04,-7.1201e-01,1.3922e-03,2.0368e-04
4.2375e-01,4.4410e-04,-7.1198e-01,1.3921e-03,2.0366e-04
4.2750e-01,4.5598e-04,-7.1196e-01,1.3921e-03,2.0364e-04
4.3125e-01,4.6808e-04,-7.1193e-01,1.3920e-03,2.0362e-04
4.3500e-01,4.8038e-04,-7.1190e-01,1.3920e-03,2.0360e-04
4.3875e-01,4.9290e-04,-7.1187e-01,1.3919e-03,2.0358e-04
4.4250e-01,5.0564e-04,-7.1185e-01,1.3919e-03,2.0355e-04
