r,m,nu,rho,P
0.0000e+00,0.0000e+00,-8.5305e-01,1.9522e-03,3.7179e-04
3.7500e-03,4.3124e-10,-8.5305e-01,1.9522e-03,3.7179e-04
7.5000e-03,3.4498e-09,-8.5305e-01,1.9522e-03,3.7179e-04
1.1250e-02,1.1643e-08,-8.5305e-01,1.9522e-03,3.7179e-04
1.5000e-02,2.7599e-08,-8.5304e-01,1.9522e-03,3.7179e-04
1.8750e-02,5.3903e-08,-8.5304e-01,1.9522e-03,3.7179e-04
2.2500e-02,9.3145e-08,-8.5304e-01,1.9522e-03,3.7179e-04
2.6250e-02,1.4791e-07,-8.5304e-01,1.9522e-03,3.7178e-04
3.0000e-02,2.2079e-07,-8.5304e-01,1.9522e-03,3.7178e-04
3.3750e-02,3.1436e-07,-8.5303e-01,1.9522e-03,3.7178e-04
3.7500e-02,4.3122e-07,-8.5303e-01,1.9522e-03,3.7177e-04
4.1250e-02,5.7396e-07,-8.5303e-01,1.9522e-03,3.7177e-04
4.5000e-02,7.4515e-07,-8.5302e-01,1.9522e-03,3.7176e-04
4.8750e-02,9.4739e-07,-8.5302e-01,1.9521e-03,3.7176e-04
5.2500e-02,1.1833e-06,-8.5301e-01,1.9521e-03,3.7175e-04
5.6250e-02,1.4554e-06,-8.5301e-01,1.9521e-03,3.7175e-04
6.0000e-02,1.7663e-06,-8.5300e-01,1.9521e-03,3.7174e-04
6.3750e-02,2.1186e-06,-8.5299e-01,1.9521e-03,3.7173e-04
6.7500e-02,2.5148e-06,-8.5299e-01,1.9521e-03,3.7172e-04
7.1250e-02,2.9577e-06,-8.5298e-01,1.9521e-03,3.7172e-04
7.5000e-02,3.4497e-06,-8.5297e-01,1.9521e-03,3.7171e-04
7.8750e-02,3.9934e-06,-8.5297e-01,1.9521e-03,3.7170e-04
8.2500e-02,4.5915e-06,-8.5296e-01,1.9520e-03,3.7169e-04
8.6250e-02,5.2465e-06,-8.5295e-01,1.9520e-03,3.7168e-04
9.0000e-02,5.9609e-06,-8.5294e-01,1.9520e-03,3.7167e-04
9.3750e-02,6.7375e-06,-8.5293e-01,1.9520e-03,3.7166e-04
9.7500e-02,7.5787e-06,-8.5292e-01,1.9520e-03,3.7165e-04
1.0125e-01,8.4872e-06,-8.5292e-01,1.9520e-03,3.7164e-04
1.0500e-01,9.4656e-06,-8.5291e-01,1.9519e-03,3.7163e-04
1.0875e-01,1.0516e-05,-8.5290e-01,1.9519e-03,3.7162e-04
1.1250e-01,1.1642e-05,-8.5288e-01,1.9519e-03,3.7160e-04
1.1625e-01,1.2845e-05,-8.5287e-01,1.9519e-03,3.7159e-04
1.2000e-01,1.4129e-05,-8.5286e-01,1.9519e-03,3.7158e-04
1.2375e-01,1.5495e-05,-8.5285e-01,1.9518e-03,3.7156e-04
1.2750e-01,1.6947e-05,-8.5284e-01,1.9518e-03,3.7155e-04
1.3125e-01,1.8487e-05,-8.5283e-01,1.9518e-03,3.7154e-04
1.3500e-01,2.0117e-05,-8.5281e-01,1.9518e-03,3.7152e-04
1.3875e-01,2.1840e-05,-8.5280e-01,1.9518e-03,3.7151e-04
1.4250e-01,2.3659e-05,-8.5279e-01,1.9517e-03,3.7149e-04
1.4625e-01,2.5576e-05,-8.5277e-01,1.9517e-03,3.7147e-04
1.5000e-01,2.7594e-05,-8.5276e-01,1.9517e-03,3.7146e-04
1.5375e-01,2.9716e-05,-8.5274e-01,1.9517e-03,3.7144e-04
1.5750e-01,3.1943e-05,-8.5273e-01,1.9516e-03,3.7142e-04
1.6125e-01,3.4279e-05,-8.5271e-01,1.9516e-03,3.7140e-04
1.6500e-01,3.6727e-05,-8.5270e-01,1.9516e-03,3.7139e-04
1.6875e-01,3.9288e-05,-8.5268e-01,1.9515e-03,3.7137e-04
1.7250e-01,4.1965e-05,-8.5266e-01,1.9515e-03,3.7135e-04
1.7625e-01,4.4762e-05,-8.5265e-01,1.9515e-03,3.7133e-04
1.8000e-01,4.7679e-05,-8.5263e-01,1.9515e-03,3.7131e-04
1.8375e-01,5.0721e-05,-8.5261e-01,1.9514e-03,3.7129e-04
1.8750e-01,5.3890e-05,-8.5260e-01,1.9514e-03,3.7127e-04
1.9125e-01,5.7188e-05,-8.5258e-01,1.9514e-03,3.7125e-04
1.9500e-01,6.0618e-05,-8.5256e-01,1.9513e-03,3.7123e-04
1.9875e-01,6.4182e-05,-8.5254e-01,1.9513e-03,3.7120e-04
2.0250e-01,6.7883e-05,-8.5252e-01,1.9513e-03,3.7118e-04
2.0625e-01,7.1724e-05,-8.5250e-01,1.9512e-03,3.7116e-04
2.1000e-01,7.5707e-05,-8.5248e-01,1.9512e-03,3.7113e-04
2.1375e-01,7.9835e-05,-8.5246e-01,1.9511e-03,3.7111e-04
