r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.8616e-01,1.6842e-03,2.8285e-04
3.7500e-03,3.7204e-10,-7.8616e-01,1.6842e-03,2.8285e-04
7.5000e-03,2.9763e-09,-7.8616e-01,1.6842e-03,2.8285e-04
1.1250e-02,1.0045e-08,-7.8616e-01,1.6842e-03,2.8285e-04
1.5000e-02,2.3810e-08,-7.8616e-01,1.6842e-03,2.8285e-04
1.8750e-02,4.6505e-08,-7.8615e-01,1.6842e-03,2.8285e-04
2.2500e-02,8.0360e-08,-7.8615e-01,1.6842e-03,2.8285e-04
2.6250e-02,1.2761e-07,-7.8615e-01,1.6842e-03,2.8285e-04
3.0000e-02,1.9048e-07,-7.8615e-01,1.6842e-03,2.8284e-04
3.3750e-02,2.7121e-07,-7.8615e-01,1.6842e-03,2.8284e-04
3.7500e-02,3.7204e-07,-7.8614e-01,1.6842e-03,2.8284e-04
4.1250e-02,4.9518e-07,-7.8614e-01,1.6842e-03,2.8283e-04
4.5000e-02,6.4287e-07,-7.8614e-01,1.6842e-03,2.8283e-04
4.8750e-02,8.1736e-07,-7.8613e-01,1.6842e-03,2.8283e-04
5.2500e-02,1.0209e-06,-7.8613e-01,1.6842e-03,2.8282e-04
5.6250e-02,1.2556e-06,-7.8612e-01,1.6842e-03,2.8282e-04
6.0000e-02,1.5238e-06,-7.8612e-01,1.6842e-03,2.8282e-04
6.3750e-02,1.8278e-06,-7.8612e-01,1.6842e-03,2.8281e-04
6.7500e-02,2.1697e-06,-7.8611e-01,1.6842e-03,2.8281e-04
7.1250e-02,2.5517e-06,-7.8610e-01,1.6841e-03,2.8280e-04
7.5000e-02,2.9762e-06,-7.8610e-01,1.6841e-03,2.8279e-04
7.8750e-02,3.4453e-06,-7.8609e-01,1.6841e-03,2.8279e-04
8.2500e-02,3.9613e-06,-7.8609e-01,1.6841e-03,2.8278e-04
8.6250e-02,4.5263e-06,-7.8608e-01,1.6841e-03,2.8277e-04
9.0000e-02,5.1428e-06,-7.8607e-01,1.6841e-03,2.8277e-04
9.3750e-02,5.8127e-06,-7.8606e-01,1.6841e-03,2.8276e-04
9.7500e-02,6.5385e-06,-7.8606e-01,1.6840e-03,2.8275e-04
1.0125e-01,7.3223e-06,-7.8605e-01,1.6840e-03,2.8275e-04
1.0500e-01,8.1663e-06,-7.8604e-01,1.6840e-03,2.8274e-04
1.0875e-01,9.0729e-06,-7.8603e-01,1.6840e-03,2.8273e-04
1.1250e-01,1.0044e-05,-7.8602e-01,1.6840e-03,2.8272e-04
1.1625e-01,1.1082e-05,-7.8601e-01,1.6840e-03,2.8271e-04
1.2000e-01,1.2190e-05,-7.8601e-01,1.6839e-03,2.8270e-04
1.2375e-01,1.3368e-05,-7.8600e-01,1.6839e-03,2.8269e-04
1.2750e-01,1.4621e-05,-7.8599e-01,1.6839e-03,2.8268e-04
