r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.1662e-01,1.0721e-03,1.2102e-04
3.7500e-03,2.3682e-10,-6.1662e-01,1.0721e-03,1.2102e-04
7.5000e-03,1.8946e-09,-6.1662e-01,1.0721e-03,1.2102e-04
1.1250e-02,6.3944e-09,-6.1662e-01,1.0721e-03,1.2102e-04
1.5000e-02,1.5157e-08,-6.1662e-01,1.0721e-03,1.2102e-04
1.8750e-02,2.9604e-08,-6.1662e-01,1.0721e-03,1.2102e-04
2.2500e-02,5.1155e-08,-6.1662e-01,1.0721e-03,1.2102e-04
2.6250e-02,8.1232e-08,-6.1662e-01,1.0721e-03,1.2102e-04
3.0000e-02,1.2126e-07,-6.1662e-01,1.0721e-03,1.2102e-04
3.3750e-02,1.7265e-07,-6.1662e-01,1.0721e-03,1.2102e-04
3.7500e-02,2.3683e-07,-6.1661e-01,1.0721e-03,1.2101e-04
4.1250e-02,3.1522e-07,-6.1661e-01,1.0721e-03,1.2101e-04
4.5000e-02,4.0924e-07,-6.1661e-01,1.0721e-03,1.2101e-04
4.8750e-02,5.2031e-07,-6.1661e-01,1.0721e-03,1.2101e-04
5.2500e-02,6.4985e-07,-6.1661e-01,1.0721e-03,1.2101e-04
5.6250e-02,7.9928e-07,-6.1660e-01,1.0721e-03,1.2101e-04
6.0000e-02,9.7003e-07,-6.1660e-01,1.0721e-03,1.2101e-04
6.3750e-02,1.1635e-06,-6.1660e-01,1.0721e-03,1.2101e-04
6.7500e-02,1.3811e-06,-6.1660e-01,1.0721e-03,1.2100e-04
7.1250e-02,1.6243e-06,-6.1659e-01,1.0721e-03,1.2100e-04
7.5000e-02,1.8945e-06,-6.1659e-01,1.0721e-03,1.2100e-04
7.8750e-02,2.1932e-06,-6.1659e-01,1.0720e-03,1.2100e-04
8.2500e-02,2.5216e-06,-6.1658e-01,1.0720e-03,1.2100e-04
8.6250e-02,2.8813e-06,-6.1658e-01,1.0720e-03,1.2099e-04
9.0000e-02,3.2737e-06,-6.1657e-01,1.0720e-03,1.2099e-04
9.3750e-02,3.7002e-06,-6.1657e-01,1.0720e-03,1.2099e-04
9.7500e-02,4.1622e-06,-6.1657e-01,1.0720e-03,1.2099e-04
1.0125e-01,4.6611e-06,-6.1656e-01,1.0720e-03,1.2098e-04
1.0500e-01,5.1984e-06,-6.1656e-01,1.0720e-03,1.2098e-04
1.0875e-01,5.7754e-06,-6.1655e-01,1.0720e-03,1.2098e-04
