r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.0828e-01,1.0189e-03,1.1685e-04
3.7500e-03,2.2501e-10,-6.0828e-01,1.0189e-03,1.1685e-04
7.5000e-03,1.8006e-09,-6.0828e-01,1.0189e-03,1.1685e-04
1.1250e-02,6.0770e-09,-6.0828e-01,1.0189e-03,1.1685e-04
1.5000e-02,1.4405e-08,-6.0828e-01,1.0189e-03,1.1685e-04
1.8750e-02,2.8135e-08,-6.0828e-01,1.0189e-03,1.1685e-04
2.2500e-02,4.8617e-08,-6.0828e-01,1.0189e-03,1.1685e-04
2.6250e-02,7.7201e-08,-6.0828e-01,1.0189e-03,1.1685e-04
3.0000e-02,1.1524e-07,-6.0828e-01,1.0189e-03,1.1685e-04
3.3750e-02,1.6408e-07,-6.0828e-01,1.0189e-03,1.1685e-04
3.7500e-02,2.2508e-07,-6.0828e-01,1.0189e-03,1.1685e-04
4.1250e-02,2.9958e-07,-6.0827e-01,1.0189e-03,1.1685e-04
4.5000e-02,3.8893e-07,-6.0827e-01,1.0189e-03,1.1685e-04
4.8750e-02,4.9449e-07,-6.0827e-01,1.0189e-03,1.1685e-04
5.2500e-02,6.1760e-07,-6.0827e-01,1.0189e-03,1.1685e-04
5.6250e-02,7.5962e-07,-6.0826e-01,1.0189e-03,1.1684e-04
6.0000e-02,9.2189e-07,-6.0826e-01,1.0189e-03,1.1684e-04
6.3750e-02,1.1058e-06,-6.0826e-01,1.0189e-03,1.1684e-04
6.7500e-02,1.3126e-06,-6.0826e-01,1.0189e-03,1.1684e-04
7.1250e-02,1.5437e-06,-6.0825e-01,1.0189e-03,1.1684e-04
7.5000e-02,1.8005e-06,-6.0825e-01,1.0189e-03,1.1684e-04
7.8750e-02,2.0843e-06,-6.0825e-01,1.0189e-03,1.1683e-04
8.2500e-02,2.3965e-06,-6.0824e-01,1.0188e-03,1.1683e-04
8.6250e-02,2.7384e-06,-6.0824e-01,1.0188e-03,1.1683e-04
9.0000e-02,3.1113e-06,-6.0824e-01,1.0188e-03,1.1683e-04
9.3750e-02,3.5166e-06,-6.0823e-01,1.0188e-03,1.1683e-04
9.7500e-02,3.9557e-06,-6.0823e-01,1.0188e-03,1.1682e-04
1.0125e-01,4.4298e-06,-6.0822e-01,1.0188e-03,1.1682e-04
1.0500e-01,4.9405e-06,-6.0822e-01,1.0188e-03,1.1682e-04
1.0875e-01,5.4889e-06,-6.0822e-01,1.0188e-03,1.1682e-04
1.1250e-01,6.0765e-06,-6.0821e-01,1.0188e-03,1.1681e-04
1.1625e-01,6.7045e-06,-6.0821e-01,1.0187e-03,1.1681e-04
1.2000e-01,7.3745e-06,-6.0820e-01,1.0187e-03,1.1681e-04
1.2375e-01,8.0876e-06,-6.0820e-01,1.0187e-03,1.1680e-04
1.2750e-01,8.8452e-06,-6.0819e-01,1.0187e-03,1.1680e-04
1.3125e-01,9.6488e-06,-6.0818e-01,1.0187e-03,1.1680e-04
1.3500e-01,1.0500e-05,-6.0818e-01,1.0187e-03,1.1679e-04
1.3875e-01,1.1399e-05,-6.0817e-01,1.0187e-03,1.1679e-04
1.4250e-01,1.2348e-05,-6.0817e-01,1.0186e-03,1.1679e-04
1.4625e-01,1.3349e-05,-6.0816e-01,1.0186e-03,1.1678e-04
