r,m,nu,rho,P
0.0000e+00,0.0000e+00,-5.7804e-01,8.6851e-04,1.0204e-04
3.7500e-03,1.9185e-10,-5.7804e-01,8.6851e-04,1.0204e-04
7.5000e-03,1.5348e-09,-5.7804e-01,8.6851e-04,1.0204e-04
1.1250e-02,5.1799e-09,-5.7804e-01,8.6851e-04,1.0204e-04
1.5000e-02,1.2278e-08,-5.7804e-01,8.6851e-04,1.0204e-04
1.8750e-02,2.3981e-08,-5.7804e-01,8.6851e-04,1.0204e-04
2.2500e-02,4.1439e-08,-5.7804e-01,8.6851e-04,1.0204e-04
2.6250e-02,6.5804e-08,-5.7804e-01,8.6851e-04,1.0204e-04
3.0000e-02,9.8226e-08,-5.7804e-01,8.6851e-04,1.0204e-04
3.3750e-02,1.3986e-07,-5.7803e-01,8.6851e-04,1.0204e-04
3.7500e-02,1.9185e-07,-5.7803e-01,8.6850e-04,1.0204e-04
4.1250e-02,2.5535e-07,-5.7803e-01,8.6850e-04,1.0204e-04
4.5000e-02,3.3151e-07,-5.7803e-01,8.6850e-04,1.0204e-04
4.8750e-02,4.2149e-07,-5.7803e-01,8.6850e-04,1.0204e-04
5.2500e-02,5.2643e-07,-5.7803e-01,8.6849e-04,1.0204e-04
5.6250e-02,6.4748e-07,-5.7802e-01,8.6849e-04,1.0203e-04
6.0000e-02,7.8580e-07,-5.7802e-01,8.6849e-04,1.0203e-04
6.3750e-02,9.4253e-07,-5.7802e-01,8.6849e-04,1.0203e-04
6.7500e-02,1.1188e-06,-5.7802e-01,8.6848e-04,1.0203e-04
7.1250e-02,1.3159e-06,-5.7802e-01,8.6848e-04,1.0203e-04
7.5000e-02,1.5347e-06,-5.7801e-01,8.6847e-04,1.0203e-04
7.8750e-02,1.7767e-06,-5.7801e-01,8.6847e-04,1.0203e-04
8.2500e-02,2.0427e-06,-5.7801e-01,8.6847e-04,1.0203e-04
8.6250e-02,2.3341e-06,-5.7800e-01,8.6846e-04,1.0202e-04
9.0000e-02,2.6520e-06,-5.7800e-01,8.6846e-04,1.0202e-04
9.3750e-02,2.9975e-06,-5.7800e-01,8.6845e-04,1.0202e-04
9.7500e-02,3.3718e-06,-5.7799e-01,8.6845e-04,1.0202e-04
1.0125e-01,3.7760e-06,-5.7799e-01,8.6844e-04,1.0202e-04
1.0500e-01,4.2112e-06,-5.7799e-01,8.6844e-04,1.0202e-04
1.0875e-01,4.6787e-06,-5.7798e-01,8.6843e-04,1.0201e-04
1.1250e-01,5.1796e-06,-5.7798e-01,8.6843e-04,1.0201e-04
1.1625e-01,5.7150e-06,-5.7797e-01,8.6842e-04,1.0201e-04
1.2000e-01,6.2861e-06,-5.7797e-01,8.6841e-04,1.0201e-04
1.2375e-01,6.8940e-06,-5.7796e-01,8.6841e-04,1.0201e-04
1.2750e-01,7.5398e-06,-5.7796e-01,8.6840e-04,1.0200e-04
1.3125e-01,8.2248e-06,-5.7796e-01,8.6840e-04,1.0200e-04
1.3500e-01,8.9501e-06,-5.7795e-01,8.6839e-04,1.0200e-04
1.3875e-01,9.7168e-06,-5.7795e-01,8.6838e-04,1.0200e-04
1.4250e-01,1.0526e-05,-5.7794e-01,8.6837e-04,1.0199e-04
1.4625e-01,1.1379e-05,-5.7793e-01,8.6837e-04,1.0199e-04
1.5000e-01,1.2277e-05,-5.7793e-01,8.6836e-04,1.0199e-04
1.5375e-01,1.3221e-05,-5.7792e-01,8.6835e-04,1.0199e-04
1.5750e-01,1.4212e-05,-5.7792e-01,8.6834e-04,1.0198e-04
1.6125e-01,1.5251e-05,-5.7791e-01,8.6834e-04,1.0198e-04
1.6500e-01,1.6340e-05,-5.7791e-01,8.6833e-04,1.0198e-04
1.6875e-01,1.7480e-05,-5.7790e-01,8.6832e-04,1.0197e-04
1.7250e-01,1.8671e-05,-5.7789e-01,8.6831e-04,1.0197e-04
1.7625e-01,1.9915e-05,-5.7789e-01,8.6830e-04,1.0197e-04
1.8000e-01,2.1214e-05,-5.7788e-01,8.6829e-04,1.0196e-04
1.8375e-01,2.2567e-05,-5.7787e-01,8.6828e-04,1.0196e-04
1.8750e-01,2.3977e-05,-5.7787e-01,8.6827e-04,1.0196e-04
1.9125e-01,2.5445e-05,-5.7786e-01,8.6826e-04,1.0195e-04
1.9500e-01,2.6971e-05,-5.7785e-01,8.6825e-04,1.0195e-04
1.9875e-01,2.8557e-05,-5.7785e-01,8.6824e-04,1.0195e-04
2.0250e-01,3.0203e-05,-5.7784e-01,8.6823e-04,1.0194e-04
2.0625e-01,3.1912e-05,-5.7783e-01,8.6822e-04,1.0194e-04
2.1000e-01,3.3685e-05,-5.7782e-01,8.6821e-04,1.0194e-04
2.1375e-01,3.5521e-05,-5.7782e-01,8.6820e-04,1.0193e-04
2.1750e-01,3.7424e-05,-5.7781e-01,8.6819e-04,1.0193e-04
2.2125e-01,3.9393e-05,-5.7780e-01,8.6818e-04,1.0193e-04
2.2500e-01,4.1429e-05,-5.7779e-01,8.6817e-04,1.0192e-04
2.2875e-01,4.3535e-05,-5.7778e-01,8.6816e-04,1.0192e-04
2.3250e-01,4.5711e-05,-5.7777e-01,8.6814e-04,1.0191e-04
2.3625e-01,4.7959e-05,-5.7777e-01,8.6813e-04,1.0191e-04
2.4000e-01,5.0278e-05,-5.7776e-01,8.6812e-04,1.0190e-04
2.4375e-01,5.2672e-05,-5.7775e-01,8.6811e-04,1.0190e-04
2.4750e-01,5.5140e-05,-5.7774e-01,8.6809e-04,1.0190e-04
2.5125e-01,5.7684e-05,-5.7773e-01,8.6808e-04,1.0189e-04
2.5500e-01,6.0305e-05,-5.7772e-01,8.6807e-04,1.0189e-04
2.5875e-01,6.3004e-05,-5.7771e-01,8.6805e-04,1.0188e-04
2.6250e-01,6.5783e-05,-5.7770e-01,8.6804e-04,1.0188e-04
2.6625e-01,6.8642e-05,-5.7769e-01,8.6803e-04,1.0187e-04
2.7000e-01,7.1582e-05,-5.7768e-01,8.6801e-04,1.0187e-04
2.7375e-01,7.4606e-05,-5.7767e-01,8.6800e-04,1.0186e-04
2.7750e-01,7.7713e-05,-5.7766e-01,8.6799e-04,1.0186e-04
2.8125e-01,8.0906e-05,-5.7765e-01,8.6797e-04,1.0185e-04
2.8500e-01,8.4185e-05,-5.7764e-01,8.6796e-04,1.0185e-04
2.8875e-01,8.7551e-05,-5.7763e-01,8.6794e-04,1.0184e-04
2.9250e-01,9.1005e-05,-5.7762e-01,8.6793e-04,1.0184e-04
2.9625e-01,9.4550e-05,-5.7761e-01,8.6791e-04,1.0183e-04
3.0000e-01,9.8185e-05,-5.7760e-01,8.6790e-04,1.0183e-04
3.0375e-01,1.0191e-04,-5.7759e-01,8.6788e-04,1.0182e-04
3.0750e-01,1.0573e-04,-5.7757e-01,8.6787e-04,1.0182e-04
3.1125e-01,1.0965e-04,-5.7756e-01,8.6785e-04,1.0181e-04
3.1500e-01,1.1366e-04,-5.7755e-01,8.6783e-04,1.0181e-04
3.1875e-01,1.1776e-04,-5.7754e-01,8.6782e-04,1.0180e-04
3.2250e-01,1.2197e-04,-5.7753e-01,8.6780e-04,1.0179e-04
3.2625e-01,1.2627e-04,-5.7752e-01,8.6778e-04,1.0179e-04
3.3000e-01,1.3067e-04,-5.7750e-01,8.6777e-04,1.0178e-04
3.3375e-01,1.3518e-04,-5.7749e-01,8.6775e-04,1.0178e-04
3.3750e-01,1.3978e-04,-5.7748e-01,8.6773e-04,1.0177e-04
3.4125e-01,1.4449e-04,-5.7747e-01,8.6772e-04,1.0176e-04
3.4500e-01,1.4931e-04,-5.7745e-01,8.6770e-04,1.0176e-04
3.4875e-01,1.5423e-04,-5.7744e-01,8.6768e-04,1.0175e-04
3.5250e-01,1.5925e-04,-5.7743e-01,8.6766e-04,1.0175e-04
3.5625e-01,1.6439e-04,-5.7742e-01,8.6764e-04,1.0174e-04
3.6000e-01,1.6963e-04,-5.7740e-01,8.6763e-04,1.0173e-04
3.6375e-01,1.7499e-04,-5.7739e-01,8.6761e-04,1.0173e-04
3.6750e-01,1.8045e-04,-5.7738e-01,8.6759e-04,1.0172e-04
3.7125e-01,1.8603e-04,-5.7736e-01,8.6757e-04,1.0171e-04
3.7500e-01,1.9172e-04,-5.7735e-01,8.6755e-04,1.0171e-04
3.7875e-01,1.9753e-04,-5.7733e-01,8.6753e-04,1.0170e-04
3.8250e-01,2.0345e-04,-5.7732e-01,8.6751e-04,1.0169e-04
3.8625e-01,2.0949e-04,-5.7731e-01,8.6749e-04,1.0169e-04
3.9000e-01,2.1565e-04,-5.7729e-01,8.6747e-04,1.0168e-04
3.9375e-01,2.2193e-04,-5.7728e-01,8.6745e-04,1.0167e-04
3.9750e-01,2.2832e-04,-5.7726e-01,8.6743e-04,1.0167e-04
4.0125e-01,2.3484e-04,-5.7725e-01,8.6741e-04,1.0166e-04
4.0500e-01,2.4149e-04,-5.7723e-01,8.6739e-04,1.0165e-04
4.0875e-01,2.4825e-04,-5.7722e-01,8.6737e-04,1.0164e-04
4.1250e-01,2.5515e-04,-5.7720e-01,8.6735e-04,1.0164e-04
4.1625e-01,2.6216e-04,-5.7719e-01,8.6733e-04,1.0163e-04
4.2000e-01,2.6931e-04,-5.7717e-01,8.6731e-04,1.0162e-04
4.2375e-01,2.7658e-04,-5.7716e-01,8.6728e-04,1.0161e-04
4.2750e-01,2.8399e-04,-5.7714e-01,8.6726e-04,1.0161e-04
4.3125e-01,2.9152e-04,-5.7713e-01,8.6724e-04,1.0160e-04
4.3500e-01,2.9919e-04,-5.7711e-01,8.6722e-04,1.0159e-04
4.3875e-01,3.0699e-04,-5.7709e-01,8.6720e-04,1.0158e-04
4.4250e-01,3.1492e-04,-5.7708e-01,8.6717e-04,1.0158e-04
4.4625e-01,3.2299e-04,-5.7706e-01,8.6715e-04,1.0157e-04
4.5000e-01,3.3120e-04,-5.7704e-01,8.6713e-04,1.0156e-04
4.5375e-01,3.3954e-04,-5.7703e-01,8.6710e-04,1.0155e-04
4.5750e-01,3.4802e-04,-5.7701e-01,8.6708e-04,1.0154e-04
4.6125e-01,3.5665e-04,-5.7699e-01,8.6706e-04,1.0153e-04
4.6500e-01,3.6541e-04,-5.7698e-01,8.6703e-04,1.0153e-04
4.6875e-01,3.7432e-04,-5.7696e-01,8.6701e-04,1.0152e-04
4.7250e-01,3.8336e-04,-5.7694e-01,8.6699e-04,1.0151e-04
4.7625e-01,3.9256e-04,-5.7692e-01,8.6696e-04,1.0150e-04
4.8000e-01,4.0190e-04,-5.7691e-01,8.6694e-04,1.0149e-04
4.8375e-01,4.1138e-04,-5.7689e-01,8.6691e-04,1.0148e-04
4.8750e-01,4.2102e-04,-5.7687e-01,8.6689e-04,1.0148e-04
4.9125e-01,4.3080e-04,-5.7685e-01,8.6686e-04,1.0147e-04
4.9500e-01,4.4073e-04,-5.7683e-01,8.6684e-04,1.0146e-04
4.9875e-01,4.5082e-04,-5.7682e-01,8.6681e-04,1.0145e-04
5.0250e-01,4.6106e-04,-5.7680e-01,8.6678e-04,1.0144e-04
5.0625e-01,4.7145e-04,-5.7678e-01,8.6676e-04,1.0143e-04
5.1000e-01,4.8199e-04,-5.7676e-01,8.6673e-04,1.0142e-04
5.1375e-01,4.9270e-04,-5.7674e-01,8.6671e-04,1.0141e-04
5.1750e-01,5.0355e-04,-5.7672e-01,8.6668e-04,1.0140e-04
5.2125e-01,5.1457e-04,-5.7670e-01,8.6665e-04,1.0139e-04
5.2500e-01,5.2575e-04,-5.7668e-01,8.6663e-04,1.0139e-04
5.2875e-01,5.3708e-04,-5.7666e-01,8.6660e-04,1.0138e-04
5.3250e-01,5.4858e-04,-5.7665e-01,8.6657e-04,1.0137e-04
5.3625e-01,5.6024e-04,-5.7663e-01,8.6654e-04,1.0136e-04
5.4000e-01,5.7207e-04,-5.7661e-01,8.6652e-04,1.0135e-04
5.4375e-01,5.8406e-04,-5.7659e-01,8.6649e-04,1.0134e-04
5.4750e-01,5.9621e-04,-5.7657e-01,8.6646e-04,1.0133e-04
5.5125e-01,6.0854e-04,-5.7655e-01,8.6643e-04,1.0132e-04
5.5500e-01,6.2103e-04,-5.7653e-01,8.6640e-04,1.0131e-04
5.5875e-01,6.3369e-04,-5.7650e-01,8.6638e-04,1.0130e-04
5.6250e-01,6.4652e-04,-5.7648e-01,8.6635e-04,1.0129e-04
5.6625e-01,6.5952e-04,-5.7646e-01,8.6632e-04,1.0128e-04
5.7000e-01,6.7270e-04,-5.7644e-01,8.6629e-04,1.0127e-04
5.7375e-01,6.8605e-04,-5.7642e-01,8.6626e-04,1.0126e-04
5.7750e-01,6.9958e-04,-5.7640e-01,8.6623e-04,1.0125e-04
5.8125e-01,7.1328e-04,-5.7638e-01,8.6620e-04,1.0124e-04
5.8500e-01,7.2716e-04,-5.7636e-01,8.6617e-04,1.0123e-04
5.8875e-01,7.4122e-04,-5.7634e-01,8.6614e-04,1.0122e-04
5.9250e-01,7.5545e-04,-5.7631e-01,8.6611e-04,1.0121e-04
5.9625e-01,7.6987e-04,-5.7629e-01,8.6608e-04,1.0120e-04
6.0000e-01,7.8447e-04,-5.7627e-01,8.6605e-04,1.0118e-04
6.0375e-01,7.9926e-04,-5.7625e-01,8.6602e-04,1.0117e-04
6.0750e-01,8.1423e-04,-5.7622e-01,8.6599e-04,1.0116e-04
6.1125e-01,8.2938e-04,-5.7620e-01,8.6596e-04,1.0115e-04
6.1500e-01,8.4472e-04,-5.7618e-01,8.6592e-04,1.0114e-04
6.1875e-01,8.6025e-04,-5.7616e-01,8.6589e-04,1.0113e-04
6.2250e-01,8.7596e-04,-5.7613e-01,8.6586e-04,1.0112e-04
6.2625e-01,8.9187e-04,-5.7611e-01,8.6583e-04,1.0111e-04
6.3000e-01,9.0797e-04,-5.7609e-01,8.6580e-04,1.0110e-04
6.3375e-01,9.2426e-04,-5.7606e-01,8.6576e-04,1.0109e-04
6.3750e-01,9.4074e-04,-5.7604e-01,8.6573e-04,1.0107e-04
6.4125e-01,9.5742e-04,-5.7602e-01,8.6570e-04,1.0106e-04
6.4500e-01,9.7429e-04,-5.7599e-01,8.6567e-04,1.0105e-04
6.4875e-01,9.9136e-04,-5.7597e-01,8.6563e-04,1.0104e-04
6.5250e-01,1.0086e-03,-5.7595e-01,8.6560e-04,1.0103e-04
6.5625e-01,1.0261e-03,-5.7592e-01,8.6556e-04,1.0102e-04
6.6000e-01,1.0438e-03,-5.7590e-01,8.6553e-04,1.0100e-04
6.6375e-01,1.0616e-03,-5.7587e-01,8.6550e-04,1.0099e-04
6.6750e-01,1.0797e-03,-5.7585e-01,8.6546e-04,1.0098e-04
6.7125e-01,1.0980e-03,-5.7582e-01,8.6543e-04,1.0097e-04
6.7500e-01,1.1165e-03,-5.7580e-01,8.6539e-04,1.0096e-04
6.7875e-01,1.1351e-03,-5.7577e-01,8.6536e-04,1.0095e-04
6.8250e-01,1.1540e-03,-5.7575e-01,8.6532e-04,1.0093e-04
6.8625e-01,1.1731e-03,-5.7572e-01,8.6529e-04,1.0092e-04
6.9000e-01,1.1924e-03,-5.7570e-01,8.6525e-04,1.0091e-04
6.9375e-01,1.2119e-03,-5.7567e-01,8.6522e-04,1.0090e-04
6.9750e-01,1.2317e-03,-5.7565e-01,8.6518e-04,1.0088e-04
7.0125e-01,1.2516e-03,-5.7562e-01,8.6515e-04,1.0087e-04
7.0500e-01,1.2718e-03,-5.7560e-01,8.6511e-04,1.0086e-04
7.0875e-01,1.2921e-03,-5.7557e-01,8.6507e-04,1.0085e-04
7.1250e-01,1.3127e-03,-5.7554e-01,8.6504e-04,1.0083e-04
7.1625e-01,1.3335e-03,-5.7552e-01,8.6500e-04,1.0082e-04
7.2000e-01,1.3546e-03,-5.7549e-01,8.6496e-04,1.0081e-04
7.2375e-01,1.3758e-03,-5.7546e-01,8.6493e-04,1.0080e-04
7.2750e-01,1.3973e-03,-5.7544e-01,8.6489e-04,1.0078e-04
7.3125e-01,1.4189e-03,-5.7541e-01,8.6485e-04,1.0077e-04
7.3500e-01,1.4408e-03,-5.7538e-01,8.6481e-04,1.0076e-04
7.3875e-01,1.4630e-03,-5.7536e-01,8.6478e-04,1.0074e-04
7.4250e-01,1.4853e-03,-5.7533e-01,8.6474e-04,1.0073e-04
7.4625e-01,1.5079e-03,-5.7530e-01,8.6470e-04,1.0072e-04
7.5000e-01,1.5307e-03,-5.7527e-01,8.6466e-04,1.0070e-04
7.5375e-01,1.5537e-03,-5.7525e-01,8.6462e-04,1.0069e-04
7.5750e-01,1.5770e-03,-5.7522e-01,8.6458e-04,1.0068e-04
7.6125e-01,1.6005e-03,-5.7519e-01,8.6455e-04,1.0066e-04
7.6500e-01,1.6242e-03,-5.7516e-01,8.6451e-04,1.0065e-04
7.6875e-01,1.6482e-03,-5.7513e-01,8.6447e-04,1.0064e-04
7.7250e-01,1.6724e-03,-5.7511e-01,8.6443e-04,1.0062e-04
7.7625e-01,1.6968e-03,-5.7508e-01,8.6439e-04,1.0061e-04
7.8000e-01,1.7215e-03,-5.7505e-01,8.6435e-04,1.0059e-04
7.8375e-01,1.7464e-03,-5.7502e-01,8.6431e-04,1.0058e-04
7.8750e-01,1.7715e-03,-5.7499e-01,8.6427e-04,1.0057e-04
7.9125e-01,1.7969e-03,-5.7496e-01,8.6423e-04,1.0055e-04
7.9500e-01,1.8225e-03,-5.7493e-01,8.6419e-04,1.0054e-04
7.9875e-01,1.8484e-03,-5.7490e-01,8.6414e-04,1.0052e-04
8.0250e-01,1.8745e-03,-5.7487e-01,8.6410e-04,1.0051e-04
8.0625e-01,1.9008e-03,-5.7484e-01,8.6406e-04,1.0050e-04
8.1000e-01,1.9274e-03,-5.7481e-01,8.6402e-04,1.0048e-04
8.1375e-01,1.9542e-03,-5.7478e-01,8.6398e-04,1.0047e-04
8.1750e-01,1.9813e-03,-5.7475e-01,8.6394e-04,1.0045e-04
8.2125e-01,2.0086e-03,-5.7472e-01,8.6389e-04,1.0044e-04
8.2500e-01,2.0362e-03,-5.7469e-01,8.6385e-04,1.0042e-04
8.2875e-01,2.0641e-03,-5.7466e-01,8.6381e-04,1.0041e-04
8.3250e-01,2.0921e-03,-5.7463e-01,8.6377e-04,1.0039e-04
