r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.7068e-01,1.1871e-03,1.6673e-04
3.7500e-03,2.6221e-10,-6.7068e-01,1.1871e-03,1.6673e-04
7.5000e-03,2.0977e-09,-6.7068e-01,1.1871e-03,1.6673e-04
1.1250e-02,7.0798e-09,-6.7068e-01,1.1871e-03,1.6673e-04
1.5000e-02,1.6782e-08,-6.7068e-01,1.1871e-03,1.6672e-04
1.8750e-02,3.2777e-08,-6.7068e-01,1.1871e-03,1.6672e-04
2.2500e-02,5.6638e-08,-6.7068e-01,1.1871e-03,1.6672e-04
2.6250e-02,8.9939e-08,-6.7068e-01,1.1871e-03,1.6672e-04
3.0000e-02,1.3425e-07,-6.7068e-01,1.1871e-03,1.6672e-04
3.3750e-02,1.9115e-07,-6.7067e-01,1.1870e-03,1.6672e-04
3.7500e-02,2.6221e-07,-6.7067e-01,1.1870e-03,1.6672e-04
4.1250e-02,3.4900e-07,-6.7067e-01,1.1870e-03,1.6672e-04
4.5000e-02,4.5310e-07,-6.7067e-01,1.1870e-03,1.6672e-04
4.8750e-02,5.7608e-07,-6.7067e-01,1.1870e-03,1.6671e-04
5.2500e-02,7.1950e-07,-6.7066e-01,1.1870e-03,1.6671e-04
5.6250e-02,8.8496e-07,-6.7066e-01,1.1870e-03,1.6671e-04
6.0000e-02,1.0740e-06,-6.7066e-01,1.1870e-03,1.6671e-04
6.3750e-02,1.2882e-06,-6.7065e-01,1.1870e-03,1.6671e-04
6.7500e-02,1.5292e-06,-6.7065e-01,1.1870e-03,1.6670e-04
7.1250e-02,1.7985e-06,-6.7065e-01,1.1870e-03,1.6670e-04
7.5000e-02,2.0976e-06,-6.7064e-01,1.1870e-03,1.6670e-04
7.8750e-02,2.4283e-06,-6.7064e-01,1.1870e-03,1.6670e-04
8.2500e-02,2.7919e-06,-6.7063e-01,1.1870e-03,1.6669e-04
8.6250e-02,3.1902e-06,-6.7063e-01,1.1870e-03,1.6669e-04
9.0000e-02,3.6247e-06,-6.7063e-01,1.1870e-03,1.6669e-04
9.3750e-02,4.0969e-06,-6.7062e-01,1.1870e-03,1.6668e-04
9.7500e-02,4.6084e-06,-6.7062e-01,1.1870e-03,1.6668e-04
1.0125e-01,5.1609e-06,-6.7061e-01,1.1869e-03,1.6668e-04
1.0500e-01,5.7558e-06,-6.7060e-01,1.1869e-03,1.6667e-04
1.0875e-01,6.3947e-06,-6.7060e-01,1.1869e-03,1.6667e-04
1.1250e-01,7.0793e-06,-6.7059e-01,1.1869e-03,1.6667e-04
1.1625e-01,7.8110e-06,-6.7059e-01,1.1869e-03,1.6666e-04
