r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.3151e-01,1.4964e-03,2.2230e-04
3.7500e-03,3.3054e-10,-7.3151e-01,1.4964e-03,2.2230e-04
7.5000e-03,2.6443e-09,-7.3151e-01,1.4964e-03,2.2230e-04
1.1250e-02,8.9246e-09,-7.3151e-01,1.4964e-03,2.2230e-04
1.5000e-02,2.1155e-08,-7.3150e-01,1.4964e-03,2.2229e-04
1.8750e-02,4.1317e-08,-7.3150e-01,1.4964e-03,2.2229e-04
2.2500e-02,7.1396e-08,-7.3150e-01,1.4964e-03,2.2229e-04
2.6250e-02,1.1337e-07,-7.3150e-01,1.4964e-03,2.2229e-04
3.0000e-02,1.6924e-07,-7.3150e-01,1.4964e-03,2.2229e-04
3.3750e-02,2.4096e-07,-7.3150e-01,1.4964e-03,2.2229e-04
3.7500e-02,3.3054e-07,-7.3149e-01,1.4963e-03,2.2229e-04
4.1250e-02,4.3994e-07,-7.3149e-01,1.4963e-03,2.2228e-04
4.5000e-02,5.7116e-07,-7.3149e-01,1.4963e-03,2.2228e-04
4.8750e-02,7.2618e-07,-7.3149e-01,1.4963e-03,2.2228e-04
5.2500e-02,9.0698e-07,-7.3148e-01,1.4963e-03,2.2227e-04
5.6250e-02,1.1155e-06,-7.3148e-01,1.4963e-03,2.2227e-04
6.0000e-02,1.3539e-06,-7.3147e-01,1.4963e-03,2.2227e-04
6.3750e-02,1.6239e-06,-7.3147e-01,1.4963e-03,2.2226e-04
6.7500e-02,1.9276e-06,-7.3147e-01,1.4963e-03,2.2226e-04
7.1250e-02,2.2671e-06,-7.3146e-01,1.4963e-03,2.2226e-04
7.5000e-02,2.6442e-06,-7.3146e-01,1.4963e-03,2.2225e-04
7.8750e-02,3.0610e-06,-7.3145e-01,1.4963e-03,2.2225e-04
8.2500e-02,3.5194e-06,-7.3145e-01,1.4962e-03,2.2224e-04
8.6250e-02,4.0214e-06,-7.3144e-01,1.4962e-03,2.2224e-04
9.0000e-02,4.5691e-06,-7.3143e-01,1.4962e-03,2.2223e-04
9.3750e-02,5.1643e-06,-7.3143e-01,1.4962e-03,2.2223e-04
9.7500e-02,5.8091e-06,-7.3142e-01,1.4962e-03,2.2222e-04
1.0125e-01,6.5055e-06,-7.3141e-01,1.4962e-03,2.2222e-04
1.0500e-01,7.2554e-06,-7.3141e-01,1.4962e-03,2.2221e-04
1.0875e-01,8.0608e-06,-7.3140e-01,1.4961e-03,2.2220e-04
1.1250e-01,8.9237e-06,-7.3139e-01,1.4961e-03,2.2220e-04
1.1625e-01,9.8460e-06,-7.3138e-01,1.4961e-03,2.2219e-04
1.2000e-01,1.0830e-05,-7.3138e-01,1.4961e-03,2.2218e-04
1.2375e-01,1.1877e-05,-7.3137e-01,1.4961e-03,2.2218e-04
1.2750e-01,1.2990e-05,-7.3136e-01,1.4960e-03,2.2217e-04
1.3125e-01,1.4170e-05,-7.3135e-01,1.4960e-03,2.2216e-04
1.3500e-01,1.5419e-05,-7.3134e-01,1.4960e-03,2.2215e-04
1.3875e-01,1.6740e-05,-7.3133e-01,1.4960e-03,2.2215e-04
1.4250e-01,1.8134e-05,-7.3132e-01,1.4960e-03,2.2214e-04
1.4625e-01,1.9604e-05,-7.3131e-01,1.4959e-03,2.2213e-04
1.5000e-01,2.1151e-05,-7.3130e-01,1.4959e-03,2.2212e-04
1.5375e-01,2.2777e-05,-7.3129e-01,1.4959e-03,2.2211e-04
1.5750e-01,2.4484e-05,-7.3128e-01,1.4959e-03,2.2210e-04
1.6125e-01,2.6275e-05,-7.3127e-01,1.4958e-03,2.2209e-04
1.6500e-01,2.8150e-05,-7.3126e-01,1.4958e-03,2.2208e-04
1.6875e-01,3.0113e-05,-7.3125e-01,1.4958e-03,2.2207e-04
1.7250e-01,3.2166e-05,-7.3124e-01,1.4958e-03,2.2206e-04
1.7625e-01,3.4309e-05,-7.3123e-01,1.4957e-03,2.2205e-04
1.8000e-01,3.6545e-05,-7.3121e-01,1.4957e-03,2.2204e-04
1.8375e-01,3.8877e-05,-7.3120e-01,1.4957e-03,2.2203e-04
1.8750e-01,4.1306e-05,-7.3119e-01,1.4957e-03,2.2202e-04
1.9125e-01,4.3833e-05,-7.3118e-01,1.4956e-03,2.2201e-04
1.9500e-01,4.6462e-05,-7.3116e-01,1.4956e-03,2.2200e-04
1.9875e-01,4.9194e-05,-7.3115e-01,1.4956e-03,2.2199e-04
2.0250e-01,5.2031e-05,-7.3114e-01,1.4955e-03,2.2198e-04
2.0625e-01,5.4974e-05,-7.3112e-01,1.4955e-03,2.2196e-04
2.1000e-01,5.8027e-05,-7.3111e-01,1.4955e-03,2.2195e-04
2.1375e-01,6.1191e-05,-7.3109e-01,1.4954e-03,2.2194e-04
2.1750e-01,6.4467e-05,-7.3108e-01,1.4954e-03,2.2193e-04
2.2125e-01,6.7859e-05,-7.3106e-01,1.4954e-03,2.2192e-04
2.2500e-01,7.1367e-05,-7.3105e-01,1.4953e-03,2.2190e-04
2.2875e-01,7.4994e-05,-7.3103e-01,1.4953e-03,2.2189e-04
2.3250e-01,7.8742e-05,-7.3102e-01,1.4953e-03,2.2188e-04
2.3625e-01,8.2613e-05,-7.3100e-01,1.4952e-03,2.2186e-04
2.4000e-01,8.6608e-05,-7.3098e-01,1.4952e-03,2.2185e-04
2.4375e-01,9.0730e-05,-7.3097e-01,1.4952e-03,2.2183e-04
2.4750e-01,9.4981e-05,-7.3095e-01,1.4951e-03,2.2182e-04
2.5125e-01,9.9363e-05,-7.3093e-01,1.4951e-03,2.2180e-04
2.5500e-01,1.0388e-04,-7.3092e-01,1.4951e-03,2.2179e-04
2.5875e-01,1.0853e-04,-7.3090e-01,1.4950e-03,2.2178e-04
2.6250e-01,1.1331e-04,-7.3088e-01,1.4950e-03,2.2176e-04
2.6625e-01,1.1824e-04,-7.3086e-01,1.4949e-03,2.2174e-04
2.7000e-01,1.2330e-04,-7.3085e-01,1.4949e-03,2.2173e-04
2.7375e-01,1.2851e-04,-7.3083e-01,1.4949e-03,2.2171e-04
2.7750e-01,1.3386e-04,-7.3081e-01,1.4948e-03,2.2170e-04
2.8125e-01,1.3936e-04,-7.3079e-01,1.4948e-03,2.2168e-04
2.8500e-01,1.4500e-04,-7.3077e-01,1.4947e-03,2.2166e-04
2.8875e-01,1.5080e-04,-7.3075e-01,1.4947e-03,2.2165e-04
2.9250e-01,1.5675e-04,-7.3073e-01,1.4946e-03,2.2163e-04
2.9625e-01,1.6285e-04,-7.3071e-01,1.4946e-03,2.2161e-04
3.0000e-01,1.6911e-04,-7.3069e-01,1.4945e-03,2.2160e-04
3.0375e-01,1.7553e-04,-7.3067e-01,1.4945e-03,2.2158e-04
3.0750e-01,1.8211e-04,-7.3065e-01,1.4945e-03,2.2156e-04
3.1125e-01,1.8885e-04,-7.3063e-01,1.4944e-03,2.2154e-04
3.1500e-01,1.9575e-04,-7.3061e-01,1.4944e-03,2.2152e-04
3.1875e-01,2.0282e-04,-7.3059e-01,1.4943e-03,2.2151e-04
3.2250e-01,2.1006e-04,-7.3056e-01,1.4943e-03,2.2149e-04
3.2625e-01,2.1747e-04,-7.3054e-01,1.4942e-03,2.2147e-04
3.3000e-01,2.2505e-04,-7.3052e-01,1.4942e-03,2.2145e-04
3.3375e-01,2.3281e-04,-7.3050e-01,1.4941e-03,2.2143e-04
3.3750e-01,2.4074e-04,-7.3047e-01,1.4941e-03,2.2141e-04
3.4125e-01,2.4885e-04,-7.3045e-01,1.4940e-03,2.2139e-04
3.4500e-01,2.5714e-04,-7.3043e-01,1.4940e-03,2.2137e-04
3.4875e-01,2.6561e-04,-7.3041e-01,1.4939e-03,2.2135e-04
3.5250e-01,2.7426e-04,-7.3038e-01,1.4938e-03,2.2133e-04
3.5625e-01,2.8310e-04,-7.3036e-01,1.4938e-03,2.2131e-04
3.6000e-01,2.9213e-04,-7.3033e-01,1.4937e-03,2.2129e-04
3.6375e-01,3.0135e-04,-7.3031e-01,1.4937e-03,2.2127e-04
3.6750e-01,3.1076e-04,-7.3028e-01,1.4936e-03,2.2125e-04
