r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.3624e-01,1.5028e-03,2.2502e-04
3.7500e-03,3.3197e-10,-7.3624e-01,1.5028e-03,2.2502e-04
7.5000e-03,2.6558e-09,-7.3624e-01,1.5028e-03,2.2502e-04
1.1250e-02,8.9631e-09,-7.3624e-01,1.5028e-03,2.2502e-04
1.5000e-02,2.1246e-08,-7.3624e-01,1.5028e-03,2.2502e-04
1.8750e-02,4.1496e-08,-7.3624e-01,1.5028e-03,2.2501e-04
2.2500e-02,7.1705e-08,-7.3623e-01,1.5028e-03,2.2501e-04
2.6250e-02,1.1386e-07,-7.3623e-01,1.5028e-03,2.2501e-04
3.0000e-02,1.6997e-07,-7.3623e-01,1.5028e-03,2.2501e-04
3.3750e-02,2.4200e-07,-7.3623e-01,1.5028e-03,2.2501e-04
3.7500e-02,3.3196e-07,-7.3623e-01,1.5028e-03,2.2501e-04
4.1250e-02,4.4184e-07,-7.3622e-01,1.5028e-03,2.2500e-04
4.5000e-02,5.7363e-07,-7.3622e-01,1.5028e-03,2.2500e-04
4.8750e-02,7.2932e-07,-7.3622e-01,1.5028e-03,2.2500e-04
5.2500e-02,9.1090e-07,-7.3621e-01,1.5028e-03,2.2500e-04
5.6250e-02,1.1204e-06,-7.3621e-01,1.5028e-03,2.2499e-04
6.0000e-02,1.3597e-06,-7.3621e-01,1.5028e-03,2.2499e-04
6.3750e-02,1.6309e-06,-7.3620e-01,1.5028e-03,2.2499e-04
6.7500e-02,1.9360e-06,-7.3620e-01,1.5028e-03,2.2498e-04
7.1250e-02,2.2769e-06,-7.3619e-01,1.5027e-03,2.2498e-04
7.5000e-02,2.6556e-06,-7.3619e-01,1.5027e-03,2.2497e-04
7.8750e-02,3.0742e-06,-7.3618e-01,1.5027e-03,2.2497e-04
8.2500e-02,3.5346e-06,-7.3618e-01,1.5027e-03,2.2496e-04
8.6250e-02,4.0388e-06,-7.3617e-01,1.5027e-03,2.2496e-04
9.0000e-02,4.5888e-06,-7.3616e-01,1.5027e-03,2.2495e-04
9.3750e-02,5.1866e-06,-7.3616e-01,1.5027e-03,2.2495e-04
9.7500e-02,5.8342e-06,-7.3615e-01,1.5027e-03,2.2494e-04
1.0125e-01,6.5336e-06,-7.3615e-01,1.5026e-03,2.2494e-04
1.0500e-01,7.2867e-06,-7.3614e-01,1.5026e-03,2.2493e-04
1.0875e-01,8.0956e-06,-7.3613e-01,1.5026e-03,2.2492e-04
1.1250e-01,8.9622e-06,-7.3612e-01,1.5026e-03,2.2492e-04
1.1625e-01,9.8886e-06,-7.3612e-01,1.5026e-03,2.2491e-04
1.2000e-01,1.0877e-05,-7.3611e-01,1.5026e-03,2.2490e-04
1.2375e-01,1.1928e-05,-7.3610e-01,1.5025e-03,2.2490e-04
1.2750e-01,1.3046e-05,-7.3609e-01,1.5025e-03,2.2489e-04
1.3125e-01,1.4231e-05,-7.3608e-01,1.5025e-03,2.2488e-04
1.3500e-01,1.5486e-05,-7.3607e-01,1.5025e-03,2.2487e-04
1.3875e-01,1.6813e-05,-7.3606e-01,1.5025e-03,2.2487e-04
