r,m,nu,rho,P
0.0000e+00,0.0000e+00,-6.9885e-01,1.3352e-03,1.9282e-04
3.7500e-03,2.9495e-10,-6.9885e-01,1.3352e-03,1.9282e-04
7.5000e-03,2.3596e-09,-6.9885e-01,1.3352e-03,1.9282e-04
1.1250e-02,7.9635e-09,-6.9885e-01,1.3352e-03,1.9282e-04
1.5000e-02,1.8876e-08,-6.9885e-01,1.3352e-03,1.9281e-04
1.8750e-02,3.6868e-08,-6.9885e-01,1.3352e-03,1.9281e-04
2.2500e-02,6.3708e-08,-6.9885e-01,1.3352e-03,1.9281e-04
2.6250e-02,1.0117e-07,-6.9885e-01,1.3352e-03,1.9281e-04
3.0000e-02,1.5101e-07,-6.9885e-01,1.3352e-03,1.9281e-04
3.3750e-02,2.1501e-07,-6.9884e-01,1.3352e-03,1.9281e-04
3.7500e-02,2.9494e-07,-6.9884e-01,1.3352e-03,1.9281e-04
4.1250e-02,3.9257e-07,-6.9884e-01,1.3352e-03,1.9281e-04
4.5000e-02,5.0966e-07,-6.9884e-01,1.3352e-03,1.9280e-04
4.8750e-02,6.4798e-07,-6.9883e-01,1.3352e-03,1.9280e-04
5.2500e-02,8.0932e-07,-6.9883e-01,1.3352e-03,1.9280e-04
5.6250e-02,9.9542e-07,-6.9883e-01,1.3352e-03,1.9280e-04
6.0000e-02,1.2081e-06,-6.9882e-01,1.3352e-03,1.9279e-04
6.3750e-02,1.4490e-06,-6.9882e-01,1.3352e-03,1.9279e-04
6.7500e-02,1.7201e-06,-6.9882e-01,1.3352e-03,1.9279e-04
7.1250e-02,2.0230e-06,-6.9881e-01,1.3352e-03,1.9278e-04
7.5000e-02,2.3595e-06,-6.9881e-01,1.3352e-03,1.9278e-04
7.8750e-02,2.7314e-06,-6.9880e-01,1.3351e-03,1.9278e-04
8.2500e-02,3.1404e-06,-6.9880e-01,1.3351e-03,1.9277e-04
8.6250e-02,3.5884e-06,-6.9879e-01,1.3351e-03,1.9277e-04
9.0000e-02,4.0771e-06,-6.9879e-01,1.3351e-03,1.9277e-04
9.3750e-02,4.6082e-06,-6.9878e-01,1.3351e-03,1.9276e-04
9.7500e-02,5.1836e-06,-6.9878e-01,1.3351e-03,1.9276e-04
1.0125e-01,5.8050e-06,-6.9877e-01,1.3351e-03,1.9275e-04
1.0500e-01,6.4741e-06,-6.9876e-01,1.3351e-03,1.9275e-04
1.0875e-01,7.1928e-06,-6.9876e-01,1.3351e-03,1.9274e-04
1.1250e-01,7.9628e-06,-6.9875e-01,1.3350e-03,1.9274e-04
1.1625e-01,8.7859e-06,-6.9874e-01,1.3350e-03,1.9273e-04
1.2000e-01,9.6638e-06,-6.9874e-01,1.3350e-03,1.9273e-04
1.2375e-01,1.0598e-05,-6.9873e-01,1.3350e-03,1.9272e-04
1.2750e-01,1.1591e-05,-6.9872e-01,1.3350e-03,1.9272e-04
1.3125e-01,1.2644e-05,-6.9872e-01,1.3350e-03,1.9271e-04
1.3500e-01,1.3759e-05,-6.9871e-01,1.3349e-03,1.9270e-04
1.3875e-01,1.4938e-05,-6.9870e-01,1.3349e-03,1.9270e-04
