r,m,nu,rho,P
0.0000e+00,0.0000e+00,-7.5686e-01,1.5967e-03,2.4613e-04
3.7500e-03,3.5272e-10,-7.5686e-01,1.5967e-03,2.4613e-04
7.5000e-03,2.8216e-09,-7.5686e-01,1.5967e-03,2.4613e-04
1.1250e-02,9.5230e-09,-7.5686e-01,1.5967e-03,2.4613e-04
1.5000e-02,2.2573e-08,-7.5686e-01,1.5967e-03,2.4612e-04
1.8750e-02,4.4088e-08,-7.5686e-01,1.5967e-03,2.4612e-04
2.2500e-02,7.6183e-08,-7.5686e-01,1.5967e-03,2.4612e-04
2.6250e-02,1.2098e-07,-7.5686e-01,1.5967e-03,2.4612e-04
3.0000e-02,1.8058e-07,-7.5686e-01,1.5967e-03,2.4612e-04
3.3750e-02,2.5712e-07,-7.5685e-01,1.5967e-03,2.4612e-04
3.7500e-02,3.5270e-07,-7.5685e-01,1.5967e-03,2.4611e-04
4.1250e-02,4.6944e-07,-7.5685e-01,1.5967e-03,2.4611e-04
4.5000e-02,6.0946e-07,-7.5684e-01,1.5967e-03,2.4611e-04
4.8750e-02,7.7487e-07,-7.5684e-01,1.5967e-03,2.4611e-04
5.2500e-02,9.6779e-07,-7.5684e-01,1.5966e-03,2.4610e-04
5.6250e-02,1.1903e-06,-7.5683e-01,1.5966e-03,2.4610e-04
6.0000e-02,1.4446e-06,-7.5683e-01,1.5966e-03,2.4609e-04
6.3750e-02,1.7328e-06,-7.5682e-01,1.5966e-03,2.4609e-04
6.7500e-02,2.0569e-06,-7.5682e-01,1.5966e-03,2.4609e-04
7.1250e-02,2.4191e-06,-7.5681e-01,1.5966e-03,2.4608e-04
7.5000e-02,2.8215e-06,-7.5681e-01,1.5966e-03,2.4608e-04
7.8750e-02,3.2662e-06,-7.5680e-01,1.5966e-03,2.4607e-04
8.2500e-02,3.7554e-06,-7.5680e-01,1.5966e-03,2.4607e-04
8.6250e-02,4.2911e-06,-7.5679e-01,1.5965e-03,2.4606e-04
9.0000e-02,4.8754e-06,-7.5678e-01,1.5965e-03,2.4605e-04
9.3750e-02,5.5106e-06,-7.5678e-01,1.5965e-03,2.4605e-04
9.7500e-02,6.1986e-06,-7.5677e-01,1.5965e-03,2.4604e-04
1.0125e-01,6.9416e-06,-7.5676e-01,1.5965e-03,2.4603e-04
1.0500e-01,7.7418e-06,-7.5676e-01,1.5965e-03,2.4603e-04
1.0875e-01,8.6012e-06,-7.5675e-01,1.5964e-03,2.4602e-04
1.1250e-01,9.5220e-06,-7.5674e-01,1.5964e-03,2.4601e-04
1.1625e-01,1.0506e-05,-7.5673e-01,1.5964e-03,2.4601e-04
1.2000e-01,1.1556e-05,-7.5672e-01,1.5964e-03,2.4600e-04
1.2375e-01,1.2673e-05,-7.5671e-01,1.5964e-03,2.4599e-04
1.2750e-01,1.3861e-05,-7.5670e-01,1.5963e-03,2.4598e-04
1.3125e-01,1.5120e-05,-7.5670e-01,1.5963e-03,2.4597e-04
1.3500e-01,1.6453e-05,-7.5669e-01,1.5963e-03,2.4596e-04
1.3875e-01,1.7863e-05,-7.5668e-01,1.5963e-03,2.4595e-04
1.4250e-01,1.9350e-05,-7.5667e-01,1.5963e-03,2.4594e-04
1.4625e-01,2.0918e-05,-7.5665e-01,1.5962e-03,2.4593e-04
1.5000e-01,2.2569e-05,-7.5664e-01,1.5962e-03,2.4592e-04
1.5375e-01,2.4304e-05,-7.5663e-01,1.5962e-03,2.4591e-04
1.5750e-01,2.6126e-05,-7.5662e-01,1.5962e-03,2.4590e-04
1.6125e-01,2.8036e-05,-7.5661e-01,1.5961e-03,2.4589e-04
1.6500e-01,3.0038e-05,-7.5660e-01,1.5961e-03,2.4588e-04
1.6875e-01,3.2132e-05,-7.5659e-01,1.5961e-03,2.4587e-04
1.7250e-01,3.4322e-05,-7.5657e-01,1.5960e-03,2.4586e-04
1.7625e-01,3.6609e-05,-7.5656e-01,1.5960e-03,2.4585e-04
1.8000e-01,3.8995e-05,-7.5655e-01,1.5960e-03,2.4583e-04
1.8375e-01,4.1483e-05,-7.5653e-01,1.5960e-03,2.4582e-04
1.8750e-01,4.4075e-05,-7.5652e-01,1.5959e-03,2.4581e-04
1.9125e-01,4.6772e-05,-7.5651e-01,1.5959e-03,2.4580e-04
1.9500e-01,4.9577e-05,-7.5649e-01,1.5959e-03,2.4578e-04
1.9875e-01,5.2492e-05,-7.5648e-01,1.5958e-03,2.4577e-04
2.0250e-01,5.5519e-05,-7.5646e-01,1.5958e-03,2.4576e-04
2.0625e-01,5.8660e-05,-7.5645e-01,1.5958e-03,2.4574e-04
2.1000e-01,6.1917e-05,-7.5643e-01,1.5957e-03,2.4573e-04
2.1375e-01,6.5293e-05,-7.5642e-01,1.5957e-03,2.4572e-04
2.1750e-01,6.8789e-05,-7.5640e-01,1.5956e-03,2.4570e-04
2.2125e-01,7.2408e-05,-7.5639e-01,1.5956e-03,2.4569e-04
2.2500e-01,7.6151e-05,-7.5637e-01,1.5956e-03,2.4567e-04
2.2875e-01,8.0021e-05,-7.5635e-01,1.5955e-03,2.4566e-04
2.3250e-01,8.4021e-05,-7.5634e-01,1.5955e-03,2.4564e-04
2.3625e-01,8.8151e-05,-7.5632e-01,1.5955e-03,2.4562e-04
2.4000e-01,9.2414e-05,-7.5630e-01,1.5954e-03,2.4561e-04
2.4375e-01,9.6812e-05,-7.5628e-01,1.5954e-03,2.4559e-04
2.4750e-01,1.0135e-04,-7.5626e-01,1.5953e-03,2.4558e-04
2.5125e-01,1.0602e-04,-7.5625e-01,1.5953e-03,2.4556e-04
2.5500e-01,1.1084e-04,-7.5623e-01,1.5953e-03,2.4554e-04
2.5875e-01,1.1580e-04,-7.5621e-01,1.5952e-03,2.4552e-04
2.6250e-01,1.2091e-04,-7.5619e-01,1.5952e-03,2.4551e-04
2.6625e-01,1.2616e-04,-7.5617e-01,1.5951e-03,2.4549e-04
2.7000e-01,1.3156e-04,-7.5615e-01,1.5951e-03,2.4547e-04
2.7375e-01,1.3712e-04,-7.5613e-01,1.5950e-03,2.4545e-04
2.7750e-01,1.4283e-04,-7.5611e-01,1.5950e-03,2.4543e-04
2.8125e-01,1.4870e-04,-7.5609e-01,1.5949e-03,2.4541e-04
2.8500e-01,1.5472e-04,-7.5607e-01,1.5949e-03,2.4540e-04
2.8875e-01,1.6091e-04,-7.5605e-01,1.5948e-03,2.4538e-04
2.9250e-01,1.6726e-04,-7.5603e-01,1.5948e-03,2.4536e-04
2.9625e-01,1.7377e-04,-7.5601e-01,1.5947e-03,2.4534e-04
3.0000e-01,1.8045e-04,-7.5598e-01,1.5947e-03,2.4532e-04
3.0375e-01,1.8729e-04,-7.5596e-01,1.5946e-03,2.4530e-04
3.0750e-01,1.9431e-04,-7.5594e-01,1.5946e-03,2.4528e-04
3.1125e-01,2.0151e-04,-7.5592e-01,1.5945e-03,2.4525e-04
3.1500e-01,2.0887e-04,-7.5589e-01,1.5945e-03,2.4523e-04
3.1875e-01,2.1642e-04,-7.5587e-01,1.5944e-03,2.4521e-04
3.2250e-01,2.2414e-04,-7.5585e-01,1.5944e-03,2.4519e-04
3.2625e-01,2.3205e-04,-7.5582e-01,1.5943e-03,2.4517e-04
3.3000e-01,2.4014e-04,-7.5580e-01,1.5943e-03,2.4515e-04
3.3375e-01,2.4841e-04,-7.5577e-01,1.5942e-03,2.4512e-04
3.3750e-01,2.5687e-04,-7.5575e-01,1.5942e-03,2.4510e-04
3.4125e-01,2.6553e-04,-7.5573e-01,1.5941e-03,2.4508e-04
3.4500e-01,2.7437e-04,-7.5570e-01,1.5940e-03,2.4506e-04
3.4875e-01,2.8341e-04,-7.5567e-01,1.5940e-03,2.4503e-04
3.5250e-01,2.9264e-04,-7.5565e-01,1.5939e-03,2.4501e-04
3.5625e-01,3.0207e-04,-7.5562e-01,1.5939e-03,2.4498e-04
3.6000e-01,3.1171e-04,-7.5560e-01,1.5938e-03,2.4496e-04
3.6375e-01,3.2154e-04,-7.5557e-01,1.5937e-03,2.4494e-04
3.6750e-01,3.3158e-04,-7.5554e-01,1.5937e-03,2.4491e-04
3.7125e-01,3.4183e-04,-7.5552e-01,1.5936e-03,2.4489e-04
3.7500e-01,3.5228e-04,-7.5549e-01,1.5936e-03,2.4486e-04
3.7875e-01,3.6295e-04,-7.5546e-01,1.5935e-03,2.4484e-04
3.8250e-01,3.7383e-04,-7.5543e-01,1.5934e-03,2.4481e-04
3.8625e-01,3.8492e-04,-7.5541e-01,1.5934e-03,2.4478e-04
3.9000e-01,3.9623e-04,-7.5538e-01,1.5933e-03,2.4476e-04
3.9375e-01,4.0776e-04,-7.5535e-01,1.5932e-03,2.4473e-04
3.9750e-01,4.1952e-04,-7.5532e-01,1.5932e-03,2.4471e-04
4.0125e-01,4.3149e-04,-7.5529e-01,1.5931e-03,2.4468e-04
4.0500e-01,4.4369e-04,-7.5526e-01,1.5930e-03,2.4465e-04
4.0875e-01,4.5612e-04,-7.5523e-01,1.5930e-03,2.4462e-04
4.1250e-01,4.6877e-04,-7.5520e-01,1.5929e-03,2.4460e-04
4.1625e-01,4.8166e-04,-7.5517e-01,1.5928e-03,2.4457e-04
4.2000e-01,4.9479e-04,-7.5514e-01,1.5928e-03,2.4454e-04
4.2375e-01,5.0814e-04,-7.5511e-01,1.5927e-03,2.4451e-04
4.2750e-01,5.2174e-04,-7.5508e-01,1.5926e-03,2.4448e-04
4.3125e-01,5.3558e-04,-7.5505e-01,1.5925e-03,2.4445e-04
4.3500e-01,5.4965e-04,-7.5501e-01,1.5925e-03,2.4442e-04
4.3875e-01,5.6398e-04,-7.5498e-01,1.5924e-03,2.4440e-04
4.4250e-01,5.7855e-04,-7.5495e-01,1.5923e-03,2.4437e-04
4.4625e-01,5.9336e-04,-7.5492e-01,1.5922e-03,2.4434e-04
4.5000e-01,6.0843e-04,-7.5488e-01,1.5922e-03,2.4431e-04
4.5375e-01,6.2375e-04,-7.5485e-01,1.5921e-03,2.4428e-04
4.5750e-01,6.3932e-04,-7.5482e-01,1.5920e-03,2.4424e-04
4.6125e-01,6.5516e-04,-7.5478e-01,1.5919e-03,2.4421e-04
4.6500e-01,6.7125e-04,-7.5475e-01,1.5919e-03,2.4418e-04
4.6875e-01,6.8760e-04,-7.5472e-01,1.5918e-03,2.4415e-04
4.7250e-01,7.0421e-04,-7.5468e-01,1.5917e-03,2.4412e-04
4.7625e-01,7.2109e-04,-7.5465e-01,1.5916e-03,2.4409e-04
4.8000e-01,7.3823e-04,-7.5461e-01,1.5915e-03,2.4406e-04
4.8375e-01,7.5565e-04,-7.5458e-01,1.5915e-03,2.4402e-04
4.8750e-01,7.7334e-04,-7.5454e-01,1.5914e-03,2.4399e-04
4.9125e-01,7.9129e-04,-7.5450e-01,1.5913e-03,2.4396e-04
4.9500e-01,8.0953e-04,-7.5447e-01,1.5912e-03,2.4392e-04
4.9875e-01,8.2804e-04,-7.5443e-01,1.5911e-03,2.4389e-04
5.0250e-01,8.4683e-04,-7.5440e-01,1.5910e-03,2.4386e-04
5.0625e-01,8.6591e-04,-7.5436e-01,1.5910e-03,2.4382e-04
5.1000e-01,8.8526e-04,-7.5432e-01,1.5909e-03,2.4379e-04
5.1375e-01,9.0491e-04,-7.5428e-01,1.5908e-03,2.4375e-04
5.1750e-01,9.2484e-04,-7.5425e-01,1.5907e-03,2.4372e-04
5.2125e-01,9.4506e-04,-7.5421e-01,1.5906e-03,2.4369e-04
5.2500e-01,9.6557e-04,-7.5417e-01,1.5905e-03,2.4365e-04
5.2875e-01,9.8637e-04,-7.5413e-01,1.5904e-03,2.4361e-04
5.3250e-01,1.0075e-03,-7.5409e-01,1.5904e-03,2.4358e-04
5.3625e-01,1.0289e-03,-7.5405e-01,1.5903e-03,2.4354e-04
5.4000e-01,1.0506e-03,-7.5401e-01,1.5902e-03,2.4351e-04
5.4375e-01,1.0726e-03,-7.5397e-01,1.5901e-03,2.4347e-04
5.4750e-01,1.0949e-03,-7.5393e-01,1.5900e-03,2.4343e-04
5.5125e-01,1.1175e-03,-7.5389e-01,1.5899e-03,2.4340e-04
5.5500e-01,1.1404e-03,-7.5385e-01,1.5898e-03,2.4336e-04
5.5875e-01,1.1637e-03,-7.5381e-01,1.5897e-03,2.4332e-04
5.6250e-01,1.1872e-03,-7.5377e-01,1.5896e-03,2.4328e-04
5.6625e-01,1.2111e-03,-7.5373e-01,1.5895e-03,2.4325e-04
5.7000e-01,1.2352e-03,-7.5369e-01,1.5894e-03,2.4321e-04
5.7375e-01,1.2597e-03,-7.5365e-01,1.5893e-03,2.4317e-04
5.7750e-01,1.2845e-03,-7.5360e-01,1.5892e-03,2.4313e-04
5.8125e-01,1.3097e-03,-7.5356e-01,1.5891e-03,2.4309e-04
5.8500e-01,1.3351e-03,-7.5352e-01,1.5890e-03,2.4305e-04
5.8875e-01,1.3609e-03,-7.5348e-01,1.5889e-03,2.4301e-04
5.9250e-01,1.3871e-03,-7.5343e-01,1.5888e-03,2.4297e-04
5.9625e-01,1.4135e-03,-7.5339e-01,1.5887e-03,2.4293e-04
6.0000e-01,1.4403e-03,-7.5335e-01,1.5886e-03,2.4289e-04
6.0375e-01,1.4674e-03,-7.5330e-01,1.5885e-03,2.4285e-04
6.0750e-01,1.4949e-03,-7.5326e-01,1.5884e-03,2.4281e-04
6.1125e-01,1.5227e-03,-7.5321e-01,1.5883e-03,2.4277e-04
6.1500e-01,1.5508e-03,-7.5317e-01,1.5882e-03,2.4273e-04
6.1875e-01,1.5793e-03,-7.5312e-01,1.5881e-03,2.4269e-04
6.2250e-01,1.6081e-03,-7.5308e-01,1.5880e-03,2.4265e-04
6.2625e-01,1.6373e-03,-7.5303e-01,1.5879e-03,2.4261e-04
6.3000e-01,1.6668e-03,-7.5298e-01,1.5878e-03,2.4256e-04
6.3375e-01,1.6967e-03,-7.5294e-01,1.5877e-03,2.4252e-04
6.3750e-01,1.7269e-03,-7.5289e-01,1.5876e-03,2.4248e-04
6.4125e-01,1.7575e-03,-7.5285e-01,1.5875e-03,2.4244e-04
6.4500e-01,1.7884e-03,-7.5280e-01,1.5874e-03,2.4239e-04
6.4875e-01,1.8197e-03,-7.5275e-01,1.5873e-03,2.4235e-04
6.5250e-01,1.8514e-03,-7.5270e-01,1.5872e-03,2.4231e-04
6.5625e-01,1.8834e-03,-7.5266e-01,1.5871e-03,2.4226e-04
6.6000e-01,1.9158e-03,-7.5261e-01,1.5869e-03,2.4222e-04
6.6375e-01,1.9486e-03,-7.5256e-01,1.5868e-03,2.4217e-04
6.6750e-01,1.9817e-03,-7.5251e-01,1.5867e-03,2.4213e-04
6.7125e-01,2.0152e-03,-7.5246e-01,1.5866e-03,2.4209e-04
6.7500e-01,2.0491e-03,-7.5241e-01,1.5865e-03,2.4204e-04
6.7875e-01,2.0833e-03,-7.5236e-01,1.5864e-03,2.4199e-04
6.8250e-01,2.1179e-03,-7.5231e-01,1.5863e-03,2.4195e-04
6.8625e-01,2.1530e-03,-7.5226e-01,1.5862e-03,2.4190e-04
6.9000e-01,2.1883e-03,-7.5221e-01,1.5860e-03,2.4186e-04
6.9375e-01,2.2241e-03,-7.5216e-01,1.5859e-03,2.4181e-04
6.9750e-01,2.2603e-03,-7.5211e-01,1.5858e-03,2.4176e-04
7.0125e-01,2.2968e-03,-7.5206e-01,1.5857e-03,2.4172e-04
7.0500e-01,2.3338e-03,-7.5201e-01,1.5856e-03,2.4167e-04
7.0875e-01,2.3711e-03,-7.5196e-01,1.5854e-03,2.4162e-04
7.1250e-01,2.4088e-03,-7.5190e-01,1.5853e-03,2.4158e-04
7.1625e-01,2.4470e-03,-7.5185e-01,1.5852e-03,2.4153e-04
7.2000e-01,2.4855e-03,-7.5180e-01,1.5851e-03,2.4148e-04
7.2375e-01,2.5244e-03,-7.5175e-01,1.5850e-03,2.4143e-04
7.2750e-01,2.5637e-03,-7.5169e-01,1.5848e-03,2.4138e-04
7.3125e-01,2.6035e-03,-7.5164e-01,1.5847e-03,2.4133e-04
7.3500e-01,2.6436e-03,-7.5159e-01,1.5846e-03,2.4129e-04
7.3875e-01,2.6841e-03,-7.5153e-01,1.5845e-03,2.4124e-04
7.4250e-01,2.7251e-03,-7.5148e-01,1.5844e-03,2.4119e-04
7.4625e-01,2.7665e-03,-7.5142e-01,1.5842e-03,2.4114e-04
7.5000e-01,2.8082e-03,-7.5137e-01,1.5841e-03,2.4109e-04
7.5375e-01,2.8504e-03,-7.5131e-01,1.5840e-03,2.4104e-04
7.5750e-01,2.8931e-03,-7.5126e-01,1.5838e-03,2.4099e-04
7.6125e-01,2.9361e-03,-7.5120e-01,1.5837e-03,2.4094e-04
7.6500e-01,2.9796e-03,-7.5115e-01,1.5836e-03,2.4088e-04
