r,m,nu,rho,P
0.0000e+00,0.0000e+00,-5.7280e-01,8.8228e-04,9.5934e-05
3.7500e-03,1.9489e-10,-5.7280e-01,8.8228e-04,9.5934e-05
7.5000e-03,1.5591e-09,-5.7280e-01,8.8228e-04,9.5934e-05
1.1250e-02,5.2620e-09,-5.7280e-01,8.8228e-04,9.5934e-05
1.5000e-02,1.2473e-08,-5.7280e-01,8.8228e-04,9.5934e-05
1.8750e-02,2.4361e-08,-5.7280e-01,8.8228e-04,9.5933e-05
2.2500e-02,4.2096e-08,-5.7279e-01,8.8227e-04,9.5933e-05
2.6250e-02,6.6847e-08,-5.7279e-01,8.8227e-04,9.5933e-05
3.0000e-02,9.9783e-08,-5.7279e-01,8.8227e-04,9.5932e-05
3.3750e-02,1.4207e-07,-5.7279e-01,8.8227e-04,9.5932e-05
3.7500e-02,1.9489e-07,-5.7279e-01,8.8227e-04,9.5931e-05
4.1250e-02,2.5940e-07,-5.7279e-01,8.8226e-04,9.5930e-05
4.5000e-02,3.3676e-07,-5.7279e-01,8.8226e-04,9.5929e-05
4.8750e-02,4.2817e-07,-5.7279e-01,8.8226e-04,9.5929e-05
5.2500e-02,5.3477e-07,-5.7278e-01,8.8225e-04,9.5928e-05
5.6250e-02,6.5774e-07,-5.7278e-01,8.8225e-04,9.5927e-05
6.0000e-02,7.9825e-07,-5.7278e-01,8.8225e-04,9.5926e-05
6.3750e-02,9.5747e-07,-5.7278e-01,8.8224e-04,9.5924e-05
6.7500e-02,1.1366e-06,-5.7277e-01,8.8224e-04,9.5923e-05
7.1250e-02,1.3367e-06,-5.7277e-01,8.8223e-04,9.5922e-05
7.5000e-02,1.5591e-06,-5.7277e-01,8.8223e-04,9.5921e-05
7.8750e-02,1.8048e-06,-5.7277e-01,8.8222e-04,9.5919e-05
8.2500e-02,2.0751e-06,-5.7276e-01,8.8222e-04,9.5918e-05
8.6250e-02,2.3711e-06,-5.7276e-01,8.8221e-04,9.5916e-05
9.0000e-02,2.6940e-06,-5.7276e-01,8.8220e-04,9.5915e-05
9.3750e-02,3.0450e-06,-5.7275e-01,8.8220e-04,9.5913e-05
9.7500e-02,3.4252e-06,-5.7275e-01,8.8219e-04,9.5911e-05
1.0125e-01,3.8358e-06,-5.7275e-01,8.8218e-04,9.5910e-05
1.0500e-01,4.2779e-06,-5.7274e-01,8.8218e-04,9.5908e-05
1.0875e-01,4.7528e-06,-5.7274e-01,8.8217e-04,9.5906e-05
1.1250e-01,5.2616e-06,-5.7273e-01,8.8216e-04,9.5904e-05
1.1625e-01,5.8055e-06,-5.7273e-01,8.8216e-04,9.5902e-05
1.2000e-01,6.3856e-06,-5.7273e-01,8.8215e-04,9.5900e-05
1.2375e-01,7.0031e-06,-5.7272e-01,8.8214e-04,9.5898e-05
1.2750e-01,7.6592e-06,-5.7272e-01,8.8213e-04,9.5895e-05
1.3125e-01,8.3550e-06,-5.7271e-01,8.8212e-04,9.5893e-05
1.3500e-01,9.0917e-06,-5.7271e-01,8.8211e-04,9.5891e-05
1.3875e-01,9.8706e-06,-5.7270e-01,8.8210e-04,9.5888e-05
1.4250e-01,1.0693e-05,-5.7270e-01,8.8209e-04,9.5886e-05
1.4625e-01,1.1559e-05,-5.7269e-01,8.8208e-04,9.5883e-05
1.5000e-01,1.2471e-05,-5.7269e-01,8.8207e-04,9.5880e-05
1.5375e-01,1.3430e-05,-5.7268e-01,8.8206e-04,9.5878e-05
1.5750e-01,1.4437e-05,-5.7268e-01,8.8205e-04,9.5875e-05
1.6125e-01,1.5493e-05,-5.7267e-01,8.8204e-04,9.5872e-05
1.6500e-01,1.6599e-05,-5.7266e-01,8.8203e-04,9.5869e-05
1.6875e-01,1.7756e-05,-5.7266e-01,8.8202e-04,9.5866e-05
1.7250e-01,1.8966e-05,-5.7265e-01,8.8201e-04,9.5863e-05
1.7625e-01,2.0230e-05,-5.7264e-01,8.8199e-04,9.5860e-05
1.8000e-01,2.1549e-05,-5.7264e-01,8.8198e-04,9.5857e-05
1.8375e-01,2.2924e-05,-5.7263e-01,8.8197e-04,9.5853e-05
1.8750e-01,2.4356e-05,-5.7262e-01,8.8196e-04,9.5850e-05
1.9125e-01,2.5846e-05,-5.7262e-01,8.8194e-04,9.5847e-05
1.9500e-01,2.7397e-05,-5.7261e-01,8.8193e-04,9.5843e-05
1.9875e-01,2.9007e-05,-5.7260e-01,8.8192e-04,9.5840e-05
2.0250e-01,3.0680e-05,-5.7260e-01,8.8190e-04,9.5836e-05
2.0625e-01,3.2416e-05,-5.7259e-01,8.8189e-04,9.5832e-05
2.1000e-01,3.4216e-05,-5.7258e-01,8.8188e-04,9.5829e-05
2.1375e-01,3.6082e-05,-5.7257e-01,8.8186e-04,9.5825e-05
2.1750e-01,3.8014e-05,-5.7256e-01,8.8185e-04,9.5821e-05
2.2125e-01,4.0014e-05,-5.7256e-01,8.8183e-04,9.5817e-05
2.2500e-01,4.2083e-05,-5.7255e-01,8.8182e-04,9.5813e-05
