r,m,nu,rho,P
0.0000e+00,0.0000e+00,-5.9481e-01,9.8787e-04,1.1111e-04
3.7500e-03,2.1821e-10,-5.9481e-01,9.8787e-04,1.1111e-04
7.5000e-03,1.7457e-09,-5.9481e-01,9.8787e-04,1.1111e-04
1.1250e-02,5.8917e-09,-5.9481e-01,9.8786e-04,1.1111e-04
1.5000e-02,1.3966e-08,-5.9481e-01,9.8786e-04,1.1111e-04
1.8750e-02,2.7277e-08,-5.9481e-01,9.8786e-04,1.1111e-04
2.2500e-02,4.7134e-08,-5.9480e-01,9.8786e-04,1.1110e-04
2.6250e-02,7.4847e-08,-5.9480e-01,9.8786e-04,1.1110e-04
3.0000e-02,1.1172e-07,-5.9480e-01,9.8785e-04,1.1110e-04
3.3750e-02,1.5908e-07,-5.9480e-01,9.8785e-04,1.1110e-04
3.7500e-02,2.1821e-07,-5.9480e-01,9.8785e-04,1.1110e-04
4.1250e-02,2.9044e-07,-5.9480e-01,9.8784e-04,1.1110e-04
4.5000e-02,3.7707e-07,-5.9480e-01,9.8784e-04,1.1110e-04
4.8750e-02,4.7941e-07,-5.9479e-01,9.8784e-04,1.1110e-04
5.2500e-02,5.9876e-07,-5.9479e-01,9.8783e-04,1.1110e-04
5.6250e-02,7.3645e-07,-5.9479e-01,9.8783e-04,1.1110e-04
6.0000e-02,8.9378e-07,-5.9479e-01,9.8782e-04,1.1110e-04
6.3750e-02,1.0720e-06,-5.9478e-01,9.8782e-04,1.1109e-04
6.7500e-02,1.2726e-06,-5.9478e-01,9.8781e-04,1.1109e-04
7.1250e-02,1.4967e-06,-5.9478e-01,9.8780e-04,1.1109e-04
7.5000e-02,1.7456e-06,-5.9478e-01,9.8780e-04,1.1109e-04
7.8750e-02,2.0208e-06,-5.9477e-01,9.8779e-04,1.1109e-04
8.2500e-02,2.3234e-06,-5.9477e-01,9.8778e-04,1.1109e-04
8.6250e-02,2.6548e-06,-5.9477e-01,9.8777e-04,1.1108e-04
9.0000e-02,3.0164e-06,-5.9476e-01,9.8777e-04,1.1108e-04
9.3750e-02,3.4093e-06,-5.9476e-01,9.8776e-04,1.1108e-04
9.7500e-02,3.8350e-06,-5.9475e-01,9.8775e-04,1.1108e-04
1.0125e-01,4.2947e-06,-5.9475e-01,9.8774e-04,1.1108e-04
1.0500e-01,4.7898e-06,-5.9475e-01,9.8773e-04,1.1107e-04
1.0875e-01,5.3215e-06,-5.9474e-01,9.8772e-04,1.1107e-04
1.1250e-01,5.8912e-06,-5.9474e-01,9.8771e-04,1.1107e-04
1.1625e-01,6.5001e-06,-5.9473e-01,9.8770e-04,1.1107e-04
1.2000e-01,7.1496e-06,-5.9473e-01,9.8769e-04,1.1106e-04
1.2375e-01,7.8410e-06,-5.9472e-01,9.8768e-04,1.1106e-04
1.2750e-01,8.5756e-06,-5.9472e-01,9.8766e-04,1.1106e-04
1.3125e-01,9.3547e-06,-5.9471e-01,9.8765e-04,1.1105e-04
1.3500e-01,1.0180e-05,-5.9471e-01,9.8764e-04,1.1105e-04
1.3875e-01,1.1052e-05,-5.9470e-01,9.8763e-04,1.1105e-04
1.4250e-01,1.1972e-05,-5.9469e-01,9.8761e-04,1.1104e-04
