r,m,nu,rho,P
0.0000e+00,0.0000e+00,-8.5178e-01,1.9490e-03,3.6907e-04
3.7500e-03,4.3052e-10,-8.5178e-01,1.9490e-03,3.6907e-04
7.5000e-03,3.4441e-09,-8.5178e-01,1.9489e-03,3.6907e-04
1.1250e-02,1.1624e-08,-8.5178e-01,1.9489e-03,3.6907e-04
1.5000e-02,2.7553e-08,-8.5178e-01,1.9489e-03,3.6907e-04
1.8750e-02,5.3814e-08,-8.5178e-01,1.9489e-03,3.6907e-04
2.2500e-02,9.2990e-08,-8.5178e-01,1.9489e-03,3.6906e-04
2.6250e-02,1.4766e-07,-8.5178e-01,1.9489e-03,3.6906e-04
3.0000e-02,2.2042e-07,-8.5177e-01,1.9489e-03,3.6906e-04
3.3750e-02,3.1384e-07,-8.5177e-01,1.9489e-03,3.6905e-04
3.7500e-02,4.3051e-07,-8.5177e-01,1.9489e-03,3.6905e-04
4.1250e-02,5.7300e-07,-8.5176e-01,1.9489e-03,3.6905e-04
4.5000e-02,7.4391e-07,-8.5176e-01,1.9489e-03,3.6904e-04
4.8750e-02,9.4581e-07,-8.5175e-01,1.9489e-03,3.6904e-04
5.2500e-02,1.1813e-06,-8.5175e-01,1.9489e-03,3.6903e-04
5.6250e-02,1.4529e-06,-8.5174e-01,1.9489e-03,3.6902e-04
6.0000e-02,1.7633e-06,-8.5174e-01,1.9489e-03,3.6902e-04
6.3750e-02,2.1150e-06,-8.5173e-01,1.9488e-03,3.6901e-04
6.7500e-02,2.5106e-06,-8.5173e-01,1.9488e-03,3.6900e-04
7.1250e-02,2.9528e-06,-8.5172e-01,1.9488e-03,3.6900e-04
7.5000e-02,3.4439e-06,-8.5171e-01,1.9488e-03,3.6899e-04
7.8750e-02,3.9868e-06,-8.5171e-01,1.9488e-03,3.6898e-04
8.2500e-02,4.5838e-06,-8.5170e-01,1.9488e-03,3.6897e-04
8.6250e-02,5.2377e-06,-8.5169e-01,1.9488e-03,3.6896e-04
9.0000e-02,5.9510e-06,-8.5168e-01,1.9487e-03,3.6895e-04
9.3750e-02,6.7263e-06,-8.5167e-01,1.9487e-03,3.6894e-04
9.7500e-02,7.5661e-06,-8.5166e-01,1.9487e-03,3.6893e-04
1.0125e-01,8.4731e-06,-8.5165e-01,1.9487e-03,3.6892e-04
1.0500e-01,9.4497e-06,-8.5164e-01,1.9487e-03,3.6891e-04
1.0875e-01,1.0499e-05,-8.5163e-01,1.9487e-03,3.6890e-04
1.1250e-01,1.1623e-05,-8.5162e-01,1.9486e-03,3.6888e-04
1.1625e-01,1.2824e-05,-8.5161e-01,1.9486e-03,3.6887e-04
1.2000e-01,1.4105e-05,-8.5160e-01,1.9486e-03,3.6886e-04
1.2375e-01,1.5469e-05,-8.5159e-01,1.9486e-03,3.6884e-04
1.2750e-01,1.6919e-05,-8.5158e-01,1.9485e-03,3.6883e-04
1.3125e-01,1.8456e-05,-8.5156e-01,1.9485e-03,3.6881e-04
1.3500e-01,2.0083e-05,-8.5155e-01,1.9485e-03,3.6880e-04
1.3875e-01,2.1803e-05,-8.5154e-01,1.9485e-03,3.6878e-04
1.4250e-01,2.3619e-05,-8.5152e-01,1.9484e-03,3.6877e-04
1.4625e-01,2.5533e-05,-8.5151e-01,1.9484e-03,3.6875e-04
1.5000e-01,2.7548e-05,-8.5150e-01,1.9484e-03,3.6874e-04
1.5375e-01,2.9666e-05,-8.5148e-01,1.9483e-03,3.6872e-04
1.5750e-01,3.1889e-05,-8.5147e-01,1.9483e-03,3.6870e-04
1.6125e-01,3.4222e-05,-8.5145e-01,1.9483e-03,3.6868e-04
1.6500e-01,3.6665e-05,-8.5144e-01,1.9483e-03,3.6867e-04
1.6875e-01,3.9221e-05,-8.5142e-01,1.9482e-03,3.6865e-04
1.7250e-01,4.1894e-05,-8.5140e-01,1.9482e-03,3.6863e-04
1.7625e-01,4.4686e-05,-8.5139e-01,1.9482e-03,3.6861e-04
1.8000e-01,4.7599e-05,-8.5137e-01,1.9481e-03,3.6859e-04
1.8375e-01,5.0636e-05,-8.5135e-01,1.9481e-03,3.6857e-04
1.8750e-01,5.3799e-05,-8.5133e-01,1.9481e-03,3.6855e-04
1.9125e-01,5.7091e-05,-8.5132e-01,1.9480e-03,3.6853e-04
1.9500e-01,6.0515e-05,-8.5130e-01,1.9480e-03,3.6851e-04
1.9875e-01,6.4073e-05,-8.5128e-01,1.9479e-03,3.6848e-04
2.0250e-01,6.7768e-05,-8.5126e-01,1.9479e-03,3.6846e-04
2.0625e-01,7.1602e-05,-8.5124e-01,1.9479e-03,3.6844e-04
2.1000e-01,7.5578e-05,-8.5122e-01,1.9478e-03,3.6842e-04
2.1375e-01,7.9699e-05,-8.5120e-01,1.9478e-03,3.6839e-04
2.1750e-01,8.3967e-05,-8.5118e-01,1.9477e-03,3.6837e-04
2.2125e-01,8.8384e-05,-8.5116e-01,1.9477e-03,3.6834e-04
2.2500e-01,9.2953e-05,-8.5114e-01,1.9477e-03,3.6832e-04
2.2875e-01,9.7678e-05,-8.5111e-01,1.9476e-03,3.6829e-04
2.3250e-01,1.0256e-04,-8.5109e-01,1.9476e-03,3.6827e-04
2.3625e-01,1.0760e-04,-8.5107e-01,1.9475e-03,3.6824e-04
2.4000e-01,1.1280e-04,-8.5105e-01,1.9475e-03,3.6822e-04
2.4375e-01,1.1817e-04,-8.5102e-01,1.9474e-03,3.6819e-04
2.4750e-01,1.2371e-04,-8.5100e-01,1.9474e-03,3.6816e-04
2.5125e-01,1.2942e-04,-8.5098e-01,1.9473e-03,3.6813e-04
2.5500e-01,1.3530e-04,-8.5095e-01,1.9473e-03,3.6811e-04
2.5875e-01,1.4135e-04,-8.5093e-01,1.9472e-03,3.6808e-04
2.6250e-01,1.4759e-04,-8.5090e-01,1.9472e-03,3.6805e-04
2.6625e-01,1.5400e-04,-8.5088e-01,1.9471e-03,3.6802e-04
2.7000e-01,1.6060e-04,-8.5085e-01,1.9471e-03,3.6799e-04
2.7375e-01,1.6738e-04,-8.5083e-01,1.9470e-03,3.6796e-04
2.7750e-01,1.7435e-04,-8.5080e-01,1.9470e-03,3.6793e-04
2.8125e-01,1.8151e-04,-8.5077e-01,1.9469e-03,3.6790e-04
2.8500e-01,1.8886e-04,-8.5074e-01,1.9469e-03,3.6787e-04
2.8875e-01,1.9641e-04,-8.5072e-01,1.9468e-03,3.6783e-04
2.9250e-01,2.0416e-04,-8.5069e-01,1.9468e-03,3.6780e-04
2.9625e-01,2.1211e-04,-8.5066e-01,1.9467e-03,3.6777e-04
3.0000e-01,2.2027e-04,-8.5063e-01,1.9467e-03,3.6774e-04
3.0375e-01,2.2863e-04,-8.5060e-01,1.9466e-03,3.6770e-04
3.0750e-01,2.3719e-04,-8.5057e-01,1.9465e-03,3.6767e-04
3.1125e-01,2.4597e-04,-8.5054e-01,1.9465e-03,3.6763e-04
